Date,Open,High,Low,Close,Volume,Change
2000-04-27,21136,24280,21136,24280,823,
2000-04-28,22191,22191,22191,22191,33,-0.08603789126853378
2000-05-02,21669,23416,21493,23416,617,0.05520255959623266
2000-05-03,23412,23412,21839,23063,445,-0.015075162282200183
2000-05-04,21311,22710,21311,22710,388,-0.015305901227073648
2000-05-08,21311,22710,21311,22710,640,0.0
2000-05-09,22626,22626,21060,22627,319,-0.0036547776309995283
2000-05-10,22536,22536,20963,21139,817,-0.06576214257303226
2000-05-12,21141,21664,20965,20966,468,-0.008183925445858331
2000-05-15,18340,18515,18340,18516,1172,-0.11685586187160169
2000-05-16,17472,20792,17472,20793,840,0.12297472456254055
2000-05-17,17901,18074,17727,17727,1287,-0.14745346991776076
2000-05-18,18783,18783,16695,18261,1727,0.030123540362159362
2000-05-19,15466,17899,15466,17900,1012,-0.01976890641257323
2000-05-22,18523,18523,17825,17825,2116,-0.0041899441340782495
2000-05-23,17825,17825,17825,17825,1721,0.0
2000-05-24,17814,18862,16068,18862,234,0.058176718092566526
2000-05-25,18869,21489,18869,20966,1555,0.11154702576609066
2000-05-26,20792,20792,20792,20793,0,-0.008251454736239672
2000-05-29,21489,21489,20790,20966,2505,0.008320107728562398
2000-05-30,22712,22712,20789,22537,463,0.07493084040828002
2000-05-31,19392,21837,19392,21838,239,-0.03101566313173887
2000-06-01,21837,21837,21837,21838,5,0.0
2000-06-02,20864,20864,18952,18952,113,-0.13215495924535214
2000-06-05,20965,21489,20965,20966,1189,0.10626846770789355
2000-06-07,20963,21837,20963,21838,702,0.0415911475722599
2000-06-08,20963,22536,20963,22537,353,0.03200842568000728
2000-06-09,19564,19564,19214,19215,176,-0.14740204996228423
2000-06-12,21839,21839,19218,20966,119,0.0911267239136091
2000-06-13,19218,20965,19218,20966,514,0.0
2000-06-14,20875,21571,20875,20876,147,-0.004292664313650718
2000-06-15,18086,20869,18086,18261,331,-0.12526346043303316
2000-06-16,16948,20094,16948,20094,142,0.10037785444389691
2000-06-19,20611,20611,17117,17118,78,-0.1481039116154076
2000-06-20,17044,19132,17044,19133,537,0.11771234957354837
2000-06-21,17466,17466,17291,17291,285,-0.09627345424136313
2000-06-22,17744,19832,17744,19832,473,0.14695506332774277
2000-06-23,17638,17638,17464,17465,1000,-0.11935256151674067
2000-06-26,17467,19214,17467,19215,44,0.1002004008016033
2000-06-27,20956,20956,17464,17465,131,-0.09107468123861562
2000-06-28,17467,19214,17467,19215,280,0.1002004008016033
2000-06-29,16770,19914,16770,19914,28,0.03637782982045268
2000-06-30,18862,18862,18862,18862,0,-0.05282715677412875
2000-07-03,17028,17376,17028,17029,96,-0.09717951436751138
2000-07-04,17291,18339,17291,17291,3227,0.015385518820834942
2000-07-05,17368,17368,15110,16848,520,-0.025620264877681986
2000-07-06,17292,17292,15894,16593,846,-0.015135327635327656
2000-07-07,16243,17291,16243,17291,1750,0.042065931416862545
2000-07-10,17214,17561,17214,17562,938,0.015672893412758127
2000-07-11,17289,17289,16067,16067,3509,-0.08512697870402008
2000-07-12,16240,18511,16240,18336,19084,0.14122113649094414
2000-07-13,18419,18419,16333,17029,11266,-0.07128054101221637
2000-07-14,17118,17118,15721,15721,8247,-0.0768101473956192
2000-07-18,16070,16419,16070,16420,1968,0.044462820431270256
2000-07-19,15897,16246,15548,15548,3828,-0.05310596833130332
2000-07-20,15721,16419,15197,16420,2037,0.056084383843581165
2000-07-21,16419,16419,15547,15721,1075,-0.042570036540803935
2000-07-24,14939,15981,14939,15112,1555,-0.03873799376629983
2000-07-25,14321,15195,14321,15195,1408,0.0054923239809423485
2000-07-26,15718,15893,15718,15894,1522,0.04600197433366238
2000-07-27,15893,15893,15893,15894,571,0.0
2000-07-28,15810,15810,15810,15811,0,-0.005222096388574293
2000-07-31,15631,15631,14936,15631,3205,-0.011384479160078453
2000-08-01,16071,16246,14499,16246,1825,0.03934489156164034
