Date,Open,High,Low,Close,Volume,Change
2013-07-01,2650,2650,2650,2650,1696,
2013-07-02,2650,2650,2650,2650,338,0.0
2013-07-03,0,0,0,2650,0,0.0
2013-07-04,2768,2768,2768,2768,168,0.044528301886792354
2013-07-05,0,0,0,2356,0,-0.14884393063583812
2013-07-08,0,0,0,2356,0,0.0
2013-07-09,2356,2356,2356,2356,168,0.0
2013-07-10,2709,2709,2709,2709,168,0.14983022071307306
2013-07-11,2650,2650,2650,2650,168,-0.021779254337393916
2013-07-12,2532,2532,2532,2532,168,-0.044528301886792465
2013-07-15,0,0,0,2473,0,-0.02330173775671407
2013-07-16,0,0,0,2473,0,0.0
2013-07-17,2473,2473,2473,2473,168,0.0
2013-07-18,0,0,0,2443,0,-0.012131014961585085
2013-07-19,2650,2650,2650,2650,1016,0.08473188702415069
2013-07-22,0,0,0,2650,0,0.0
2013-07-23,2650,2650,2650,2650,338,0.0
2013-07-24,0,0,0,2650,0,0.0
2013-07-25,0,0,0,2590,0,-0.02264150943396226
2013-07-26,2650,2650,2650,2650,168,0.02316602316602312
2013-07-29,2532,2532,2532,2532,1696,-0.044528301886792465
2013-07-30,2473,2473,2473,2473,168,-0.02330173775671407
2013-07-31,2356,2356,2356,2356,168,-0.04731095835018195
2013-08-01,0,0,0,2237,0,-0.050509337860780934
2013-08-02,1902,1902,1902,1902,507,-0.1497541350022351
2013-08-05,0,0,0,1902,0,0.0
2013-08-06,0,0,0,1913,0,0.005783385909568839
2013-08-07,0,0,0,1913,0,0.0
2013-08-08,1913,1913,1913,1913,168,0.0
2013-08-09,0,0,0,1913,0,0.0
2013-08-12,0,0,0,1913,0,0.0
2013-08-13,0,0,0,1907,0,-0.003136434918975417
2013-08-14,0,0,0,1907,0,0.0
2013-08-16,0,0,0,1907,0,0.0
2013-08-19,0,0,0,1907,0,0.0
2013-08-20,0,0,0,1907,0,0.0
2013-08-21,0,0,0,1907,0,0.0
2013-08-22,0,0,0,1907,0,0.0
2013-08-23,0,0,0,1907,0,0.0
2013-08-26,0,0,0,1907,0,0.0
2013-08-27,0,0,0,1907,0,0.0
2013-08-28,0,0,0,1907,0,0.0
2013-08-29,0,0,0,1907,0,0.0
2013-08-30,0,0,0,1907,0,0.0
2013-09-02,0,0,0,1907,0,0.0
2013-09-03,0,0,0,1907,0,0.0
2013-09-04,0,0,0,1907,0,0.0
2013-09-05,0,0,0,1907,0,0.0
2013-09-06,0,0,0,1907,0,0.0
2013-09-09,0,0,0,1907,0,0.0
2013-09-10,0,0,0,1907,0,0.0
2013-09-11,0,0,0,1907,0,0.0
2013-09-12,0,0,0,1907,0,0.0
2013-09-13,0,0,0,1907,0,0.0
2013-09-16,0,0,0,1907,0,0.0
2013-09-17,0,0,0,1907,0,0.0
2013-09-23,0,0,0,1907,0,0.0
2013-09-24,0,0,0,1907,0,0.0
2013-09-25,0,0,0,1907,0,0.0
2013-09-26,0,0,0,1907,0,0.0
2013-09-27,0,0,0,1907,0,0.0
2013-09-30,1897,1897,1897,1897,678,-0.005243838489774499
2013-10-01,0,0,0,1897,0,0.0
2013-10-02,0,0,0,1884,0,-0.006852925672113819
2013-10-04,0,0,0,1766,0,-0.06263269639065816
2013-10-07,0,0,0,1708,0,-0.0328425821064553
2013-10-08,0,0,0,1708,0,0.0
2013-10-10,0,0,0,1708,0,0.0
2013-10-11,0,0,0,1708,0,0.0
2013-10-14,0,0,0,1678,0,-0.01756440281030447
2013-10-15,0,0,0,1649,0,-0.01728247914183556
2013-10-16,0,0,0,1649,0,0.0
2013-10-17,0,0,0,1649,0,0.0
2013-10-18,0,0,0,1649,0,0.0
2013-10-21,0,0,0,1619,0,-0.018192844147968512
