Date,Open,High,Low,Close,Volume,Change
2007-07-20,1688,1942,1530,1943,12917445,
2007-07-23,2048,2233,2032,2234,2929810,0.1497683993823984
2007-07-24,2565,2565,2232,2323,9480145,0.03983885407341092
2007-07-25,2269,2428,2100,2228,5079970,-0.04089539388721486
2007-07-26,2343,2560,2285,2482,7659670,0.1140035906642729
2007-07-27,2438,2560,2111,2186,4024615,-0.11925866236905724
2007-07-30,2111,2164,2000,2112,1964940,-0.03385178408051237
2007-07-31,2121,2206,2037,2048,1616900,-0.030303030303030276
2007-08-01,2005,2115,1741,1763,2493815,-0.13916015625
2007-08-02,1836,1868,1609,1742,1897145,-0.011911514463981865
2007-08-03,1789,1953,1715,1827,2413780,0.04879448909299655
2007-08-06,1746,1788,1556,1557,4622870,-0.14778325123152714
2007-08-07,1582,1603,1329,1367,8371595,-0.12202954399486188
2007-08-08,1371,1450,1350,1362,2738320,-0.003657644476956823
2007-08-09,1430,1562,1419,1563,2721215,0.14757709251101314
2007-08-10,1636,1794,1620,1795,8286530,0.14843250159948806
2007-08-13,1878,1926,1641,1668,6105435,-0.07075208913649023
2007-08-14,1714,1814,1509,1520,4324585,-0.08872901678657075
2007-08-16,1414,1435,1292,1293,2093930,-0.14934210526315794
2007-08-17,1245,1303,1102,1135,3351770,-0.12219644238205718
2007-08-20,1203,1303,1192,1304,3524295,0.14889867841409687
2007-08-21,1287,1372,1234,1320,4156675,0.012269938650306678
2007-08-22,1313,1350,1282,1288,1729640,-0.024242424242424288
2007-08-23,1350,1477,1324,1478,6552715,0.14751552795031064
2007-08-24,1503,1545,1408,1478,5083045,0.0
2007-08-27,1520,1541,1456,1473,2850390,-0.003382949932341006
2007-08-28,1503,1614,1445,1446,4936010,-0.018329938900203624
2007-08-29,1361,1403,1313,1388,3430805,-0.04011065006915626
2007-08-30,1435,1487,1382,1420,2387450,0.023054755043227626
2007-08-31,1435,1530,1435,1457,2297410,0.02605633802816909
2007-09-03,1493,1562,1472,1536,1840140,0.05422100205902547
2007-09-04,1524,1524,1461,1467,1151625,-0.044921875
2007-09-05,1494,1499,1367,1373,1696645,-0.06407634628493519
2007-09-06,1382,1382,1298,1341,1413400,-0.023306627822286985
2007-09-07,1366,1408,1340,1367,1652850,0.01938851603281133
2007-09-10,1318,1318,1255,1256,1968370,-0.08119970738844184
2007-09-11,1277,1293,1198,1225,1443590,-0.02468152866242035
2007-09-12,1245,1397,1245,1293,3609675,0.05551020408163265
2007-09-13,1287,1297,1234,1283,1022765,-0.007733952049497339
2007-09-14,1297,1418,1281,1351,2434750,0.053000779423226785
2007-09-17,1350,1366,1292,1330,733930,-0.015544041450777257
2007-09-18,1324,1345,1239,1246,1303815,-0.06315789473684208
2007-09-19,1281,1308,1192,1193,1574625,-0.042536115569823396
2007-09-20,1150,1176,1071,1151,4105430,-0.035205364626990754
2007-09-21,1150,1170,1118,1140,965985,-0.009556907037358786
2007-09-27,1160,1191,1134,1140,892105,0.0
2007-09-28,1155,1308,1155,1235,7252015,0.08333333333333326
2007-10-01,1218,1276,1213,1256,3410765,0.017004048582995868
2007-10-02,1308,1440,1308,1320,9753875,0.05095541401273884
2007-10-04,1340,1440,1340,1351,2764005,0.023484848484848442
2007-10-05,1340,1366,1250,1256,2460985,-0.07031828275351593
