Date,Open,High,Low,Close,Volume,Change
2014-12-24,6725,6725,6725,6726,210,
2014-12-26,6348,6348,6348,6348,210,-0.05619982158786796
2014-12-29,5400,5400,5400,5400,210,-0.1493383742911153
2014-12-30,5116,5116,5116,5116,199,-0.052592592592592635
2015-01-02,5116,5116,5116,5116,5976,0.0
2015-01-05,5211,5211,5211,5211,210,0.01856919468334639
2015-01-06,5211,5211,5211,5211,210,0.0
2015-01-07,5209,5400,5209,5400,833,0.03626943005181338
2015-01-08,5400,5400,5400,5400,210,0.0
2015-01-09,5494,5685,5494,5685,1054,0.05277777777777781
2015-01-12,5685,5685,5685,5685,210,0.0
2015-01-13,5685,5685,5685,5685,104,0.0
2015-01-14,5685,5685,5685,5685,210,0.0
2015-01-15,5685,5685,5685,5685,4703,0.0
2015-01-16,5685,5685,5685,5685,210,0.0
2015-01-19,5685,5685,5685,5685,0,0.0
2015-01-20,5685,5685,5685,5685,949,0.0
2015-01-21,5685,5685,5685,5685,843,0.0
2015-01-22,5685,5685,5685,5685,5751,0.0
2015-01-23,5874,5874,5874,5874,685,0.03324538258575194
2015-01-26,5685,5685,5685,5685,210,-0.03217568947906024
2015-01-27,5685,5685,5685,5685,632,0.0
2015-01-28,5685,5685,5685,5685,2743,0.0
2015-01-29,5683,5779,5588,5779,4349,0.01653474054529469
2015-01-30,5967,6347,5967,6158,5586,0.06558228067139638
2015-02-02,6346,6820,6346,6821,3384,0.10766482624228635
2015-02-03,6821,6821,6632,6632,5854,-0.02770854713385129
2015-02-04,6157,6916,6157,6632,2347,0.0
2015-02-05,6915,7105,6915,7011,4475,0.05714716525934871
2015-02-06,7105,7389,7105,7248,7281,0.033804022250748744
2015-02-09,7389,7389,7011,7011,5488,-0.0326986754966887
2015-02-10,7485,7485,7485,7485,210,0.06760804450149771
2015-02-11,7578,8053,7578,8053,3693,0.07588510354041422
2015-02-12,8052,9001,8052,9001,3165,0.11772010430895308
2015-02-13,9285,9285,9285,9285,210,0.03155204977224746
2015-02-16,9285,9285,9285,9285,843,0.0
2015-02-17,9285,9285,9285,9285,0,0.0
2015-02-23,9284,9284,8053,8053,1265,-0.13268712977921382
2015-02-24,8147,8147,8053,8053,1002,0.0
2015-02-25,8527,8527,8052,8527,27080,0.05886005215447665
2015-02-26,8518,8518,8518,8518,1160,-0.0010554708572768634
2015-02-27,8518,8518,8518,8518,7387,0.0
2015-03-02,8518,8518,8518,8518,0,0.0
2015-03-03,8507,8507,8241,8432,3111,-0.010096266729279213
2015-03-04,8431,8527,8431,8527,23477,0.01126660341555974
2015-03-05,8526,8526,8432,8432,23804,-0.011141081271256015
2015-03-06,8527,8527,8431,8527,36511,0.01126660341555974
2015-03-09,8527,8527,8517,8527,22777,0.0
2015-03-10,8527,8527,8527,8527,22763,0.0
2015-03-11,8527,8527,8527,8527,52769,0.0
2015-03-12,8593,8593,8593,8593,4749,0.007740119620030406
2015-03-13,9001,9001,9001,9001,526,0.04748050738973575
2015-03-16,8715,9095,8715,9095,2426,0.010443284079546755
2015-03-17,9000,9000,8545,8622,9531,-0.05200659703133592
2015-03-18,8717,8717,8717,8717,315,0.01101832521456747
2015-03-19,8716,8716,8336,8527,14867,-0.021796489617987858
2015-03-20,8526,8906,8526,8906,22318,0.044447050545326716
2015-03-23,8999,9474,8999,9474,26500,0.06377722883449355
2015-03-24,9473,9569,9473,9569,30026,0.010027443529660118
2015-03-25,9474,9474,9474,9474,0,-0.009927892151739948
2015-03-26,9474,9474,9380,9380,632,-0.009921891492505774
2015-03-27,9473,10137,9473,10137,38418,0.08070362473347559
2015-03-30,9948,9948,9948,9948,1793,-0.018644569399230537
2015-03-31,9852,9948,9852,9948,8865,0.0
2015-04-01,9901,9901,9901,9901,2110,-0.004724567752312003
2015-04-02,9948,10991,9948,10991,27967,0.11008988991011015
2015-04-03,10706,10706,10422,10422,4853,-0.05176962969702481
2015-04-06,10422,10422,10422,10422,2110,0.0
2015-04-07,10232,10232,10232,10232,0,-0.01823066589905964
2015-04-08,10895,10895,9947,10422,316,0.01856919468334639
2015-04-09,9948,11369,9948,10612,6553,0.01823066589905964
2015-04-10,10610,10896,10610,10896,12557,0.02676215604975507
2015-04-13,10895,12317,10895,12317,24343,0.13041483113069008
2015-04-14,12316,13738,12127,12270,12664,-0.003815864252658896
2015-04-15,12269,12506,12269,12317,32189,0.003830480847595741
2015-04-16,12364,12364,12127,12270,6372,-0.003815864252658896
2015-04-17,12317,12317,12317,12317,104,0.003830480847595741
2015-04-20,13453,13453,12270,12270,527,-0.003815864252658896
2015-04-21,12032,12175,11937,12175,1900,-0.007742461287693514
2015-04-22,12270,12270,12270,12270,1,0.007802874743326527
2015-04-23,12270,12270,12270,12270,104,0.0
2015-04-24,12222,12222,11890,11891,2919,-0.030888345558272245
2015-04-27,11890,13264,11890,12270,6032,0.03187284500883014
2015-04-28,12270,12270,12270,12270,104,0.0
2015-04-29,12221,12790,12221,12317,6802,0.003830480847595741
2015-04-30,12317,12317,12317,12317,0,0.0
2015-05-04,12317,12317,12317,12317,1,0.0
2015-05-06,10610,12316,10610,12222,2323,-0.007712917106438288
2015-05-07,11558,12175,10516,12175,347459,-0.0038455244640811515
2015-05-08,11558,12222,11558,12222,211,0.003860369609856251
2015-05-11,12221,12317,12221,12317,1691,0.007772868597610838
2015-05-12,11937,12412,11937,12412,15951,0.007712917106438288
2015-05-13,12599,12790,12552,12790,4203,0.030454398968740026
2015-05-14,12790,13169,11843,12744,14091,-0.003596559812353406
2015-05-15,13169,13169,11937,13075,5604,0.025973006905210205
2015-05-18,12317,12790,11938,12744,11390,-0.025315487571701767
2015-05-19,14211,14211,12032,12554,31674,-0.014908976773383542
2015-05-20,12505,12696,12316,12696,8806,0.011311135892942525
2015-05-21,12316,12695,12222,12554,10785,-0.011184625078764943
2015-05-22,12268,12506,12220,12506,8453,-0.003823482555360802
2015-05-26,12933,12933,12601,12933,381,0.03414361106668795
2015-05-27,12932,13312,12790,13312,8939,0.029304878991726513
2015-05-28,14212,14212,13264,13928,18838,0.04627403846153855
2015-05-29,13927,14496,13785,14402,8895,0.034032165422171134
2015-06-01,14402,14402,14402,14402,10,0.0
2015-06-02,14401,14401,13264,14023,5561,-0.02631578947368418
2015-06-03,13453,13928,13359,13739,1326,-0.020252442416030858
