Date,Open,High,Low,Close,Volume,Change
2015-10-23,8500,9250,5950,6450,8602952,
2015-10-26,6461,6936,6024,6262,1678988,-0.02914728682170542
2015-10-27,6349,6499,5537,5587,2134504,-0.10779303736825296
2015-10-28,5675,5962,5337,5800,2558352,0.03812421693216406
2015-10-29,5900,5950,5400,5425,1119392,-0.06465517241379315
2015-10-30,5312,5425,4737,4775,2085156,-0.11981566820276501
2015-11-02,4725,4812,4425,4450,1264496,-0.0680628272251309
2015-11-03,4549,4774,4362,4662,2538392,0.04764044943820234
2015-11-04,4587,5199,4549,5162,2510508,0.10725010725010731
2015-11-05,5075,5312,4887,5125,1195444,-0.007167764432390533
2015-11-06,5287,6586,5124,6087,6851184,0.18770731707317068
2015-11-09,5899,6074,5512,5637,2016912,-0.0739280433711188
2015-11-10,5650,6212,5600,6000,1659056,0.0643959552953699
2015-11-11,5862,6487,5687,6225,1580252,0.03750000000000009
2015-11-12,6275,6712,6275,6450,1662788,0.03614457831325302
2015-11-13,6437,6625,6312,6550,1027356,0.015503875968992276
2015-11-16,6412,6800,6325,6525,712612,-0.003816793893129722
2015-11-17,6625,6837,6200,6375,824076,-0.02298850574712641
2015-11-18,6287,6375,5925,5975,1022952,-0.06274509803921569
2015-11-19,6075,6137,5625,6075,1235816,0.01673640167364021
2015-11-20,5925,6350,5900,6200,960880,0.020576131687242816
2015-11-23,6000,6587,5950,6200,1535704,0.0
2015-11-24,6125,6487,6087,6325,601464,0.02016129032258074
2015-11-25,6375,6750,6212,6700,1398992,0.059288537549407216
2015-11-26,6675,7912,6662,7500,1992912,0.11940298507462677
2015-11-27,7550,8762,7350,8050,2982332,0.07333333333333325
2015-11-30,7974,8112,7387,7550,1187652,-0.06211180124223603
2015-12-01,7600,8537,7500,8375,1833588,0.10927152317880795
2015-12-02,8537,8687,8050,8100,1015328,-0.032835820895522394
2015-12-03,8162,8237,7687,7800,802688,-0.03703703703703709
2015-12-04,7650,8287,7612,8225,847736,0.054487179487179516
2015-12-07,8350,8350,7750,7750,765752,-0.05775075987841949
2015-12-08,7625,7900,7325,7725,751716,-0.003225806451612856
2015-12-09,7637,7974,7362,7762,686236,0.004789644012944905
2015-12-10,7700,8237,7700,8200,893740,0.05642875547539283
2015-12-11,8225,8625,8025,8550,1083628,0.04268292682926833
2015-12-14,8312,8562,8125,8300,707256,-0.0292397660818714
2015-12-15,8312,8449,7912,8312,540136,0.0014457831325300763
2015-12-16,8375,8450,7774,7950,1308688,-0.04355149181905682
2015-12-17,8074,8162,7700,7750,642088,-0.02515723270440251
2015-12-18,7925,8075,7712,7825,1069416,0.00967741935483879
2015-12-21,7699,7824,7274,7287,820044,-0.06875399361022361
2015-12-22,7325,7462,6800,7000,992956,-0.03938520653218058
2015-12-23,7000,7400,6950,7250,1265288,0.03571428571428581
2015-12-24,7287,7362,7075,7075,404856,-0.024137931034482807
2015-12-28,7075,7312,6862,7125,322432,0.007067137809187329
2015-12-29,7312,7662,7249,7662,690612,0.07536842105263153
2015-12-30,7724,8061,7649,7987,499912,0.04241712346645787
2016-01-04,7949,8362,7749,7775,607708,-0.026543132590459484
2016-01-05,7775,8150,7700,8050,536104,0.03536977491961424
2016-01-06,8099,8661,7999,8412,1026972,0.044968944099378794
2016-01-07,8500,8500,7900,8150,623852,-0.031145981930575384
2016-01-08,7875,8650,7875,8650,790440,0.06134969325153383
2016-01-11,8737,8800,8187,8275,581864,-0.043352601156069315
2016-01-12,8187,8337,7900,8150,661368,-0.015105740181268867
2016-01-13,8200,9112,8100,8875,1696184,0.08895705521472386
2016-01-14,8825,9687,8612,9650,2405048,0.08732394366197194
2016-01-15,9599,9874,9174,9462,1555788,-0.019481865284974087
2016-01-18,9375,9950,9375,9575,1308084,0.011942506869583536
2016-01-19,9600,10075,9450,9950,1074708,0.039164490861618884
2016-01-20,9875,10125,9287,9725,1180864,-0.022613065326633208
2016-01-21,9387,9899,9237,9562,846968,-0.01676092544987151
2016-01-22,9700,10437,9512,10425,1661532,0.09025308512863428
2016-01-25,10374,11049,10224,10812,1267840,0.03712230215827339
2016-01-26,10724,11687,10562,11687,1049560,0.080928597854236
2016-01-27,11562,12199,11212,11812,1240576,0.010695644733464515
2016-01-28,11811,11949,11199,11462,1009012,-0.029630883846935352
2016-01-29,11336,11424,10687,10912,1307268,-0.04798464491362764
2016-02-01,10874,11461,10612,11212,758468,0.027492668621700966
2016-02-02,11212,11212,10850,11025,351708,-0.01667855868712098
2016-02-03,10999,12224,10874,11812,1073412,0.07138321995464847
2016-02-04,11886,12124,10999,11487,712176,-0.027514392143582755
2016-02-05,11412,11687,8250,8925,5092300,-0.22303473491773307
2016-02-11,9025,9850,8625,9175,2537172,0.028011204481792618
2016-02-12,8949,9399,7274,8312,4181004,-0.09405994550408714
2016-02-15,8336,8849,7949,8287,839808,-0.003007699711260803
2016-02-16,8362,8774,8199,8537,873412,0.030167732593218366
2016-02-17,8600,9125,8450,8475,1203260,-0.007262504392643754
2016-02-18,8750,8875,8275,8375,821580,-0.01179941002949858
2016-02-19,8487,8487,7900,8050,717772,-0.03880597014925369
2016-02-22,7987,8411,7749,8362,630860,0.03875776397515529
2016-02-23,8375,8462,7875,7875,423104,-0.058239655584788275
2016-02-24,7812,8237,7800,8225,438380,0.04444444444444451
2016-02-25,8374,8612,8149,8612,663436,0.04705167173252289
2016-02-26,8637,9337,8400,9250,1050432,0.0740826753367394
2016-02-29,9337,9937,9087,9750,1102540,0.054054054054053946
2016-03-02,9800,9900,9575,9650,638980,-0.01025641025641022
2016-03-03,9724,9749,9162,9412,789632,-0.024663212435233173
2016-03-04,9475,10450,9450,10000,1873496,0.062473438164045936
2016-03-07,10149,10274,9574,9662,593248,-0.03380000000000005
2016-03-08,9661,9799,9312,9537,389096,-0.012937280066238843
2016-03-09,9550,9700,9475,9575,358980,0.003984481493132019
2016-03-10,9725,10475,9675,10475,1250916,0.09399477806788514
2016-03-11,10387,11049,10137,10512,1488184,0.0035322195704057258
2016-03-14,10525,10925,10275,10575,517272,0.0059931506849315586
2016-03-15,10399,10549,9899,9962,765884,-0.057966903073286
2016-03-16,9837,10112,9750,10025,322144,0.006324031319012269
2016-03-17,9937,10349,9937,10212,545304,0.01865336658354111
2016-03-18,10187,10374,10162,10287,224712,0.007344300822561767
2016-03-21,10362,10699,10299,10587,656656,0.029163021289005497
2016-03-22,10550,11337,10550,11175,1513724,0.05553981297818078
2016-03-23,11175,11250,10850,10875,524520,-0.02684563758389258
2016-03-24,11000,11312,10662,11125,663948,0.02298850574712641
2016-03-25,11249,11399,11049,11212,475804,0.007820224719101043
2016-03-28,11161,11336,10837,11037,467136,-0.015608276846236224
2016-03-29,11037,11225,10575,10625,709672,-0.03732898432545073
2016-03-30,10550,11037,10450,10775,386004,0.014117647058823568
2016-03-31,10825,10925,10575,10575,318668,-0.018561484918793503
2016-04-01,10450,10737,10450,10625,197276,0.004728132387706863
2016-04-04,10712,11111,10662,10987,256736,0.034070588235294075
2016-04-05,10975,11037,10812,11025,249660,0.0034586329298260665
2016-04-06,11025,11125,10775,10850,220712,-0.015873015873015928
2016-04-07,10862,11275,10850,11200,536524,0.032258064516129004
2016-04-08,11112,11187,10862,11000,242544,-0.017857142857142905
2016-04-11,11024,11111,10799,10812,186984,-0.017090909090909046
2016-04-12,10750,10750,10112,10250,698700,-0.051979282278949324
2016-04-14,10249,10336,9937,10237,335936,-0.0012682926829268304
2016-04-15,10250,10387,10025,10075,146844,-0.01582494871544393
2016-04-18,10024,10111,9687,9937,260024,-0.013697270471464074
2016-04-19,10012,10311,9937,10062,196996,0.012579249270403547
2016-04-20,10175,10475,10087,10400,254508,0.03359173126614978
2016-04-21,10399,10511,10149,10362,176004,-0.0036538461538461187
2016-04-22,10399,10399,9924,9987,383920,-0.036189924724956524
2016-04-25,10112,10200,10012,10025,143724,0.003804946430359557
2016-04-26,10025,10187,9750,9925,258016,-0.009975062344139696
2016-04-27,9825,10075,9825,9900,235892,-0.0025188916876573986
2016-04-28,9850,10325,9850,10200,291148,0.030303030303030276
2016-04-29,10200,10337,10125,10200,209436,0.0
2016-05-02,10199,10249,10012,10087,132772,-0.011078431372549047
2016-05-03,10037,10575,10012,10575,518136,0.04837910181421634
2016-05-04,10500,10750,10425,10600,262728,0.0023640661938533203
2016-05-09,10637,10637,10150,10425,248540,-0.01650943396226412
2016-05-10,10324,10461,10187,10187,260896,-0.022829736211031126
2016-05-11,10275,10500,10187,10425,178316,0.02336310984588197
2016-05-12,10162,10474,10124,10462,169124,0.0035491606714628254
