Date,Open,High,Low,Close,Volume,Change
2002-04-09,5678,5678,5678,5679,2867,
2002-04-10,6356,6356,6356,6356,6492,0.11921112871984496
2002-04-11,7114,7114,7114,7114,32880,0.11925739458779105
2002-04-12,7645,7936,7121,7354,3017626,0.03373629463030636
2002-04-15,7646,7719,6721,7238,1920285,-0.015773728583084012
2002-04-16,7274,7463,6371,6371,1747245,-0.11978447084830068
2002-04-17,6313,6516,5715,5905,1007438,-0.07314393344843828
2002-04-18,5971,6138,5505,5701,497155,-0.03454699407281969
2002-04-19,5577,6262,5512,5934,845415,0.04087002280301699
2002-04-22,5556,5804,5228,5228,325037,-0.11897539602291873
2002-04-23,4682,4878,4602,4602,672724,-0.11973986228003064
2002-04-24,4375,4586,4063,4252,652437,-0.07605388961321169
2002-04-25,4107,4253,3765,3765,341607,-0.11453433678269054
2002-04-26,3676,4033,3662,4004,464072,0.06347941567065063
2002-04-29,3830,3844,3524,3524,323620,-0.11988011988011993
2002-04-30,3458,3676,3422,3567,268211,0.012202043132803597
2002-05-02,3654,3851,3640,3640,270934,0.020465377067563795
2002-05-03,3641,4078,3641,3896,766054,0.0703296703296703
2002-05-06,4026,4361,3997,4143,1051266,0.0633983572895278
2002-05-07,4078,4078,3867,3998,381441,-0.03499879314506393
2002-05-08,4026,4471,4026,4434,732240,0.10905452726363185
2002-05-09,4515,4581,3903,3969,983508,-0.10487144790257108
2002-05-10,3931,3997,3640,3684,406106,-0.0718065003779289
2002-05-13,3654,3727,3567,3567,412722,-0.03175895765472314
2002-05-14,3640,3896,3604,3888,769778,0.08999158957106812
2002-05-15,3662,3858,3589,3684,523961,-0.05246913580246915
2002-05-16,3685,3867,3685,3867,440536,0.04967426710097711
2002-05-17,3887,4084,3800,4004,719413,0.03542798034652184
2002-05-20,4151,4268,4041,4129,913338,0.03121878121878119
2002-05-21,4078,4130,3634,3634,902997,-0.11988374909178978
2002-05-22,3532,3619,3313,3459,546027,-0.048156301596037454
2002-05-23,3481,3539,3051,3051,423625,-0.11795316565481351
2002-05-24,3065,3247,2999,3109,458552,0.019010160603081028
2002-05-27,2919,3028,2883,2912,330084,-0.06336442586040525
2002-05-28,2911,2984,2788,2839,203040,-0.02506868131868134
2002-05-29,2912,2941,2810,2883,256409,0.01549841493483628
2002-05-30,2782,2898,2724,2818,247130,-0.02254595907041279
