Date,Open,High,Low,Close,Volume,Change
2007-06-05,30324,34839,29650,34839,1428418,
2007-06-07,38545,40028,36524,40028,659080,0.14894227733287413
2007-06-08,42453,45148,41442,41983,962984,0.04884081143199759
2007-06-11,43734,44812,37871,39017,448205,-0.07064764309363314
2007-06-12,39084,44273,39017,43330,902670,0.11054155880769923
2007-06-13,44811,49798,44474,49800,1254738,0.1493191783983383
2007-06-14,52561,56469,48315,49867,1258985,0.0013453815261044166
2007-06-15,50540,53910,48519,53910,638410,0.08107566125894872
2007-06-18,54583,56537,52763,53506,521499,-0.007493971433871316
2007-06-19,53573,54112,47171,49193,475067,-0.08060778230478827
2007-06-20,49934,52764,46901,47845,585116,-0.027402272681072537
2007-06-21,48518,54313,45687,52293,796293,0.09296687219145161
2007-06-22,53236,54112,48182,48923,447003,-0.06444457193123365
2007-06-25,48316,50136,47306,48923,177749,0.0
2007-06-26,49596,50068,46833,47104,233726,-0.037180876070559865
2007-06-27,46699,47103,42454,42454,268584,-0.09871773097826086
2007-06-28,44070,46631,43464,44813,275112,0.05556602440288305
2007-06-29,45283,48181,43868,47441,339115,0.058643697141454565
2007-07-02,47642,49596,46968,48991,213879,0.03267216121076699
2007-07-03,49663,50607,48787,48991,167605,0.0
2007-07-04,48923,49193,46632,46767,219189,-0.045396093159968176
2007-07-05,46496,48652,45148,46363,178003,-0.008638569931789464
2007-07-06,46361,47844,45485,47104,145746,0.015982572309815923
2007-07-09,47171,50338,47036,47508,226174,0.008576766304347894
2007-07-10,48181,49933,47574,47778,105449,0.005683253346804751
2007-07-11,47170,47574,46361,46363,103429,-0.029616141320272904
2007-07-12,46632,47710,45554,45621,109390,-0.016004141233311064
2007-07-13,46294,47035,44340,45487,191329,-0.0029372438131561873
2007-07-16,45621,46362,44273,44341,79477,-0.025194011475806244
2007-07-18,44946,45148,42790,43802,171708,-0.012155792607293492
2007-07-19,44137,45081,42520,43600,166685,-0.0046116615679648865
2007-07-20,44003,44137,42924,43398,106615,-0.0046330275229358175
2007-07-23,43464,43531,39959,39961,252955,-0.07919719802755887
2007-07-24,40296,40633,37870,39894,253577,-0.0016766347188509334
2007-07-25,39152,41106,39152,39152,115699,-0.018599288113500756
2007-07-26,39555,39622,37331,38344,167152,-0.020637515324887667
2007-07-27,37736,38881,36657,37468,137598,-0.022845816816190245
2007-07-30,37466,39420,36792,38546,126534,0.02877121810611727
2007-07-31,39084,39354,38141,39017,83264,0.012219166709904972
2007-08-01,38882,40769,37737,37804,165442,-0.031089012481738676
2007-08-02,38680,39287,37198,37804,65052,0.0
2007-08-03,38074,39084,37939,38613,63085,0.021399851867527353
2007-08-06,36994,36994,35579,36996,252200,-0.04187708802734835
2007-08-07,37265,37265,35041,35850,156026,-0.030976321764515036
2007-08-08,35310,35579,33625,34031,293153,-0.05073919107391911
2007-08-09,34165,35985,33828,35513,213916,0.04354852928212516
2007-08-10,34636,38679,34164,38007,279433,0.07022780390279615
2007-08-13,38207,38342,36118,36457,91738,-0.040781961217670415
2007-08-14,36726,38343,36389,38074,191050,0.044353622075321564
2007-08-16,36320,36927,32412,33155,150100,-0.12919577664547988
2007-08-17,32513,33524,30390,31201,154884,-0.0589353038757352
2007-08-20,32346,33896,31133,31133,249767,-0.0021794173263677274
2007-08-21,31335,31941,30189,31133,191168,0.0
2007-08-22,31200,32413,31133,31335,148093,0.006488292165869103
2007-08-23,32244,35647,31805,34705,276641,0.10754747087920857
2007-08-24,34502,36389,33289,35715,177260,0.0291024348076645
2007-08-27,36455,36725,34636,35379,117670,-0.009407811843763159
2007-08-28,35445,37467,34839,35985,194559,0.017128805223437737
2007-08-29,34097,35916,33490,35918,104738,-0.0018618868973183655
2007-08-30,37063,37602,36052,36052,113916,0.003730719973272345
2007-08-31,35917,36726,35445,36726,71762,0.018695218018417892
2007-09-03,37400,37400,36456,37063,67588,0.009176060556553844
2007-09-04,37198,37400,36187,37265,84009,0.005450179424223656
2007-09-05,37332,37534,36389,36389,69671,-0.023507312491614085
2007-09-06,36456,37063,35715,36726,54470,0.00926104042430409
2007-09-07,36725,38612,36455,37872,100063,0.0312040516255514
2007-09-10,36994,37062,36186,36322,65693,-0.04092733417828476
2007-09-11,36456,37265,35850,37265,66264,0.025962226749628226
2007-09-12,37400,37467,35648,36389,62004,-0.023507312491614085
2007-09-13,35984,37197,35714,36592,109836,0.005578608920278061
2007-09-14,36793,36793,35917,35985,70475,-0.016588325317009156
2007-09-17,36388,36388,34366,34368,93101,-0.044935389745727417
2007-09-18,33692,33962,32614,32919,116772,-0.042161312849162025
2007-09-19,33693,34367,33491,33896,116135,0.029678908836841877
2007-09-20,34030,35311,33896,34839,89131,0.02782039178664153
2007-09-21,34231,35377,34231,34705,49051,-0.0038462642440942885
2007-09-27,35040,35579,34703,35244,40673,0.015530903328050627
2007-09-28,35242,35377,34231,34570,40643,-0.019123822494608977
2007-10-01,34703,34905,33895,34907,38964,0.009748336708128358
2007-10-02,35311,36658,34906,36187,111849,0.03666886297877214
2007-10-04,36657,41577,36455,40433,463167,0.11733495454168619
2007-10-05,40904,40904,38747,39691,144181,-0.018351346672272673
2007-10-08,40702,42319,40163,41241,183034,0.03905167418306421
2007-10-09,42453,42722,41038,42050,143161,0.019616401154191276
2007-10-10,42453,42453,40903,41848,92225,-0.00480380499405475
2007-10-11,41712,42454,40500,42454,86839,0.01448097878034793
2007-10-12,42454,45621,41780,41780,318239,-0.015876006972252332
2007-10-15,42454,42521,39960,40163,122727,-0.038702728578267065
2007-10-16,40027,41577,39151,40298,106066,0.0033613026915320088
2007-10-17,40500,42993,40500,41915,176620,0.040126060846692235
2007-10-18,42791,45823,42386,45756,236674,0.09163783848264351
2007-10-19,45688,45688,42454,42454,117719,-0.07216539907334563
2007-10-22,39758,42117,39421,42117,98154,-0.007938003486126166
2007-10-23,43598,43598,41914,42859,61887,0.017617589097039144
2007-10-24,43396,44609,42183,42185,88264,-0.015725985207307724
2007-10-25,43060,44273,42791,43465,73451,0.030342538817115017
2007-10-26,44137,44137,42520,44072,68402,0.013965259404118191
2007-10-29,44070,44340,42924,43937,62925,-0.0030631693592303444
2007-10-30,44004,44071,42454,42454,52600,-0.03375287343241462
2007-10-31,42453,43598,41172,41174,51400,-0.030150280303387178
2007-11-01,41443,42723,40836,42117,71037,0.022902802739592998
2007-11-02,40769,41780,39152,40567,79459,-0.036802241375216704
2007-11-05,40499,40566,37668,38411,95751,-0.05314664628885546
2007-11-06,38478,39826,38478,39152,35392,0.01929134883236583
2007-11-07,39757,39959,38207,38681,23169,-0.012030036779730247
2007-11-08,37736,40027,37668,38681,40999,0.0
2007-11-09,39218,41509,39218,41511,63571,0.07316253457769961
2007-11-12,41510,41510,39489,39826,25110,-0.0405916504059165
2007-11-13,39354,40163,38882,39287,22367,-0.013533872344699494
2007-11-14,40230,40634,39421,39826,20796,0.013719550996512897
2007-11-15,39959,40094,38073,38546,39826,-0.03213980816551998
2007-11-16,38544,38544,37129,37535,18874,-0.026228402428267517
2007-11-19,38073,38073,36051,36592,28244,-0.025123218329559105
2007-11-20,35580,38747,34030,37939,43093,0.03681132487975525
2007-11-21,37668,39083,37331,37468,37538,-0.012414665647486722
2007-11-22,37063,38410,35445,36524,33524,-0.02519483292409519
2007-11-23,36523,36994,34905,34907,30737,-0.044272259336326836
2007-11-26,34703,35647,34703,35446,18532,0.015441029019967356
2007-11-27,33896,35648,33222,35648,41695,0.005698809456638365
2007-11-28,35715,36524,34435,34772,32462,-0.024573608617594278
2007-11-29,35311,35850,34704,35176,20645,0.011618543655814939
2007-11-30,35242,35984,35040,35918,20230,0.021093927677962254
2007-12-03,35917,36254,35445,35648,11729,-0.00751712233420565
2007-12-04,35243,35648,34030,34839,34929,-0.02269412028725315
2007-12-05,34502,35850,34502,34974,16551,0.003874967708602517
2007-12-06,35378,37332,35378,37063,61539,0.05973008520615308
2007-12-07,37400,38006,36456,36726,18962,-0.009092626069125531
2007-12-10,36590,37466,35781,37468,21864,0.020203670424222553
2007-12-11,37601,38746,37129,38748,24625,0.03416248532080712
2007-12-12,38545,41241,38074,40230,55523,0.038247135336017424
2007-12-13,40230,40702,39354,40567,31795,0.008376833209047918
2007-12-14,40769,40971,39421,40365,24542,-0.004979416767323164
2007-12-17,39488,40431,38612,39759,21516,-0.015013006317354138
2007-12-18,38613,41106,38613,40904,22576,0.02879851102894948
2007-12-20,40566,40835,37803,38007,33577,-0.07082436925484059
2007-12-21,38746,39959,36860,39961,26946,0.05141158207698582
2007-12-24,40768,41105,39622,40972,33227,0.025299667175496143
2007-12-26,40163,41241,39893,40567,19904,-0.009884799375183051
2007-12-27,40432,41106,39826,41106,21959,0.01328666157221381
2007-12-28,40432,41915,40432,41039,35039,-0.0016299323699703328
2008-01-02,41780,41780,39691,39691,28696,-0.03284680425936304
2008-01-03,39218,40229,38612,39624,30294,-0.0016880401098485764
2008-01-04,40095,40432,38882,40163,25713,0.013602866949323555
2008-01-07,38814,39757,38140,39624,21946,-0.01342031222767226
2008-01-08,39218,39892,39083,39759,19383,0.0034070260448213485
2008-01-09,39420,40701,39151,40635,26113,0.02203274730249749
2008-01-10,40095,40904,39219,39287,19909,-0.03317337270825638
2008-01-11,39690,39690,38612,39085,20516,-0.005141649909639279
2008-01-14,38410,38950,37871,38478,15673,-0.015530254573365765
2008-01-15,38409,39083,36051,38209,21424,-0.006991007848640818
2008-01-16,37870,37870,35781,35783,25330,-0.06349289434426442
2008-01-17,36051,36725,34366,34705,24897,-0.030126037503842573
2008-01-18,33760,34973,32985,34705,35884,0.0
2008-01-21,34164,34299,33355,33593,37469,-0.03204149258031985
2008-01-22,32142,33221,29649,31066,50967,-0.07522400500104187
2008-01-23,31335,32278,30324,30998,35026,-0.002188888173565995
2008-01-24,31065,32986,31065,31874,66279,0.028259887734692457
2008-01-25,32548,33761,32076,33761,78515,0.059201857313170514
2008-01-28,33087,33896,32346,32413,61119,-0.039927727259263635
2008-01-29,33087,33559,31200,32346,46348,-0.0020670718538857713
2008-01-30,32783,32783,28571,30729,73345,-0.049990725282878845
2008-01-31,29716,30256,28470,28640,74920,-0.06798138566175271
2008-02-01,28808,29650,28572,29482,54818,0.029399441340782095
2008-02-04,29920,32346,29684,30223,73717,0.02513398005562717
2008-02-05,30222,30559,29110,30527,29822,0.01005856466929167
2008-02-11,29818,30694,29514,29550,43142,-0.03200445507255867
2008-02-12,29650,30796,29482,30324,83324,0.02619289340101516
2008-02-13,30391,30897,29987,30324,63206,0.0
2008-02-14,30862,30896,30121,30864,29775,0.017807677087455565
2008-02-15,30626,30660,29615,29988,40046,-0.028382581648522587
2008-02-18,29750,29750,28942,29314,43486,-0.022475656929438426
2008-02-19,29582,29919,29177,29718,29822,0.013781810738896061
2008-02-20,29750,30020,29312,29752,38304,0.0011440877582609144
2008-02-21,29986,30121,29447,29752,28721,0.0
2008-02-22,29548,29716,28638,28640,43459,-0.03737563861253024
2008-02-25,28707,28976,27494,28673,60306,0.0011522346368715297
2008-02-26,28606,28740,27999,28134,41205,-0.018798172496773957
2008-02-27,28471,32346,28168,32346,106678,0.14971209213051817
2008-02-28,32682,32783,31266,31605,67161,-0.022908551289185675
2008-02-29,31604,32514,31301,31773,42079,0.0053156146179402786
2008-03-03,30863,30863,30324,30324,33849,-0.045604758757435526
2008-03-04,30054,31503,30021,30762,22537,0.01444400474871399
2008-03-05,30593,31132,29716,29718,28026,-0.03393797542422472
2008-03-06,29851,33355,29851,32279,95613,0.08617672790901132
2008-03-07,31671,33153,31098,32279,45966,0.0
2008-03-10,31940,31940,30559,30864,66864,-0.04383655007899878
2008-03-11,30998,30998,29717,30762,35965,-0.003304821150855397
2008-03-12,31537,31672,29246,29246,80341,-0.04928158117157533
2008-03-13,29246,29515,27561,28033,82453,-0.04147575736852904
2008-03-14,28301,29615,27964,29213,40696,0.042093247244319176
2008-03-17,28638,29649,28571,29651,40922,0.01499332488960392
2008-03-18,29549,30021,29010,29583,22798,-0.0022933459242521215
2008-03-19,29649,30154,29514,29752,37235,0.005712740425244167
2008-03-20,29649,31132,29177,31066,37534,0.04416509814466263
2008-03-21,31536,31940,31064,31201,36619,0.0043455868151676125
2008-03-24,31537,31840,30998,31335,45097,0.004294734143136525
2008-03-25,31672,34030,31099,31874,146809,0.01720121270145203
2008-03-26,32143,32548,31470,32110,39121,0.007404153855807172
2008-03-27,31806,32076,30964,31335,52390,-0.02413578324509502
2008-03-28,30998,31739,30998,31672,50600,0.01075474708792079
2008-03-31,31974,32008,30929,30931,22700,-0.023396059611012876
2008-04-01,30593,30660,29245,29314,79280,-0.05227765025379072
2008-04-02,29919,30256,29245,29651,60484,0.011496213413386025
2008-04-03,29650,30088,29616,29785,16939,0.004519240497790955
2008-04-04,29650,30021,28976,29111,39830,-0.022628840020144314
2008-04-07,28707,29111,28606,28673,61918,-0.015045858953660174
2008-04-08,28942,29076,28571,28775,39695,0.0035573536079238632
2008-04-10,29077,29077,28370,28370,33762,-0.014074717636837542
2008-04-11,28504,29347,28370,29347,47640,0.03443778639407835
2008-04-14,29178,29515,28740,29111,35792,-0.008041707840665158
2008-04-15,28976,29178,28471,28673,30076,-0.015045858953660174
2008-04-16,28841,29178,28639,29044,34478,0.012939001848428777
2008-04-17,29312,29649,29043,29179,43082,0.004648120093651009
2008-04-18,29211,29211,28402,28505,46018,-0.023098803934336387
2008-04-21,28639,29852,28639,29347,52919,0.02953867742501326
2008-04-22,29246,29751,28976,29482,34975,0.004600129485126336
2008-04-23,29548,30020,29177,29415,48271,-0.0022725730954480383
2008-04-24,29750,30121,29380,29516,41062,0.003433622301546757
2008-04-25,30155,30324,29751,29785,34687,0.009113701043501843
2008-04-28,30122,32245,30122,31874,125966,0.0701359744838006
2008-04-29,32142,32244,31233,31942,41605,0.002133400263537588
2008-04-30,31435,32075,31132,31841,29170,-0.003161981090726962
2008-05-02,32009,32379,31503,31773,23242,-0.0021356113187399606
2008-05-06,31401,31974,31334,31605,23600,-0.005287508261731633
2008-05-07,31502,31603,30424,30426,55523,-0.037304224015187515
2008-05-08,30324,30930,30122,30257,45991,-0.005554460001314654
2008-05-09,30358,30526,28976,29111,59135,-0.0378755329345275
2008-05-13,29851,30053,28908,28977,54654,-0.004603071004087855
2008-05-14,29110,29481,28807,28977,50677,0.0
2008-05-15,29178,29650,28943,29448,47190,0.016254270628429435
2008-05-16,30257,30796,29246,29381,81258,-0.0022751969573485686
2008-05-19,29515,29583,28370,29044,49618,-0.011469997617507888
2008-05-20,29583,29650,28774,29044,46986,0.0
2008-05-21,28436,28975,28369,28539,46775,-0.01738741220217599
2008-05-22,28302,28302,27595,27696,50116,-0.029538526227267936
2008-05-23,27729,28099,27526,27899,29543,0.007329578278451709
2008-05-26,27627,27830,26617,26652,64687,-0.04469694254274348
2008-05-27,26618,26887,25742,25944,52816,-0.02656461053579473
2008-05-28,26079,27190,26079,26921,39921,0.037658032685784715
2008-05-29,27088,27863,27021,27562,33299,0.023810408231492053
2008-05-30,27964,28099,27358,28101,28537,0.019555910311298108
2008-06-02,28066,28100,27393,28033,28232,-0.002419842710223885
2008-06-03,27560,28436,27156,28101,43977,0.0024257125530624535
2008-06-04,28301,28571,27762,28303,24726,0.007188356286253139
2008-06-05,28301,28840,28099,28404,15976,0.0035685263046321136
2008-06-09,27762,27897,27156,27326,19879,-0.03795240107027176
2008-06-10,27157,27628,26079,26079,31713,-0.04563419453999851
2008-06-11,25944,26752,25944,26618,24318,0.020667970397638014
2008-06-12,26112,26348,25944,26146,18937,-0.0177323615598467
2008-06-13,26313,27223,26313,26787,12645,0.024516178382926634
2008-06-16,26853,27359,26786,26955,18806,0.006271698958449923
2008-06-17,26955,27190,26483,26955,24027,0.0
2008-06-18,27157,27157,26281,26382,26518,-0.021257651641624964
2008-06-19,26045,26348,25371,25371,50027,-0.03832158289743004
2008-06-20,25910,28976,25910,26079,307744,0.02790587678845924
2008-06-23,25269,25808,24595,24900,64896,-0.04520878868054756
2008-06-24,25101,25101,23383,23518,96786,-0.05550200803212857
2008-06-25,23382,24258,22607,23384,139116,-0.005697763415256407
2008-06-26,23720,24091,23383,23417,36163,0.0014112213479302582
2008-06-27,22304,22607,21798,21901,99430,-0.06473929196737416
2008-06-30,21766,21900,20182,20553,123300,-0.061549700926898265
2008-07-01,20013,22910,17486,21901,275035,0.06558653237970136
2008-07-02,21327,21327,20080,20284,93627,-0.07383224510296338
2008-07-03,19542,21294,19272,20553,53694,0.013261684085979164
2008-07-04,20619,21327,20080,20385,37115,-0.008173989198657083
2008-07-07,20216,20822,19475,19542,33022,-0.04135393671817511
2008-07-08,19306,20216,17756,18599,65957,-0.048255040425749685
2008-07-09,19204,19474,17856,17993,55328,-0.03258239690305931
2008-07-10,17588,20688,17588,20688,90056,0.1497804701828489
2008-07-11,20586,21227,20014,20553,61753,-0.006525522041763376
2008-07-14,20216,20721,19677,19677,47327,-0.042621515107283625
2008-07-15,19474,19575,18362,18498,51322,-0.0599176703765818
2008-07-16,18969,19104,17992,18565,40067,0.003622013190615281
2008-07-17,19305,19676,19002,19273,38910,0.03813627794236463
2008-07-18,19608,20147,19271,19273,42998,0.0
2008-07-21,19743,20013,19541,19846,26564,0.02973071135785821
2008-07-22,19845,19980,19542,19677,17894,-0.008515569888138619
2008-07-23,20014,20822,19980,20418,42500,0.03765817960054885
2008-07-24,20687,20821,20417,20621,25778,0.009942207855813567
2008-07-25,20148,21900,20115,21092,103335,0.02284079336598621
2008-07-28,21125,21327,20619,20621,40981,-0.02233074151337
2008-07-29,20216,20216,19272,19542,40307,-0.05232529945201492
2008-07-30,19980,20216,18935,19205,32620,-0.017244908402415327
2008-07-31,19339,19642,18699,18936,26507,-0.014006769070554537
2008-08-01,18868,19138,18599,18767,21554,-0.00892479932403889
2008-08-04,18834,19104,18194,18902,36538,0.007193477913358448
2008-08-05,18733,19677,18733,19340,36138,0.023172151095122162
2008-08-06,19508,19845,19306,19475,20701,0.0069803516028954515
2008-08-07,19474,19474,18800,18936,25343,-0.027676508344030792
2008-08-08,18766,18833,18395,18734,26164,-0.010667511618081993
2008-08-11,18901,18968,17856,17959,65962,-0.041368634568164864
2008-08-12,17958,17992,16981,17352,111568,-0.03379920931009517
2008-08-13,17217,17655,17049,17386,25659,0.001959428307976019
2008-08-14,17150,17891,17150,17790,28633,0.0232370873116301
2008-08-18,17654,18058,17216,17285,22908,-0.028386734120292245
2008-08-19,17014,17182,16441,16443,50097,-0.048712756725484474
2008-08-20,16306,16711,16037,16308,71774,-0.008210180623973717
2008-08-21,16173,16981,16173,16173,30878,-0.008278145695364225
2008-08-22,15801,17317,15194,16780,147908,0.03753168861683043
2008-08-25,16845,16980,16508,16510,23003,-0.016090584028605526
2008-08-26,16105,16408,15768,16173,33349,-0.020411871592973974
2008-08-27,16172,16542,16070,16308,22341,0.008347245409014992
2008-08-28,16306,17317,16172,16982,45020,0.041329408879077656
2008-08-29,17048,17385,16643,16645,18595,-0.01984454127900126
2008-09-01,16105,16240,14151,14151,161815,-0.14983478522078697
2008-09-02,14117,14522,12028,12096,188271,-0.1452194191223235
2008-09-03,11960,13476,11791,12905,128074,0.06688161375661372
2008-09-04,12702,13241,12534,12601,69980,-0.02355676094536996
2008-09-05,11859,12971,11791,12905,44454,0.024125069438933444
2008-09-08,13206,13813,13206,13680,48877,0.06005424254165059
2008-09-09,13814,13814,13275,13410,33022,-0.019736842105263164
2008-09-10,13173,13240,12836,12905,42477,-0.037658463832960454
2008-09-11,12837,13073,12466,12601,49925,-0.02355676094536996
2008-09-12,12870,13813,12870,13242,60328,0.05086897865248785
2008-09-16,11724,12196,11353,11591,74983,-0.12467905150279412
2008-09-17,12163,12399,12062,12163,47025,0.04934863255974453
2008-09-18,11724,12229,11454,11793,31533,-0.03042012661349991
2008-09-19,12331,12635,12129,12635,53187,0.0713982871194776
2008-09-22,12802,13341,12634,13006,67461,0.02936288088642658
2008-09-23,12802,13611,12735,13545,42760,0.04144241119483305
2008-09-24,13477,13679,13241,13410,40755,-0.009966777408637828
2008-09-25,13410,13881,13207,13612,20984,0.015063385533184093
2008-09-26,13914,13914,12937,13006,49234,-0.044519541580957944
2008-09-29,13206,13409,12667,12669,23599,-0.025911117945563555
2008-09-30,11455,12803,11287,12736,46997,0.00528849948693666
2008-10-01,13005,13005,12466,12601,29535,-0.010599874371859275
2008-10-02,12667,12937,12364,12366,22737,-0.018649313546543977
2008-10-06,12129,12129,11759,11860,28235,-0.040918647905547445
2008-10-07,11556,12062,11422,11995,27766,0.011382799325463822
2008-10-08,11454,11758,10477,10715,50647,-0.10671112963734886
2008-10-09,10410,10915,9972,10176,46601,-0.05030331311245917
2008-10-10,9298,9534,8725,8828,73597,-0.13246855345911945
2008-10-13,8928,9872,8928,9670,48863,0.09537834164023562
2008-10-14,10310,10849,10209,10546,40925,0.09058945191313339
2008-10-15,10175,10445,10175,10445,16925,-0.009577090840128921
2008-10-16,9399,11926,9096,11928,92614,0.14198180947821926
2008-10-17,11286,11454,10140,10142,75963,-0.14973172367538568
2008-10-20,10141,10344,8861,9198,73551,-0.09307828830605402
2008-10-21,9501,9939,9198,9232,66315,0.003696455751250216
2008-10-22,9096,9365,8220,8525,51694,-0.0765814558058926
2008-10-23,7950,8085,7276,7514,60417,-0.11859237536656897
2008-10-24,7344,7512,6400,6402,109427,-0.1479904178866117
2008-10-27,5875,6400,5443,5445,121316,-0.14948453608247425
2008-10-28,4985,6198,4864,6166,71847,0.13241505968778688
2008-10-29,6542,6704,5241,5243,197570,-0.1496918585793059
2008-10-30,5687,6024,5492,6024,112787,0.14896051878695404
2008-10-31,6165,6469,6010,6334,108805,0.051460823373173925
2008-11-03,6401,7277,6334,6907,190969,0.09046416166719284
2008-11-04,6717,6838,6501,6692,148253,-0.031127841320399585
2008-11-05,7042,7682,6940,7682,209745,0.14793783622235512
2008-11-06,7378,8221,7311,7480,330692,-0.02629523561572511
2008-11-07,6973,7714,6771,7716,223945,0.03155080213903738
2008-11-10,7917,8152,7546,7716,120500,0.0
2008-11-11,7378,7513,7042,7210,89382,-0.06557801969932608
2008-11-12,6872,7377,6737,6874,99324,-0.04660194174757282
2008-11-13,6400,6602,6286,6503,56764,-0.05397148676171082
2008-11-14,6839,6940,6617,6617,42768,0.01753037059818552
2008-11-17,6502,6772,6354,6725,36831,0.016321595889375873
2008-11-18,6670,7714,6656,7716,261102,0.14736059479553898
2008-11-19,8018,8692,7613,8053,542994,0.04367547952306894
2008-11-20,7580,8590,6872,6874,547578,-0.14640506643486895
2008-11-21,6603,7176,6341,6907,247885,0.004800698283386584
2008-11-24,7075,7614,7042,7042,258048,0.019545388736064817
2008-11-25,7411,8085,7310,8087,414425,0.14839534223232032
2008-11-26,8557,9298,8422,9300,867748,0.14999381723754168
2008-11-27,9636,9703,9029,9434,573677,0.01440860215053763
2008-11-28,9535,10849,9467,10849,699279,0.1499894000423998
2008-12-01,11321,11590,10579,10782,574264,-0.006175684394875147
2008-12-02,9838,10512,9771,9973,195038,-0.07503246150992393
2008-12-03,10376,11454,10343,11456,412295,0.14870149403389155
2008-12-04,12095,12196,9736,9738,772138,-0.14996508379888274
2008-12-05,9702,10646,8894,9940,674255,0.020743479153830346
2008-12-08,10377,10950,9973,10950,385430,0.10160965794768617
2008-12-09,10984,11186,10344,10344,261613,-0.05534246575342461
2008-12-10,10377,10647,10040,10108,236198,-0.02281515854601701
2008-12-11,10241,11016,10107,10176,373309,0.006727344677483149
2008-12-12,10174,10578,9130,9502,228726,-0.06623427672955973
2008-12-15,9972,10477,9837,10243,213311,0.07798358240370451
2008-12-16,10377,10478,9838,10074,169757,-0.01649907253734262
2008-12-17,10376,11117,10073,10715,410999,0.06362914433194367
2008-12-18,10915,10983,10275,10277,244420,-0.04087727484834347
2008-12-19,10309,11488,10309,11052,424484,0.07541111219227403
2008-12-22,11321,11826,11051,11085,324260,0.0029858849077089022
2008-12-23,11186,12736,11085,12736,277001,0.14894000902119986
2008-12-24,13476,13712,12229,12366,845984,-0.02905150753768848
2008-12-26,12667,12937,12162,12332,276039,-0.002749474365194904
2008-12-29,12466,12635,10984,11287,319246,-0.08473889069088547
2008-12-30,11523,11860,11152,11287,186131,0.0
2009-01-02,11555,11791,11286,11591,119605,0.026933640471338727
2009-01-05,11791,12432,11690,11793,184528,0.017427314295574092
2009-01-06,12129,12466,11792,11995,174178,0.017128805223437737
2009-01-07,12128,12263,11724,12029,198866,0.002834514380992026
2009-01-08,11759,12837,11759,12163,233405,0.011139745614764385
2009-01-09,12398,12971,12162,12804,259142,0.052700813943928226
2009-01-12,12701,12701,11589,11591,213062,-0.09473601999375192
2009-01-13,11388,11422,10883,11321,127093,-0.023293934949529804
2009-01-14,11421,12027,11050,11793,345752,0.04169242999735001
2009-01-15,11219,11454,10039,10041,282840,-0.1485627066904096
2009-01-16,10343,10747,10107,10681,105490,0.06373867144706713
2009-01-19,10814,11252,10814,11018,113393,0.03155135286958144
2009-01-20,11051,11118,10377,10512,87490,-0.04592485024505355
2009-01-21,9838,10242,9771,10108,83064,-0.038432267884322635
2009-01-22,10445,10680,10344,10445,75009,0.033339928769291705
2009-01-23,10376,10713,9770,10176,106900,-0.025753949258018216
2009-01-28,10578,10949,10343,10580,107408,0.03970125786163514
2009-01-29,10814,11454,10646,11052,288562,0.04461247637051047
2009-01-30,10815,11489,10815,10883,134045,-0.015291349981903735
2009-02-02,10883,11152,10647,10782,118354,-0.009280529265827453
2009-02-03,10848,10915,10545,10580,89866,-0.01873492858467818
2009-02-04,10814,11117,10646,10715,122895,0.012759924385633337
2009-02-05,10679,11488,10679,11254,251905,0.05030331311245928
2009-02-06,11523,11759,11152,11321,144926,0.005953438777323683
2009-02-09,11555,11555,11151,11153,86727,-0.0148396784736331
2009-02-10,11287,11287,10748,10849,106795,-0.027257240204429323
2009-02-11,10444,10915,10376,10917,81337,0.0062678587888285175
2009-02-12,11016,11387,10747,11119,117772,0.01850325180910506
2009-02-13,11252,12634,11151,12265,533686,0.1030668225559852
2009-02-16,12263,12499,11994,12332,200374,0.005462698736241389
2009-02-17,12197,12264,10647,11085,319117,-0.10111903989620497
2009-02-18,10713,11589,10578,11591,222602,0.045647271087054575
2009-02-19,11590,13309,11590,12972,1134976,0.11914416357518776
2009-02-20,13207,14724,13005,14151,1302162,0.09088806660499538
2009-02-23,14084,14353,13342,14252,464994,0.007137304784114118
2009-02-24,13679,15701,13612,13949,713515,-0.021260174010665156
2009-02-25,14352,14622,12297,12467,491893,-0.10624417520969243
2009-02-26,12668,13747,11826,12938,377443,0.03777973850966543
2009-02-27,12938,13309,12331,12500,359719,-0.03385376410573504
2009-03-02,12500,12500,11321,11321,210025,-0.09431999999999996
2009-03-03,10647,11051,10310,10984,285878,-0.029767688366752032
