Date,Open,High,Low,Close,Volume,Change
2013-03-07,2418,2779,2328,2592,17161148,
2013-03-08,2591,2615,2407,2422,2878557,-0.06558641975308643
2013-03-11,2488,2559,2413,2545,2670295,0.05078447563996691
2013-03-12,2535,2613,2508,2545,2155620,0.0
2013-03-13,2514,2568,2463,2488,1142532,-0.022396856581532454
2013-03-14,2516,2576,2484,2559,1252006,0.02853697749196149
2013-03-15,2561,2901,2561,2646,5560998,0.03399765533411481
2013-03-18,2673,2738,2550,2569,1921230,-0.02910052910052907
2013-03-19,2598,2614,2547,2614,992830,0.01751654340210207
2013-03-20,2612,2632,2269,2344,2287088,-0.10328997704667175
2013-03-21,2389,2413,2333,2333,766406,-0.0046928327645051615
2013-03-22,2338,2495,2338,2398,1041221,0.02786112301757404
2013-03-25,2394,2433,2338,2368,661984,-0.012510425354462007
2013-03-26,2366,2373,2250,2299,870689,-0.029138513513513487
2013-03-27,2305,2329,2255,2264,427089,-0.015224010439321423
2013-03-28,2255,2266,2179,2210,706936,-0.023851590106007015
2013-03-29,2210,2329,2206,2282,562753,0.0325791855203621
2013-04-01,2282,2324,2215,2264,328855,-0.007887817703768674
2013-04-02,2233,2290,2224,2240,228778,-0.010600706713780883
2013-04-03,2270,2359,2260,2336,492186,0.04285714285714293
2013-04-04,2341,2341,2225,2297,335712,-0.016695205479452024
2013-04-05,2320,2320,2209,2249,216595,-0.02089682194166309
2013-04-08,2213,2278,2194,2210,226139,-0.017341040462427793
2013-04-09,2182,2221,2143,2180,276214,-0.013574660633484115
2013-04-10,2179,2209,2156,2186,154627,0.0027522935779815683
2013-04-11,2215,2248,2191,2222,124300,0.01646843549862753
2013-04-12,2215,2245,2186,2186,224187,-0.016201620162016206
2013-04-15,2206,2218,2144,2183,226697,-0.0013723696248856276
2013-04-16,2149,2167,2128,2138,162548,-0.02061383417315621
2013-04-17,2155,2214,2137,2180,197412,0.019644527595884087
2013-04-18,2183,2257,2141,2210,367824,0.013761467889908285
2013-04-19,2230,2230,2149,2201,136741,-0.004072398190045234
2013-04-22,2200,2254,2179,2243,160862,0.019082235347569254
2013-04-23,2245,2293,2239,2276,263744,0.01471243869817207
2013-04-24,2298,2304,2250,2284,167469,0.0035149384885764245
