Date,Open,High,Low,Close,Volume,Change
2000-04-27,11909,12347,10515,10756,1283449,
2000-04-28,11154,11431,10117,10517,490631,-0.02222015619189288
2000-05-02,10356,10954,10157,10756,596559,0.02272511172387559
2000-05-03,10117,10437,10038,10437,335179,-0.029657865377463732
2000-05-04,10516,11671,10277,11673,899515,0.11842483472262155
2000-05-08,12189,13065,11750,11792,983163,0.010194465861389501
2000-05-09,11590,11590,10675,11233,650127,-0.0474050203527816
2000-05-10,10755,12428,10755,11712,1268006,0.042642214902519404
2000-05-12,11711,13105,11551,12907,1735824,0.10203210382513661
2000-05-15,12986,13781,11392,11553,1442872,-0.10490431548771983
2000-05-16,11710,12108,10356,12031,675469,0.041374534752878
2000-05-17,12188,12586,10754,10994,733592,-0.08619399883633949
2000-05-18,10117,10954,9679,9681,532377,-0.11942877933418228
2000-05-19,8922,9280,8523,8963,588659,-0.07416589195331058
2000-05-22,8364,8763,7886,7888,170355,-0.11993752091933507
2000-05-23,7560,7560,6947,6947,221398,-0.11929513184584184
2000-05-24,6118,7776,6118,6135,387816,-0.11688498632503241
2000-05-25,6532,6866,6300,6867,332320,0.11931540342298286
2000-05-26,6652,6771,6046,6047,246146,-0.11941167904470662
2000-05-29,5344,6133,5321,5656,248334,-0.06466016206383329
2000-05-30,5815,6285,5815,6207,335448,0.09741867043847252
2000-05-31,6611,6938,6453,6788,470099,0.09360399548896403
2000-06-01,6611,6611,5974,6214,403588,-0.08456098998232175
2000-06-02,6603,6954,6532,6955,792866,0.11924686192468625
2000-06-05,7766,7783,7567,7784,487417,0.11919482386772096
2000-06-07,7806,8364,7488,8126,1024975,0.04393627954779045
2000-06-08,8364,8364,7496,8047,486592,-0.009721880383952719
2000-06-09,8364,9003,7966,9003,1472430,0.11880203802659373
2000-06-12,9161,9559,8763,9083,1001017,0.008885926913251074
2000-06-13,9161,9320,8006,8007,604852,-0.11846306286469233
2000-06-14,8046,8405,7170,7967,455306,-0.004995628824778331
2000-06-15,7966,8046,7010,7011,309091,-0.11999497928956948
2000-06-16,6453,7170,6413,7003,296002,-0.001141064042219364
2000-06-19,6453,7105,6453,6852,272508,-0.021562187633871188
2000-06-20,6930,7608,6890,7410,422203,0.08143607705779332
2000-06-21,7178,7568,7010,7275,311724,-0.018218623481781382
2000-06-22,7073,7343,6969,7027,267670,-0.03408934707903777
2000-06-23,6810,6953,6771,6900,109184,-0.018073146435178544
2000-06-26,6692,7026,6692,6916,160749,0.002318840579710102
2000-06-27,7009,7121,6611,6724,215332,-0.027761711972238312
2000-06-28,6588,6747,6508,6652,255856,-0.010707911957168359
2000-06-29,6652,6954,6652,6812,329144,0.0240529164161154
2000-06-30,6930,7129,6802,6852,296205,0.005871990604815025
2000-07-03,6707,6810,6579,6684,141305,-0.024518388791593737
2000-07-04,6532,6612,5998,6135,178605,-0.08213644524236985
2000-07-05,5416,6214,5416,6214,251081,0.012876935615321994
2000-07-06,5775,6046,5576,5736,174994,-0.07692307692307687
2000-07-07,5743,5910,5655,5848,174453,0.019525801952580135
2000-07-10,5815,5847,5608,5736,134635,-0.019151846785225746
2000-07-11,5584,5616,5050,5107,233657,-0.10965829846582986
2000-07-12,5177,5329,4955,5203,191567,0.018797728607793163
