Date,Open,High,Low,Close,Volume,Change
2000-04-18,2318,2399,2221,2256,550372,
2000-04-19,2336,2368,2288,2338,495250,0.03634751773049638
2000-04-20,2332,2398,2313,2354,262926,0.006843455945252375
2000-04-21,2350,2419,2350,2410,612661,0.023789294817332163
2000-04-24,2444,2449,2345,2444,354518,0.014107883817427336
2000-04-25,2392,2417,2352,2378,197091,-0.027004909983633363
2000-04-26,2375,2440,2286,2330,293526,-0.020185029436501245
2000-04-27,2295,2383,2246,2297,238124,-0.014163090128755385
2000-04-28,2295,2335,2254,2330,252231,0.014366565084893423
2000-05-02,2288,2402,2288,2403,326862,0.031330472103004325
2000-05-03,2418,2473,2360,2403,494261,0.0
2000-05-04,2416,2761,2376,2701,2500744,0.12401165210153975
2000-05-08,2723,2723,2336,2508,1161673,-0.07145501666049614
2000-05-09,2512,2512,2400,2459,653846,-0.019537480063795853
2000-05-10,2407,2480,2367,2475,311091,0.006506710044733577
2000-05-12,2423,2505,2400,2459,347196,-0.006464646464646506
2000-05-15,2438,2513,2393,2419,368132,-0.016266775111834053
2000-05-16,2487,2487,2363,2459,510006,0.016535758577924664
2000-05-17,2457,2497,2336,2338,346910,-0.049206994713298036
2000-05-18,2254,2295,2158,2289,279243,-0.020958083832335328
2000-05-19,2318,2318,2176,2241,266900,-0.020969855832241202
2000-05-22,2198,2230,1989,1991,515159,-0.11155734047300314
2000-05-23,1989,2029,1900,1991,350590,0.0
2000-05-24,2001,2095,1909,1975,505523,-0.008036162732295349
2000-05-25,2077,2169,1996,2119,1934349,0.07291139240506328
2000-05-26,2117,2279,2053,2152,842748,0.015573383671543262
2000-05-29,2068,2191,2068,2177,529369,0.011617100371747124
2000-05-30,2190,2239,2182,2233,860824,0.025723472668810254
2000-05-31,2239,2402,2239,2403,853985,0.07613076578593825
2000-06-01,2416,2416,2343,2414,335255,0.004577611319184438
2000-06-02,2432,2482,2343,2378,887475,-0.014913007456503702
2000-06-05,2374,2696,2366,2530,990197,0.063919259882254
2000-06-07,2576,2657,2471,2595,1043556,0.025691699604743157
2000-06-08,2611,2660,2418,2419,663235,-0.06782273603082856
2000-06-09,2480,2480,2382,2426,545004,0.0028937577511367607
2000-06-12,2497,2755,2432,2660,3470306,0.09645507007419618
2000-06-13,2658,2658,2457,2499,1228765,-0.06052631578947365
2000-06-14,2538,2553,2424,2548,533256,0.019607843137254832
2000-06-15,2560,2560,2423,2446,482239,-0.0400313971742543
2000-06-16,2312,2441,2312,2394,452205,-0.021259198691741643
2000-06-19,2263,2513,2263,2499,452866,0.04385964912280693
2000-06-20,2584,2615,2454,2530,304875,0.012404961984793905
2000-06-21,2481,2568,2456,2571,605331,0.01620553359683785
2000-06-22,2649,2649,2545,2611,857301,0.015558148580318898
2000-06-23,2505,2729,2505,2595,1759731,-0.006127920337035575
2000-06-26,2616,2738,2556,2724,1076216,0.04971098265895946
2000-06-27,2721,2891,2689,2724,1004394,0.0
2000-06-28,2707,2795,2707,2798,760458,0.027165932452276165
2000-06-29,2858,2858,2709,2749,399572,-0.017512508934953486
2000-06-30,2779,2844,2690,2822,676703,0.02655511094943619
2000-07-03,2749,2901,2749,2847,558264,0.008858965272856123
2000-07-04,2920,2955,2860,2887,400213,0.014049877063575744
2000-07-05,2885,2900,2779,2887,430713,0.0
2000-07-06,2891,3101,2846,3015,1575858,0.04433668167648075
2000-07-07,3062,3077,2980,3064,917954,0.01625207296849096
2000-07-10,3142,3142,2997,3064,895509,0.0
2000-07-11,3063,3063,2991,3008,650741,-0.018276762402088753
2000-07-12,3006,3168,2957,3048,1234080,0.013297872340425565
2000-07-13,3045,3054,2980,2995,573557,-0.017388451443569597
2000-07-14,2941,2993,2872,2927,664696,-0.022704507512520844
2000-07-18,2837,2917,2821,2831,425382,-0.03279808677827123
2000-07-19,2762,2843,2747,2798,338133,-0.011656658424584965
2000-07-20,2779,2965,2698,2798,697717,0.0
2000-07-21,2781,2861,2781,2831,309211,0.01179413867047896
2000-07-24,2829,2886,2785,2831,375666,0.0
2000-07-25,2892,2950,2787,2907,1259065,0.02684563758389258
2000-07-26,2900,3198,2900,3104,1834619,0.06776745786033711
2000-07-27,3116,3176,3028,3099,903453,-0.0016108247422680355
2000-07-28,3037,3215,3037,3064,1053979,-0.01129396579541786
2000-07-31,3047,3063,2981,3048,669246,-0.005221932114882533
2000-08-01,3021,3142,3021,3144,679932,0.03149606299212593
2000-08-02,3229,3423,3221,3345,1721292,0.06393129770992356
2000-08-03,3513,3513,3264,3266,1938260,-0.023617339312406616
2000-08-04,3296,3296,3135,3201,847337,-0.019902020820575572
2000-08-07,3117,3415,3108,3345,750010,0.04498594189315841
2000-08-08,3289,3409,3289,3404,712765,0.01763826606875929
2000-08-09,3463,3697,3422,3507,1128143,0.030258519388954186
2000-08-10,3433,3699,3383,3701,894816,0.055317935557456455
2000-08-11,3699,3749,3585,3669,596300,-0.008646311807619544
2000-08-14,3763,3908,3585,3588,1226568,-0.022076860179885527
2000-08-16,3517,3697,3431,3507,804593,-0.022575250836120442
2000-08-17,3438,3546,3378,3476,603825,-0.008839463929284253
2000-08-18,3391,3513,3319,3345,1109077,-0.03768699654775609
2000-08-21,3303,3447,3262,3350,616663,0.001494768310911887
2000-08-22,3361,3434,3329,3339,751191,-0.0032835820895522616
2000-08-23,3342,3401,3246,3274,1216198,-0.019466906259359096
2000-08-24,3280,3280,3106,3266,875954,-0.0024434941967013124
2000-08-25,3230,3408,3222,3411,995048,0.044396815676668755
2000-08-28,3407,3459,3342,3345,470446,-0.019349164467898028
2000-08-29,3343,3383,3263,3326,477741,-0.00568011958146486
2000-08-30,3324,3337,3256,3322,442005,-0.0012026458208057589
2000-08-31,3368,3368,3226,3266,396876,-0.01685731487055986
2000-09-01,3312,3324,3256,3322,303018,0.017146356399265095
2000-09-04,3344,3506,3325,3476,821797,0.04635761589403975
2000-09-05,3457,3530,3393,3399,706228,-0.022151898734177222
2000-09-06,3397,3441,3312,3427,528504,0.008237716975580955
2000-09-07,3424,3499,3356,3386,768145,-0.011963816749343437
2000-09-08,3321,3442,3321,3404,326384,0.005316007088009389
2000-09-14,3343,3449,3247,3452,404791,0.014101057579318343
2000-09-15,3342,3439,3302,3345,482352,-0.030996523754345362
2000-09-18,3302,3302,2843,3015,541696,-0.09865470852017932
2000-09-19,2860,3070,2820,2887,565729,-0.04245439469320067
2000-09-20,2982,3102,2885,2967,505891,0.027710426047800496
2000-09-21,3004,3020,2884,2999,340933,0.010785305021907554
2000-09-22,2995,2995,2742,2749,354430,-0.08336112037345778
2000-09-25,2940,2990,2845,2956,364091,0.07530010913059293
2000-09-26,2980,3246,2953,3185,624029,0.07746955345060891
2000-09-27,3229,3543,3181,3345,1719431,0.050235478806907485
2000-09-28,3385,3619,3383,3501,2138881,0.04663677130044852
2000-09-29,3692,3791,3579,3791,2650472,0.08283347614967163
2000-10-02,3989,4191,3311,3597,5901674,-0.051173832761804317
2000-10-04,3748,4013,3504,3588,6027301,-0.002502085070892446
2000-10-05,3546,3571,3385,3476,2882739,-0.031215161649944312
2000-10-06,3546,3644,3450,3476,2156412,0.0
2000-10-09,3394,3458,3298,3299,1996363,-0.0509205983889528
2000-10-10,3337,3426,3191,3404,1872034,0.03182782661412542
2000-10-11,3342,3381,3061,3144,1420381,-0.07638072855464162
2000-10-12,2995,3141,2995,3039,1262954,-0.033396946564885455
2000-10-13,2876,2915,2643,2822,1565704,-0.07140506745640018
2000-10-16,2899,3093,2899,2999,1844562,0.06272147413182139
2000-10-17,3020,3070,2820,2822,990439,-0.05901967322440815
2000-10-18,2836,2836,2647,2758,892100,-0.0226789510985117
2000-10-19,2627,2804,2627,2742,759099,-0.00580130529369105
2000-10-20,2755,2844,2739,2793,770586,0.018599562363238453
2000-10-23,2820,2820,2658,2733,741268,-0.02148227712137485
2000-10-24,2824,2885,2771,2850,1448136,0.04281009879253572
2000-10-25,2822,2931,2794,2902,1344715,0.01824561403508773
2000-10-26,2901,2981,2828,2911,947434,0.003101309441764233
2000-10-27,2900,2965,2783,2887,927261,-0.008244589488148435
2000-10-30,2885,2900,2796,2806,515024,-0.028056806373398024
2000-10-31,2698,2899,2666,2854,927662,0.017106200997861754
2000-11-01,2819,2996,2819,2983,1334653,0.04519971969166092
2000-11-02,2925,3013,2925,2935,794622,-0.016091183372443862
2000-11-03,2901,3013,2901,3012,1295953,0.026235093696763245
2000-11-06,3019,3044,2954,2959,755380,-0.017596281540504632
2000-11-07,3020,3020,2892,2918,889076,-0.013856032443393063
2000-11-08,2927,2939,2850,2862,1101595,-0.01919122686771757
2000-11-09,2860,2900,2836,2887,757653,0.008735150244584267
2000-11-10,2899,2980,2819,2983,1072584,0.033252511257360506
2000-11-13,2941,2956,2910,2911,309487,-0.024136775058665738
2000-11-14,2879,3004,2879,2983,1256516,0.024733768464445305
2000-11-15,2996,3053,2964,2983,785337,0.0
2000-11-16,2981,3110,2981,3077,793123,0.03151190077103583
2000-11-17,3077,3077,2980,3064,612051,-0.004224894377640509
2000-11-20,3066,3066,3006,3032,299387,-0.010443864229765065
2000-11-21,2980,3125,2980,3036,1310202,0.0013192612137202797
2000-11-22,3050,3215,3041,3128,3012775,0.030303030303030276
2000-11-23,3122,3122,2980,2995,890905,-0.0425191815856778
2000-11-24,3136,3136,2998,3053,360884,0.01936560934891496
2000-11-27,2994,3124,2994,3079,787344,0.008516213560432417
2000-11-28,3124,3137,3059,3079,807189,0.0
2000-11-29,3063,3063,2981,3048,581079,-0.01006820396232544
2000-11-30,3053,3069,2964,3015,614494,-0.010826771653543288
2000-12-01,2979,3055,2899,3059,1781663,0.014593698175787706
2000-12-04,3054,3079,2954,3023,809058,-0.011768551814318351
2000-12-05,3013,3102,2990,3064,802511,0.013562686073437025
