Date,Open,High,Low,Close,Volume,Change
2015-07-17,33300,33850,29950,30250,2048774,
2015-07-20,31200,31900,30350,30800,656592,0.018181818181818077
2015-07-21,30900,31500,30150,30550,475498,-0.008116883116883078
2015-07-22,30999,31050,30100,30300,313000,-0.008183306055646433
2015-07-23,30500,30900,30300,30750,310332,0.014851485148514865
2015-07-24,30750,31000,30150,30150,236008,-0.019512195121951237
2015-07-27,30000,30000,28650,28900,318376,-0.041459369817578806
2015-07-28,28500,29400,28300,28400,202866,-0.01730103806228378
2015-07-29,28650,29400,28200,28550,126662,0.005281690140845008
2015-07-30,28599,29050,28300,28300,107096,-0.008756567425569184
2015-07-31,28550,30700,28450,30500,547378,0.07773851590106018
2015-08-03,30500,31249,30200,30800,261538,0.009836065573770592
2015-08-04,30600,31250,30000,31200,166772,0.01298701298701288
2015-08-05,31450,31500,30700,31350,118672,0.004807692307692291
2015-08-06,31150,31300,30450,30550,102164,-0.02551834130781494
2015-08-07,30500,31300,29800,31250,119246,0.022913256955810146
2015-08-10,31400,31400,30450,30600,85388,-0.02080000000000004
2015-08-11,30750,30750,29800,30400,109436,-0.006535947712418277
2015-08-12,30200,30350,29250,29600,125668,-0.02631578947368418
2015-08-13,29500,30200,29100,29250,73560,-0.011824324324324342
2015-08-17,29400,30000,28500,29700,151812,0.01538461538461533
2015-08-18,29750,30100,28800,28900,99572,-0.026936026936026924
2015-08-19,28900,29149,26850,28050,155736,-0.02941176470588236
2015-08-20,27900,28100,27450,27500,42156,-0.019607843137254943
2015-08-21,26900,26900,24774,25650,329922,-0.06727272727272726
2015-08-24,25149,26500,25050,25650,171766,0.0
2015-08-25,26400,26450,25450,25850,141812,0.007797270955165692
2015-08-26,25850,26200,25500,25800,166924,-0.0019342359767892114
2015-08-27,26100,28550,26000,28000,320218,0.0852713178294573
2015-08-28,28550,29800,27800,29150,164810,0.04107142857142865
2015-08-31,29100,29650,28550,29100,97306,-0.0017152658662092923
2015-09-01,29000,29250,28200,28200,33272,-0.030927835051546393
2015-09-02,27600,29350,27400,29350,92368,0.04078014184397172
2015-09-03,29400,29500,28950,29250,60388,-0.0034071550255536653
2015-09-04,28000,28750,27200,27500,95706,-0.05982905982905984
2015-09-07,27250,27700,26800,27250,48142,-0.009090909090909038
2015-09-08,27800,29200,27650,28950,133586,0.062385321100917324
2015-09-09,29000,29400,28400,29000,90008,0.0017271157167531026
2015-09-10,28250,29300,28150,29100,38764,0.0034482758620688614
2015-09-11,28850,29400,28700,29350,64492,0.00859106529209619
2015-09-14,29450,29800,29200,29350,52846,0.0
2015-09-15,29450,29600,29300,29450,35028,0.0034071550255536653
2015-09-16,29700,30150,29350,29950,138206,0.01697792869269943
2015-09-17,30050,30450,29800,29800,64868,-0.005008347245408995
2015-09-18,30100,30450,30000,30250,44818,0.015100671140939603
2015-09-21,30000,30450,29900,30250,35114,0.0
2015-09-22,30450,30500,30250,30450,53386,0.006611570247933907
2015-09-23,30250,30500,29950,29950,34282,-0.016420361247947435
2015-09-24,29800,30000,29250,29600,35038,-0.011686143572620988
2015-09-25,29650,29650,28900,29600,26044,0.0
2015-09-30,29050,30000,28200,29600,141468,0.0
2015-10-01,29500,30349,29250,30000,56180,0.013513513513513598
2015-10-02,29850,30100,29600,29950,33876,-0.0016666666666667052
2015-10-05,29950,29950,29350,29650,64960,-0.01001669449081799
2015-10-06,29650,30050,29100,29550,77704,-0.003372681281618939
2015-10-07,29300,29500,29100,29150,19902,-0.013536379018612488
2015-10-08,29400,29500,28700,28850,44364,-0.010291595197255532
2015-10-12,28900,29250,28600,28650,29086,-0.006932409012131768
2015-10-13,28650,29250,28650,29000,49040,0.01221640488656206
2015-10-14,29000,29000,28550,28700,43172,-0.010344827586206917
2015-10-15,28250,29050,28000,28850,98398,0.005226480836237002
2015-10-16,29100,29199,28250,29050,67280,0.006932409012131657
2015-10-19,29050,29350,28700,29150,73526,0.0034423407917383297
2015-10-20,29450,29800,29000,29750,90160,0.020583190394511064
2015-10-21,29850,30200,29400,29800,132296,0.001680672268907557
2015-10-22,30050,30050,29250,30000,68212,0.006711409395973256
2015-10-23,30000,31150,29900,30700,229978,0.023333333333333428
2015-10-26,30950,31950,30450,31900,242014,0.039087947882736174
2015-10-27,31950,32250,31400,31500,124610,-0.01253918495297801
2015-10-28,31750,32400,31300,31550,265430,0.0015873015873015817
2015-10-29,32100,32199,31150,31700,183752,0.004754358161648264
2015-10-30,31650,31650,30500,31250,114568,-0.014195583596214534
2015-11-02,31200,32500,30800,32500,155394,0.040000000000000036
2015-11-03,32499,33800,32250,33500,372548,0.03076923076923066
2015-11-04,33400,34200,33150,34150,272886,0.0194029850746269
2015-11-05,34000,37850,33950,35750,1104468,0.04685212298682284
2015-11-06,35950,36150,35050,35400,264162,-0.009790209790209836
2015-11-09,35450,35450,34200,34650,162548,-0.021186440677966156
2015-11-10,34450,35550,34200,35300,133570,0.018759018759018753
2015-11-11,35000,35950,34900,35000,161546,-0.008498583569405138
2015-11-12,34800,35450,34200,34500,126490,-0.014285714285714235
2015-11-13,34400,34850,34100,34750,95184,0.007246376811594235
2015-11-16,34150,36150,34150,35700,192374,0.027338129496402797
2015-11-17,36100,36500,35600,36250,217564,0.01540616246498594
2015-11-18,36250,36500,35600,36050,125484,-0.0055172413793103114
2015-11-19,36450,36450,34850,35000,129058,-0.029126213592232997
2015-11-20,34950,35350,33450,33600,130624,-0.040000000000000036
2015-11-23,33900,35000,32600,34950,250312,0.0401785714285714
2015-11-24,34950,35000,33850,34950,109938,0.0
2015-11-25,34750,35000,34050,34850,101292,-0.0028612303290415086
2015-11-26,34950,35400,34750,35200,130208,0.010043041606886627
2015-11-27,35350,35450,34250,34950,101220,-0.007102272727272707
2015-11-30,34500,35000,34500,35000,151174,0.0014306151645206988
2015-12-01,35000,35200,34250,35200,108378,0.005714285714285783
2015-12-02,35500,35700,35050,35250,131658,0.0014204545454545858
2015-12-03,35200,35350,34600,35100,100616,-0.004255319148936176
2015-12-04,34550,35500,34550,34900,62304,-0.005698005698005715
2015-12-07,35000,36500,35000,36100,211966,0.034383954154727725
2015-12-08,36150,36600,35200,36000,78210,-0.0027700831024930483
2015-12-09,36000,36000,35250,35400,67846,-0.01666666666666672
2015-12-10,35750,35800,35250,35250,89118,-0.004237288135593209
2015-12-11,35550,37050,35250,36800,312400,0.04397163120567371
2015-12-14,36200,36800,35450,36600,136074,-0.005434782608695676
2015-12-15,36500,36650,34350,35450,159856,-0.031420765027322384
2015-12-16,35750,35800,34550,35500,135834,0.0014104372355430161
2015-12-17,35750,35800,34650,34700,117924,-0.022535211267605604
2015-12-18,34550,37250,34250,35750,442882,0.030259365994236287
2015-12-21,35500,36450,34950,35600,101122,-0.004195804195804231
2015-12-22,35300,35800,34850,35000,101692,-0.016853932584269704
2015-12-23,35000,35450,34150,34150,124376,-0.024285714285714244
2015-12-24,34450,35300,34250,34550,63028,0.01171303074670571
2015-12-28,34900,35200,34650,34700,347452,0.004341534008682979
2015-12-29,34550,35200,34550,34950,40866,0.007204610951008661
2015-12-30,35000,35650,34650,35000,89708,0.0014306151645206988
2016-01-04,35000,35200,32800,33550,124914,-0.04142857142857148
2016-01-05,33100,34650,32850,34500,86742,0.028315946348733245
2016-01-06,34250,35650,33600,35450,184982,0.02753623188405796
2016-01-07,35900,35900,34200,34700,118124,-0.021156558533145242
2016-01-08,34100,34900,33750,34600,126380,-0.0028818443804035088
2016-01-11,34300,35500,34100,35250,86122,0.01878612716762995
2016-01-12,35500,35950,34800,35150,82592,-0.0028368794326241176
2016-01-13,35750,35750,34700,35200,104966,0.0014224751066855834
2016-01-14,34950,35850,34750,35500,134068,0.008522727272727293
2016-01-15,35500,37250,35300,35350,374462,-0.004225352112676051
2016-01-18,35500,38650,35450,37900,440180,0.07213578500707207
2016-01-19,38400,40000,38400,39050,450284,0.03034300791556732
2016-01-20,39250,39650,38250,39200,302694,0.003841229193341844
2016-01-21,39050,40150,38550,39250,221408,0.0012755102040815647
2016-01-22,39550,39900,39000,39750,310162,0.01273885350318471
2016-01-25,40200,40200,39300,39600,268090,-0.0037735849056603765
2016-01-26,39250,40000,39250,39900,217220,0.007575757575757569
2016-01-27,39950,40000,38100,39500,327884,-0.010025062656641603
2016-01-28,39200,40500,37550,40100,437368,0.0151898734177216
2016-01-29,39950,41950,39950,41750,436782,0.041147132169575995
2016-02-01,41800,41800,39900,40250,322580,-0.0359281437125748
2016-02-02,40350,41500,40050,40800,150828,0.013664596273291973
2016-02-03,40500,41400,40300,40550,132726,-0.006127450980392135
2016-02-04,40500,41050,40200,40600,123090,0.0012330456226881115
2016-02-05,40200,41050,40200,40200,194848,-0.009852216748768461
2016-02-11,39450,40350,39000,39550,176746,-0.016169154228855676
2016-02-12,39700,40700,38550,40200,323892,0.01643489254108732
2016-02-15,40500,40550,38500,39300,227094,-0.02238805970149249
2016-02-16,39200,39450,38550,38750,132410,-0.013994910941475869
2016-02-17,39050,39400,38450,38450,142444,-0.007741935483870921
2016-02-18,38650,39300,37550,38250,208346,-0.005201560468140465
2016-02-19,38400,38750,37900,38150,150958,-0.002614379084967311
2016-02-22,38450,39950,38000,39600,120548,0.038007863695937116
2016-02-23,39650,40500,39400,40000,151066,0.010101010101010166
2016-02-24,40300,40450,39350,39800,90742,-0.0050000000000000044
2016-02-25,40250,40600,39500,40300,114522,0.012562814070351758
2016-02-26,39800,41650,39800,41500,375808,0.02977667493796532
2016-02-29,41500,42350,40750,42100,147338,0.014457831325301207
2016-03-02,42350,42350,40800,41050,193772,-0.02494061757719712
2016-03-03,41400,41800,40050,40400,137644,-0.015834348355663774
2016-03-04,40600,40600,40050,40500,131018,0.0024752475247524774
2016-03-07,40500,40500,39500,39950,130372,-0.013580246913580285
2016-03-08,39600,40750,39300,40500,112178,0.013767209011264159
2016-03-09,40500,41250,40200,41000,156116,0.012345679012345734
2016-03-10,40850,41750,40700,41700,81684,0.017073170731707332
2016-03-11,41700,42000,40700,40800,80460,-0.021582733812949617
2016-03-14,40950,41450,40500,41450,109816,0.01593137254901955
2016-03-15,41350,42150,41250,41700,119930,0.006031363088057962
2016-03-16,41650,41900,40800,41350,72438,-0.008393285371702586
2016-03-17,41150,41250,40050,40750,174508,-0.0145102781136639
2016-03-18,40850,41250,40400,41150,101668,0.009815950920245342
2016-03-21,40900,40900,40100,40200,116230,-0.023086269744835963
2016-03-22,40000,40450,39750,40000,128058,-0.00497512437810943
2016-03-23,39800,40450,39550,39650,114248,-0.008750000000000036
2016-03-24,39700,41500,39700,40600,150870,0.023959646910466592
2016-03-25,41200,41700,40600,41500,162202,0.022167487684729092
2016-03-28,41300,42000,40850,41100,120588,-0.009638554216867434
2016-03-29,40900,41300,40550,40900,107048,-0.0048661800486617945
2016-03-30,40950,41000,40200,40350,123058,-0.01344743276283622
2016-03-31,40350,40500,40100,40350,135766,0.0
2016-04-01,40100,40600,37500,39400,178606,-0.023543990086741018
2016-04-04,39500,39500,38550,39350,100036,-0.0012690355329949554
2016-04-05,39000,39500,38700,39500,98638,0.003811944091486552
2016-04-06,39500,41300,38800,40750,147784,0.03164556962025311
2016-04-07,40600,40600,39300,39550,280588,-0.02944785276073625
2016-04-08,39200,39650,38550,38900,205480,-0.01643489254108721
2016-04-11,38900,39350,38800,39100,71812,0.005141388174807249
2016-04-12,38850,39050,38250,38400,59458,-0.01790281329923271
2016-04-14,38500,38700,37700,38250,98808,-0.00390625
2016-04-15,38050,38200,37400,37600,119168,-0.016993464052287632
2016-04-18,37450,38550,37450,38050,87166,0.01196808510638303
2016-04-19,38150,39000,37950,38850,90840,0.021024967148488782
2016-04-20,38900,38900,38250,38450,34790,-0.01029601029601035
2016-04-21,38600,38950,38150,38850,90648,0.01040312093628093
2016-04-22,38750,38800,38250,38350,64642,-0.012870012870012881
2016-04-25,38150,39100,38150,38700,46134,0.009126466753585305
2016-04-26,38400,39000,37750,37800,90516,-0.023255813953488413
2016-04-27,38050,40450,37700,40450,184246,0.07010582010582
2016-04-28,41000,41500,40550,41050,223134,0.014833127317676054
2016-04-29,41050,41700,41000,41250,90426,0.004872107186357999
2016-05-02,41450,41450,40550,41200,76560,-0.00121212121212122
2016-05-03,41000,41550,40450,41450,92984,0.0060679611650484855
2016-05-04,41500,41550,40400,41250,99320,-0.004825090470446325
2016-05-09,41500,41550,40350,41450,88790,0.00484848484848488
2016-05-10,41150,41400,40900,41150,53642,-0.007237635705669487
2016-05-11,41150,41200,40450,41000,43910,-0.0036452004860266785
2016-05-12,41000,41300,38500,40500,42192,-0.012195121951219523
2016-05-13,40600,41250,40100,40550,35580,0.0012345679012346622
2016-05-16,40250,40850,40250,40400,15858,-0.0036991368680641123
2016-05-17,40300,42000,40100,41800,88550,0.034653465346534684
2016-05-18,41550,43500,41550,43050,242468,0.029904306220095656
2016-05-19,43050,44000,42400,43450,173374,0.009291521486643362
2016-05-20,43200,44000,42750,43200,40862,-0.005753739930955071
2016-05-23,43250,43550,42150,43150,55256,-0.0011574074074074403
2016-05-24,42550,43750,42550,43300,79796,0.0034762456546928444
2016-05-25,43300,44000,42850,43550,126924,0.005773672055427337
2016-05-26,43750,44000,42500,43900,123164,0.008036739380022917
2016-05-27,43900,44000,43200,44000,90960,0.002277904328018332
2016-05-30,43750,43800,42150,43200,74484,-0.018181818181818188
2016-05-31,42700,44400,41850,44400,90276,0.02777777777777768
2016-06-01,44000,44100,43150,43150,102154,-0.028153153153153143
2016-06-02,43700,43750,42500,42700,108948,-0.010428736964078755
2016-06-03,42650,43100,41450,42450,97840,-0.005854800936768156
2016-06-07,42500,43300,42100,42850,56444,0.009422850412249772
2016-06-08,43000,43850,43000,43750,84242,0.02100350058343059
2016-06-09,41000,42650,41000,41500,3373990,-0.05142857142857138
2016-06-10,41600,41850,41100,41300,168472,-0.004819277108433773
2016-06-13,41450,41550,40200,40300,215960,-0.02421307506053272
2016-06-14,40200,40650,39650,40250,115212,-0.001240694789081842
2016-06-15,40500,40500,39750,40000,115500,-0.006211180124223614
2016-06-16,39650,40100,38600,39050,110534,-0.02375000000000005
2016-06-17,39250,39450,37550,37850,183836,-0.030729833546734975
2016-06-20,38100,38700,37750,38000,148726,0.003963011889035695
2016-06-21,38400,40150,38400,39950,193240,0.051315789473684204
2016-06-22,39500,40050,39300,39850,71092,-0.0025031289111389077
2016-06-23,39500,39700,39000,39050,28874,-0.020075282308657516
2016-06-24,39200,39600,36800,37850,194736,-0.030729833546734975
2016-06-27,36850,39250,36650,38700,121370,0.022457067371202122
2016-06-28,38100,39050,38100,38700,87886,0.0
2016-06-29,39250,39950,38800,38900,75734,0.0051679586563306845
2016-06-30,39000,40800,39000,40550,183212,0.0424164524421593
2016-07-01,40250,40650,38800,38850,156224,-0.04192355117139335
2016-07-04,39100,39100,38400,38500,76422,-0.009009009009009028
2016-07-05,38500,39550,38000,39200,122798,0.018181818181818077
2016-07-06,39700,39750,38100,38600,66424,-0.015306122448979553
2016-07-07,38650,38650,37700,38000,118428,-0.015544041450777257
2016-07-08,37800,37950,37450,37600,47922,-0.010526315789473717
2016-07-11,38050,38250,37700,38150,56118,0.0146276595744681
2016-07-12,38150,38950,37650,38950,78000,0.02096985583224109
2016-07-13,39200,39200,37800,37850,141618,-0.028241335044929428
2016-07-14,38250,38300,37300,37350,56782,-0.013210039630118908
2016-07-15,37500,38750,37450,38700,113128,0.03614457831325302
2016-07-18,38600,38600,37650,37800,100944,-0.023255813953488413
2016-07-19,37850,38200,37500,37750,69818,-0.001322751322751281
2016-07-20,37750,38600,37050,38500,122642,0.019867549668874274
2016-07-21,38750,39600,38600,39500,111898,0.025974025974025983
2016-07-22,39500,40300,39200,39750,115008,0.006329113924050667
2016-07-25,39950,40650,39700,40000,149384,0.0062893081761006275
2016-07-26,39550,41200,39550,40750,119182,0.018750000000000044
2016-07-27,40800,41500,39800,40500,148238,-0.006134969325153339
2016-07-28,40800,40950,39450,40150,103332,-0.00864197530864197
2016-07-29,40150,40150,39300,40100,108750,-0.001245330012453305
2016-08-01,39900,40300,39100,39850,112180,-0.006234413965087282
2016-08-02,39900,40200,39300,39800,107450,-0.0012547051442910462
2016-08-03,39350,40500,39300,40500,135462,0.017587939698492372
2016-08-04,39750,40650,39750,40150,77714,-0.00864197530864197
2016-08-05,40200,40200,39600,40200,92594,0.001245330012453305
2016-08-08,40250,40750,39950,40600,63122,0.00995024875621886
2016-08-09,40150,40750,39700,40550,58272,-0.0012315270935960854
2016-08-10,40100,40100,39100,39500,87678,-0.025893958076448786
2016-08-11,39450,39450,38200,38900,62828,-0.015189873417721489
2016-08-12,38400,38900,37450,37800,269196,-0.028277634961439535
2016-08-16,37700,37900,37350,37450,89854,-0.0092592592592593
2016-08-17,37100,37600,36350,36800,141702,-0.01735647530040052
2016-08-18,36800,36800,36400,36500,173516,-0.008152173913043459
2016-08-19,36750,37250,36300,36500,81192,0.0
2016-08-22,36500,36800,36250,36450,75416,-0.00136986301369868
2016-08-23,36250,36300,35500,35800,108500,-0.017832647462277085
2016-08-24,35950,37150,35500,36950,98512,0.032122905027933024
2016-08-25,37250,37500,36650,37150,91250,0.005412719891745521
2016-08-26,36750,37200,36550,37050,66146,-0.0026917900403768957
2016-08-29,37000,37100,35900,35900,27150,-0.031039136302294157
2016-08-30,35800,36150,35100,35250,70538,-0.01810584958217265
2016-08-31,35200,35350,34400,34750,102484,-0.014184397163120588
2016-09-01,34800,36000,34450,35700,74288,0.027338129496402797
2016-09-02,35750,36100,35550,35850,85250,0.004201680672268893
2016-09-05,35550,36850,35550,36800,77890,0.02649930264993028
2016-09-06,36300,36800,36150,36600,43244,-0.005434782608695676
2016-09-07,36350,36850,35500,35900,121760,-0.01912568306010931
2016-09-08,35700,36400,35550,36150,133558,0.0069637883008355494
2016-09-09,36100,36100,35100,35600,94270,-0.015214384508990264
2016-09-12,34850,35550,34750,35150,66710,-0.012640449438202195
2016-09-13,35250,35700,35050,35250,42802,0.002844950213371167
2016-09-19,35500,37100,35400,35600,227002,0.0099290780141843
2016-09-20,35650,36700,35500,36600,111850,0.028089887640449396
2016-09-21,36450,37000,36250,36600,57364,0.0
2016-09-22,36600,36750,36250,36700,42672,0.002732240437158362
2016-09-23,36600,36700,35750,35850,45940,-0.023160762942779245
2016-09-26,35850,36450,35550,35600,50590,-0.006973500697350032
2016-09-27,35400,36450,34950,36200,84230,0.016853932584269593
2016-09-28,36300,36500,35750,35950,23524,-0.006906077348066253
2016-09-29,35850,36400,35750,36350,30674,0.011126564673157091
2016-09-30,36300,36650,35650,36600,57700,0.00687757909215958
2016-10-04,36950,36950,35750,35800,91254,-0.021857923497267784
2016-10-05,35700,35800,35300,35750,56672,-0.0013966480446927498
2016-10-06,35750,35750,35100,35450,52512,-0.008391608391608352
2016-10-07,35600,35600,35050,35350,32584,-0.0028208744710860323
2016-10-10,35050,35400,35000,35250,35318,-0.0028288543140028155
2016-10-11,35150,35400,34950,35000,40604,-0.007092198581560294
2016-10-12,34800,35450,34750,34850,54498,-0.004285714285714337
2016-10-13,35150,35150,34800,34850,32650,0.0
2016-10-14,34850,35250,34850,35100,31952,0.007173601147776099
2016-10-17,35700,35800,35200,35450,38316,0.009971509971509862
2016-10-18,35250,35550,34900,35000,89344,-0.012693935119887145
2016-10-19,35000,35300,34900,34950,43312,-0.0014285714285714457
2016-10-20,34950,35250,34700,34750,53808,-0.005722460658083017
2016-10-21,34750,35150,33650,34750,116604,0.0
2016-10-24,34750,35100,33850,34050,108288,-0.020143884892086295
2016-10-25,34250,34400,33650,34200,84128,0.004405286343612369
2016-10-26,33950,34550,33950,34300,93998,0.0029239766081872176
2016-10-27,34500,35700,34450,35350,105606,0.030612244897959107
2016-10-28,35600,35600,34900,35200,43098,-0.004243281471004279
2016-10-31,35350,35350,34200,34650,30696,-0.015625
2016-11-01,34900,35300,34300,35250,70138,0.017316017316017396
2016-11-02,35350,35350,34350,34450,27428,-0.02269503546099294
2016-11-03,34500,34900,33800,34650,41250,0.005805515239477588
2016-11-04,34300,35050,34100,34400,60066,-0.00721500721500723
2016-11-07,34500,34800,32550,32550,121628,-0.053779069767441845
2016-11-08,32850,33550,32850,33550,113434,0.030721966205837115
2016-11-09,33650,34050,32850,33350,73562,-0.005961251862891204
2016-11-10,34000,34050,31800,32150,121294,-0.0359820089955023
2016-11-11,32050,32300,30750,30750,107998,-0.043545878693623585
2016-11-14,30900,31350,29950,30650,173776,-0.003252032520325243
2016-11-15,30850,30850,30050,30300,77728,-0.011419249592169667
2016-11-16,30150,32450,30150,32000,171258,0.05610561056105601
2016-11-17,32200,32500,31650,32150,52702,0.004687499999999956
2016-11-18,32150,32550,31550,32250,43378,0.0031104199066873672
2016-11-21,31650,32100,30600,31050,57618,-0.037209302325581395
2016-11-22,31000,31450,30850,31300,30966,0.008051529790660261
2016-11-23,31300,31450,30450,30500,52292,-0.025559105431309903
2016-11-24,30400,30600,29700,30000,67464,-0.016393442622950838
2016-11-25,29950,30950,29750,30750,31564,0.02499999999999991
2016-11-28,30750,31250,30650,31100,30926,0.011382113821138296
2016-11-29,30749,31850,30749,31600,40072,0.016077170418006492
2016-11-30,31650,31900,30500,31100,70374,-0.015822784810126556
2016-12-01,30750,31350,30150,30750,95000,-0.0112540192926045
2016-12-02,30750,30750,29650,29750,97716,-0.03252032520325199
2016-12-05,29650,29750,28650,29100,128504,-0.021848739495798353
2016-12-06,29150,29550,28450,29000,90120,-0.0034364261168384758
2016-12-07,28700,28950,27849,28150,130058,-0.02931034482758621
2016-12-08,28150,28700,27600,28150,123598,0.0
2016-12-09,28350,29650,28150,29250,109994,0.039076376554174175
2016-12-12,29549,30000,29300,30000,112000,0.02564102564102555
2016-12-13,29700,30050,29500,30050,110920,0.0016666666666667052
2016-12-14,30200,30400,29700,30200,71758,0.004991680532445919
2016-12-15,30200,30450,29850,30250,40174,0.0016556291390728006
2016-12-16,30050,30400,29800,30400,97892,0.0049586776859504855
2016-12-19,30400,30400,29850,29900,92938,-0.016447368421052655
2016-12-20,29700,30000,29500,29500,57942,-0.013377926421404673
2016-12-21,29250,29250,28850,29000,105564,-0.016949152542372836
2016-12-22,29000,29000,28300,28400,122174,-0.020689655172413834
2016-12-23,28350,28750,28050,28550,109230,0.005281690140845008
2016-12-26,28550,28850,28100,28500,105204,-0.0017513134851138146
2016-12-27,28500,29300,28350,28600,102408,0.0035087719298245723
