Date,Open,High,Low,Close,Volume,Change
2000-04-27,13212,14110,12566,13070,0,
2000-04-28,13427,13786,12780,13357,0,0.02195868400918144
2000-05-02,13570,14539,13391,14003,0,0.04836415362731161
2000-05-03,13643,13787,13355,13608,0,-0.028208241091194797
2000-05-04,13498,14576,13426,14003,0,0.029027042915931833
2000-05-08,14720,15367,14290,14506,0,0.035920874098407385
2000-05-09,14361,14361,13822,14111,0,-0.027230111677926327
2000-05-10,13967,14650,13752,14327,0,0.01530720714336331
2000-05-12,14504,16012,14144,14972,0,0.0450198925106442
2000-05-15,15151,15402,13212,13644,0,-0.08869890462196095
2000-05-16,13859,14002,12926,13788,0,0.01055408970976246
2000-05-17,14073,15007,12135,12136,0,-0.1198143313025819
2000-05-18,11130,11417,10699,10700,0,-0.11832564271588664
2000-05-19,9476,10662,9441,9909,0,-0.07392523364485981
2000-05-22,9548,9944,8723,8724,0,-0.1195882531032395
2000-05-23,7933,8400,7682,7683,0,-0.11932599724896842
2000-05-24,7178,8040,6783,7467,0,-0.02811401796173374
2000-05-25,8113,8330,7898,8330,0,0.11557519753582435
2000-05-26,9190,9297,7897,8401,0,0.008523409363745404
2000-05-29,7969,8830,7682,8473,0,0.008570408284727993
2000-05-30,8830,9476,8722,9478,0,0.11861206184350293
2000-05-31,10591,10591,10339,10592,0,0.11753534500949558
2000-06-01,10627,11849,10268,11849,0,0.1186744712990937
2000-06-02,13247,13247,12206,12818,0,0.0817790530846485
2000-06-05,13500,14218,13284,13860,0,0.08129193321891082
2000-06-07,13572,15045,13284,14327,0,0.033694083694083776
2000-06-08,14362,14793,12998,13681,0,-0.045089690793606474
2000-06-09,13249,14327,12495,13753,0,0.005262773189094405
2000-06-12,13893,15365,13282,15367,0,0.11735621318984957
2000-06-13,15006,15365,13534,13536,0,-0.11915142838550141
2000-06-14,14218,14721,12638,13214,0,-0.023788416075650076
2000-06-15,12708,12924,11632,11633,0,-0.11964583018011199
2000-06-16,11058,12709,10554,12064,0,0.037049772199776454
2000-06-19,11560,12494,11345,11490,0,-0.047579575596817025
2000-06-20,11882,12349,11667,11992,0,0.04369016536118364
2000-06-21,12242,12853,11812,12280,0,0.024016010673782562
2000-06-22,12709,12709,11848,12029,0,-0.020439739413680824
2000-06-23,11559,12206,11559,12064,0,0.0029096350486323974
2000-06-26,11884,13141,11884,12890,0,0.06846816976127323
2000-06-27,13212,13427,12315,12531,0,-0.027851047323506628
2000-06-28,12349,13139,12061,12638,0,0.008538823717181288
2000-06-29,12925,12997,12063,12280,0,-0.028327266972622223
2000-06-30,12027,12708,11918,12243,0,-0.0030130293159609245
2000-07-03,11991,12350,11919,12136,0,-0.008739687984971045
2000-07-04,12133,12205,11379,11453,0,-0.05627883981542514
2000-07-05,11129,11272,10087,10448,0,-0.08774993451497426
2000-07-06,10016,10340,9550,9802,0,-0.06183001531393573
2000-07-07,10016,10304,9550,9874,0,0.0073454397061825105
2000-07-10,9874,10196,9514,9767,0,-0.010836540409155382
2000-07-11,9550,9909,8831,9048,0,-0.07361523497491551
2000-07-12,8975,9980,8831,9946,0,0.09924845269672855
2000-07-13,9944,10195,9369,9407,0,-0.0541926402573899
2000-07-14,9550,9765,9118,9228,0,-0.01902838311895394
2000-07-18,9118,9405,8471,8796,0,-0.04681404421326396
2000-07-19,8616,8830,8041,8222,0,-0.06525693497044116
2000-07-20,8004,8902,7825,8832,0,0.07419119435660426
2000-07-21,9047,9118,8257,8294,0,-0.06091485507246375
2000-07-24,8078,8580,7540,7612,0,-0.08222811671087538
