Date,Open,High,Low,Close,Volume,Change
2015-11-16,951,951,951,951,0,
2015-11-17,951,951,951,951,0,0.0
2015-11-18,951,951,951,951,20,0.0
2015-11-19,810,810,810,810,0,-0.1482649842271293
2015-11-20,928,928,711,711,305,-0.12222222222222223
2015-11-23,817,817,605,605,1135,-0.14908579465541494
2015-11-24,695,695,515,515,2260,-0.14876033057851235
2015-11-25,591,591,438,438,3170,-0.14951456310679612
2015-11-26,504,504,373,504,12385,0.15068493150684925
2015-11-27,579,579,429,429,9010,-0.14880952380952384
2015-11-30,492,492,462,462,4510,0.07692307692307687
2015-12-01,531,531,531,531,1125,0.14935064935064934
2015-12-02,610,610,451,610,5745,0.1487758945386064
2015-12-03,610,610,610,610,11250,0.0
2015-12-04,610,610,610,610,0,0.0
2015-12-07,577,577,519,519,2285,-0.1491803278688525
2015-12-08,595,595,595,595,2375,0.1464354527938343
2015-12-09,565,565,565,565,0,-0.050420168067226934
2015-12-10,576,603,481,481,11060,-0.14867256637168147
2015-12-11,553,553,551,551,3375,0.14553014553014543
2015-12-14,577,611,467,595,10145,0.07985480943738654
2015-12-15,640,640,640,640,1125,0.07563025210084029
2015-12-16,657,666,657,666,6625,0.04062499999999991
2015-12-17,765,765,728,755,3395,0.13363363363363367
2015-12-18,719,746,719,746,5660,-0.01192052980132452
2015-12-21,634,711,634,711,19350,-0.046916890080428986
2015-12-22,659,710,659,710,1947800,-0.0014064697609000865
2015-12-23,671,671,671,671,5625,-0.05492957746478877
2015-12-24,675,675,675,675,2250,0.005961251862891315
2015-12-28,621,621,575,575,2285,-0.14814814814814814
2015-12-29,586,586,489,489,2260,-0.14956521739130435
2015-12-30,561,561,416,416,3400,-0.1492842535787321
2016-01-04,478,478,478,478,61880,0.14903846153846145
2016-01-05,478,548,478,478,11320,0.0
2016-01-06,470,549,470,549,2260,0.14853556485355646
2016-01-07,631,631,631,631,35,0.14936247723132978
2016-01-08,711,711,567,711,180,0.12678288431061802
2016-01-11,639,754,639,754,145,0.06047819971870605
2016-01-12,641,641,641,641,2285,-0.14986737400530503
2016-01-13,737,737,641,711,5690,0.109204368174727
2016-01-14,816,816,604,604,10235,-0.15049226441631502
2016-01-15,692,692,513,513,37335,-0.1506622516556292
2016-01-18,513,513,437,437,78095,-0.14814814814814814
2016-01-19,372,497,372,497,113070,0.13729977116704806
2016-01-20,497,497,435,480,11590,-0.03420523138832998
2016-01-21,444,551,408,551,330845,0.1479166666666667
2016-01-22,488,613,470,613,222030,0.11252268602540827
2016-01-25,521,666,521,666,66825,0.08646003262642732
2016-01-26,576,657,576,657,2260,-0.013513513513513487
2016-01-27,560,560,560,560,0,-0.14764079147640796
2016-01-28,480,600,480,600,67645,0.0714285714285714
2016-01-29,564,564,564,564,20,-0.06000000000000005
2016-02-01,532,564,507,507,2270,-0.10106382978723405
2016-02-02,493,518,488,518,4510,0.021696252465483346
2016-02-03,537,537,537,537,10,0.03667953667953672
2016-02-04,456,604,456,604,3385,0.12476722532588447
2016-02-05,692,692,692,692,10,0.14569536423841067
2016-02-11,754,754,754,754,10,0.08959537572254339
2016-02-12,867,867,867,867,10,0.14986737400530514
2016-02-15,800,800,800,800,2250,-0.07727797001153403
2016-02-16,755,755,755,755,10,-0.05625000000000002
2016-02-17,642,755,642,729,80,-0.03443708609271523
2016-02-18,619,619,619,619,2305,-0.15089163237311387
2016-02-19,666,666,666,666,10,0.07592891760904674
2016-02-22,567,567,567,567,2475,-0.14864864864864868
2016-02-23,506,506,489,489,4500,-0.13756613756613756
2016-02-24,561,561,417,417,45,-0.14723926380368102
2016-02-25,355,479,355,479,65,0.14868105515587526
2016-02-26,488,489,488,489,2330,0.02087682672233826
2016-02-29,416,562,416,447,80,-0.08588957055214719
2016-03-02,470,506,470,506,4060,0.1319910514541387
2016-03-03,471,550,471,471,5645,-0.06916996047430835
2016-03-04,497,539,488,539,9045,0.1443736730360934
2016-03-07,470,620,470,620,17590,0.15027829313543606
2016-03-08,577,611,527,611,4240,-0.014516129032258074
2016-03-09,533,648,533,648,20,0.060556464811784005
2016-03-10,551,551,551,551,2250,-0.14969135802469136
2016-03-11,507,604,488,604,2870,0.0961887477313974
2016-03-14,533,533,533,533,110,-0.11754966887417218
2016-03-15,515,515,471,471,10710,-0.1163227016885553
2016-03-16,444,541,444,541,16075,0.14861995753715496
2016-03-17,577,577,577,577,10,0.06654343807763397
2016-03-18,490,520,490,520,2260,-0.098786828422877
2016-03-21,471,471,471,471,2250,-0.09423076923076923
2016-03-22,470,497,443,497,11825,0.05520169851380041
2016-03-23,444,444,444,444,3490,-0.10663983903420526
2016-03-24,444,444,444,444,2250,0.0
2016-03-25,488,488,462,462,45,0.04054054054054057
2016-03-28,444,449,444,449,170,-0.02813852813852813
2016-03-29,444,444,444,444,2250,-0.011135857461024523
2016-03-30,444,449,444,449,7795,0.011261261261261257
2016-03-31,444,453,444,453,2270,0.008908685968819663
2016-04-01,443,451,443,451,5735,-0.004415011037527616
2016-04-04,451,451,451,451,560,0.0
2016-04-05,417,510,417,480,7930,0.06430155210643007
2016-04-06,425,425,417,417,5625,-0.13124999999999998
2016-04-07,470,470,453,453,990,0.08633093525179847
2016-04-08,520,520,470,470,235,0.03752759381898452
2016-04-11,422,422,422,422,3375,-0.10212765957446812
2016-04-12,395,471,395,471,3385,0.1161137440758293
2016-04-14,426,444,426,444,3385,-0.0573248407643312
2016-04-15,444,444,444,444,0,0.0
2016-04-18,442,442,442,442,0,-0.0045045045045044585
2016-04-19,404,471,404,471,3385,0.06561085972850678
2016-04-20,433,433,433,433,0,-0.08067940552016983
2016-04-21,424,424,424,424,0,-0.020785219399538146
2016-04-22,424,424,424,424,0,0.0
2016-04-25,444,444,444,444,3375,0.04716981132075482
2016-04-26,426,426,426,426,3375,-0.04054054054054057
2016-04-27,424,489,424,489,3385,0.147887323943662
2016-04-28,441,514,441,514,3385,0.05112474437627812
2016-04-29,444,471,444,471,2260,-0.08365758754863817
2016-05-02,489,489,489,489,10,0.03821656050955413
2016-05-03,510,510,510,510,10,0.042944785276073594
2016-05-04,444,444,444,444,2250,-0.12941176470588234
2016-05-09,442,442,418,418,37340,-0.058558558558558516
2016-05-10,425,442,425,442,1520,0.05741626794258381
2016-05-11,442,442,442,442,2700,0.0
2016-05-12,435,435,435,435,0,-0.015837104072398245
2016-05-13,435,435,435,435,0,0.0
2016-05-16,435,435,435,435,0,0.0
2016-05-17,433,433,433,433,0,-0.0045977011494252595
2016-05-18,441,487,417,435,6425,0.004618937644341736
2016-05-19,435,435,435,435,2700,0.0
2016-05-20,435,435,435,435,14060,0.0
2016-05-23,496,496,399,444,14175,0.020689655172413834
2016-05-24,435,435,435,435,4940,-0.020270270270270285
2016-05-25,484,484,431,431,1700,-0.00919540229885063
