Date,Open,High,Low,Close,Volume,Change
2000-04-27,10280,10863,9796,9796,6247,
2000-04-28,10089,10476,10089,10379,5030,0.05951408738260522
2000-05-02,10379,10961,10379,10718,3607,0.03266210617593224
2000-05-03,10379,10670,10185,10573,4422,-0.013528643403620033
2000-05-04,10184,10669,9990,10524,9597,-0.00463444623096565
2000-05-08,10378,11154,10378,11154,10700,0.0598631698973775
2000-05-09,11299,11737,10573,10815,4907,-0.03039268423883812
2000-05-10,10379,10864,10379,10573,3421,-0.022376329172445697
2000-05-12,10379,10768,10282,10573,2391,0.0
2000-05-15,10574,10574,9797,9894,7803,-0.06422018348623848
2000-05-16,10281,10378,9796,10330,5484,0.044067111380634794
2000-05-17,10816,10913,10089,10573,14061,0.02352371732817038
2000-05-18,10814,12124,10814,12124,49156,0.14669441029036223
2000-05-19,12611,13871,12368,13580,66163,0.12009237875288692
2000-05-22,12708,13581,11640,12222,20484,-0.09999999999999998
2000-05-23,12222,12222,11058,11446,13277,-0.06349206349206349
2000-05-24,11106,12027,10572,11348,10566,-0.008561943036868747
2000-05-25,11447,13047,11447,13046,20896,0.14962989072964406
2000-05-26,13627,14549,11978,12512,41329,-0.04093208646328372
2000-05-29,12124,12755,11639,12124,17897,-0.031010230179028153
2000-05-30,12271,13581,11834,13095,27019,0.0800890795117124
2000-05-31,13288,14114,13095,13434,33276,0.025887743413516517
2000-06-01,13289,14501,12707,13774,37163,0.0253089176715795
2000-06-02,14260,15132,13871,14259,54596,0.035211267605633756
2000-06-05,14549,15228,14258,14355,44948,0.006732589943193812
2000-06-07,14356,14646,13871,13919,16566,-0.030372692441657967
2000-06-08,13966,14064,12949,13191,21680,-0.05230260794597308
2000-06-09,12706,13434,12657,13191,8237,0.0
2000-06-12,13288,13580,12949,13143,13113,-0.003638844666818297
2000-06-13,13482,13967,13192,13434,20751,0.022141063684090412
2000-06-14,13726,14890,13677,13774,21318,0.0253089176715795
2000-06-15,13871,14065,12611,12610,17370,-0.08450704225352113
2000-06-16,12610,12900,11930,12124,12340,-0.03854084060269625
2000-06-19,11834,12125,11301,11543,14298,-0.04792147806004621
2000-06-20,11638,12512,11638,11833,5494,0.025123451442432554
2000-06-21,11883,12368,11883,11931,6710,0.008281923434462879
2000-06-22,11932,13387,11932,13386,26401,0.12195121951219523
2000-06-23,13094,13675,12706,13191,11216,-0.014567458538771838
2000-06-26,13580,14405,13095,14404,22318,0.09195663710105384
2000-06-27,14500,15761,14258,15470,52259,0.07400722021660644
2000-06-28,15034,15373,14355,14355,32608,-0.07207498383968969
2000-06-29,14356,15423,13871,14404,30071,0.0034134447927551825
2000-06-30,15130,15130,13773,14161,10370,-0.01687031380172177
2000-07-03,14160,15324,14064,15034,20793,0.061648188687239536
2000-07-04,15035,16442,14647,14744,79194,-0.019289610216841835
2000-07-05,15324,15324,13579,14161,26186,-0.039541508410200765
2000-07-06,14453,14841,14210,14598,15782,0.03085940258456321
2000-07-07,14404,15713,14404,15131,17031,0.03651185093848475
2000-07-10,15616,17362,15519,16683,65556,0.10257088097283718
2000-07-11,16003,16295,14743,14840,29289,-0.11047173769705687
2000-07-12,15035,16199,15035,15713,15205,0.05882749326145542
2000-07-13,15809,15809,15034,15034,6751,-0.0432126264876217
2000-07-14,15229,16004,14840,15713,21298,0.04516429426632973
2000-07-18,15907,16198,14743,14840,7205,-0.05555909119837077
2000-07-19,14260,14841,13338,13580,13669,-0.08490566037735847
2000-07-20,13287,13870,13094,13870,1896,0.02135493372606767
2000-07-21,13579,14015,13579,13870,3752,0.0
2000-07-24,13967,13967,13046,13967,16556,0.006993511175198197
2000-07-25,13677,15230,13581,14550,20639,0.04174124722560313
2000-07-26,14356,15035,13968,14453,7442,-0.00666666666666671
2000-07-27,14405,14405,13775,13774,5741,-0.046979865771812124
2000-07-28,13870,14015,12996,13676,21360,-0.007114854072890919
2000-07-31,14356,14550,13192,13240,9711,-0.03188066686165547
2000-08-01,13774,14162,13288,13919,29009,0.05128398791540789
2000-08-02,13870,14016,13482,13822,10113,-0.006968891443350778
2000-08-03,13871,14550,13628,14453,32524,0.04565185935465199
2000-08-04,14646,16005,13967,15762,40483,0.09056943195184397
2000-08-07,15909,16636,15230,15229,29092,-0.033815505646491606
2000-08-08,15520,15520,14841,15229,6081,0.0
2000-08-09,15518,15518,14792,15034,13102,-0.01280451769650015
2000-08-10,14745,16782,14551,16393,68586,0.09039510442995868
2000-08-11,15714,16684,15520,16102,25875,-0.017751479289940808
2000-08-14,16974,17266,16102,16344,17680,0.015029188920630876
2000-08-16,16975,16975,15666,16393,18999,0.002998042094958464
2000-08-17,16102,16489,15568,15859,13268,-0.03257487952174709
2000-08-18,15859,16343,15713,15859,20288,0.0
2000-08-21,15715,17461,15715,16393,35236,0.03367173213947905
2000-08-22,16198,16683,16004,16489,15742,0.00585615811626905
2000-08-23,16297,16975,16297,16587,14854,0.00594335617684516
2000-08-24,16878,17363,16393,16926,34328,0.020437692168565835
2000-08-25,17218,17218,16297,16781,10442,-0.008566702115089253
2000-08-28,16975,16975,16394,16393,9153,-0.023121387283236983
2000-08-29,16297,16587,16102,16296,10989,-0.00591715976331364
2000-08-30,16004,16927,16004,16441,12277,0.008897889052528196
2000-08-31,16538,16538,15714,15762,8153,-0.041299191046773265
2000-09-01,15762,16149,15567,16004,11608,0.015353381550564649
2000-09-04,16490,17169,16393,16732,28102,0.04548862784303931
2000-09-05,16297,18333,16297,16393,77246,-0.020260578532153906
2000-09-06,16199,16878,16199,16587,9030,0.01183431952662728
2000-09-07,16102,16684,16005,16296,15205,-0.01754385964912286
2000-09-08,16296,17168,16102,17120,28400,0.05056455571919494
2000-09-14,17945,17945,16102,16732,5195,-0.022663551401869153
2000-09-15,15908,16782,15908,16296,9916,-0.026057853215395665
2000-09-18,16103,16199,15035,15423,9968,-0.0535714285714286
2000-09-19,15228,15519,14743,15131,4576,-0.018932762756921462
2000-09-20,15811,15811,15180,15617,3298,0.03211948978917456
2000-09-21,15617,15713,15130,15131,5618,-0.0311199334059038
2000-09-22,15229,15229,14162,14259,4432,-0.057630031062057996
2000-09-25,14355,14889,14258,14646,5783,0.027140753208499957
2000-09-26,14258,15228,14258,14646,3051,0.0
2000-09-27,14355,14937,14355,14840,9618,0.013245937457326162
2000-09-28,15325,15422,14549,14646,3886,-0.01307277628032344
2000-09-29,14841,15230,14551,15229,6164,0.039806090400109184
2000-10-02,15131,15325,14840,15277,9844,0.0031518812791384576
2000-10-04,14939,16394,14939,16393,14442,0.07305099168684959
2000-10-05,16393,16490,15957,16296,4411,-0.00591715976331364
2000-10-06,16295,16731,16101,16683,7474,0.023748159057437324
2000-10-09,16488,16877,16488,16683,5308,0.0
2000-10-10,16682,16877,16488,16877,2082,0.011628603968111273
2000-10-11,16489,17460,16004,16974,20690,0.005747466966878001
2000-10-12,16392,17071,15859,16344,8216,-0.03711558854718977
2000-10-13,15520,15909,14987,15908,4473,-0.026676456191874642
2000-10-16,15907,16877,15907,16489,8340,0.03652250440030169
2000-10-17,15811,16684,15811,15908,6154,-0.03523561161986777
2000-10-18,16296,16489,15763,15762,3102,-0.009177772190093081
2000-10-19,15519,16295,15519,16004,5432,0.015353381550564649
2000-10-20,16297,16490,16005,16393,6896,0.024306423394151455
2000-10-23,16682,17022,15809,16198,5947,-0.011895321173671647
2000-10-24,15665,16150,15665,16053,9329,-0.008951722434868525
2000-10-25,16052,17265,16052,16489,10277,0.027160032392699263
2000-10-26,16634,17846,16392,16683,26804,0.011765419370489472
2000-10-27,16683,17168,16150,16150,6391,-0.031948690283522097
2000-10-30,16102,16393,16005,16247,6536,0.006006191950464368
2000-10-31,15714,16490,15714,16296,2803,0.0030159414045669575
2000-11-01,16296,16974,16149,16538,7247,0.014850270004909127
2000-11-02,16537,17168,16489,16489,4123,-0.0029628733825129983
2000-11-03,16973,16973,16004,16489,9690,0.0
2000-11-06,16392,16780,16101,16489,8020,0.0
2000-11-07,16101,16634,15956,16634,3927,0.008793741282066891
2000-11-08,16149,16586,16149,16489,2009,-0.008717085487555565
2000-11-09,16684,16733,16297,16587,896,0.00594335617684516
2000-11-10,16927,16927,16151,16393,2937,-0.011695906432748537
2000-11-13,18769,18817,17071,18817,25134,0.14786799243579574
2000-11-14,20370,20370,17993,18090,49896,-0.03863527661157462
2000-11-15,17946,18625,17169,17460,11524,-0.03482587064676612
2000-11-16,17605,20078,17605,20030,62278,0.14719358533791516
2000-11-17,18914,20466,18623,19884,22113,-0.007289066400399391
2000-11-20,19835,20126,18477,18477,9154,-0.0707604103802052
2000-11-21,17946,19012,17558,18236,11381,-0.013043242950695477
2000-11-22,17654,18625,17654,18236,13845,0.0
2000-11-23,17847,19788,17847,17993,19485,-0.013325290633910969
2000-11-24,17946,18818,17461,18430,19380,0.02428722280887019
2000-11-27,18478,18721,17848,18430,8267,0.0
2000-11-28,18139,18431,17801,17800,18164,-0.03418339663591974
2000-11-29,17944,18332,17459,17653,17763,-0.008258426966292087
2000-11-30,17461,17461,16199,17266,12638,-0.021922619384807107
2000-12-01,16296,17217,16296,16829,3803,-0.02530985752345649
2000-12-04,17362,17799,16973,17362,6174,0.031671519401033965
2000-12-05,16588,19885,16588,18430,15205,0.06151365050109425
2000-12-06,19400,19400,17946,17945,11978,-0.02631578947368418
2000-12-07,18139,18625,17751,17896,4164,-0.0027305656171635606
2000-12-08,18042,19303,17993,18284,8246,0.021680822530174337
2000-12-11,18381,19011,18235,18672,6927,0.0212207394443229
2000-12-12,19108,19108,18137,18720,7144,0.0025706940874035134
2000-12-13,18139,18818,18139,18624,1989,-0.00512820512820511
2000-12-14,18817,18817,18332,18672,1875,0.002577319587628857
2000-12-15,18333,18625,18042,18624,2051,-0.0025706940874036244
2000-12-18,18575,18575,18284,18332,1370,-0.015678694158075657
2000-12-19,18625,20758,18430,19303,4916,0.05296748854462141
2000-12-20,19594,19594,18430,18624,1927,-0.035175879396984966
2000-12-21,18623,19108,18526,19011,9360,0.020779639175257714
2000-12-22,19010,19495,18720,18720,2741,-0.015306927568249917
2000-12-26,17944,18720,17944,18720,5092,0.0
2001-01-02,19999,20813,18604,19186,1135,0.024893162393162305
2001-01-03,18604,19185,18255,18837,5142,-0.018190347128114293
2001-01-04,19767,19767,18720,18837,2382,0.0
2001-01-05,18837,18837,18139,18837,1754,0.0
2001-01-08,19185,19185,18429,18720,1143,-0.006211180124223614
2001-01-09,19069,19301,18487,18953,1952,0.012446581196581263
2001-01-10,19186,19476,18953,19186,6011,0.012293568300532964
2001-01-11,19185,20813,19011,19767,15781,0.03028249765453972
2001-01-12,19941,20464,19592,20348,6905,0.029392421712955974
2001-01-15,20232,21046,19883,20872,3749,0.02575191665028509
2001-01-16,20929,21220,20348,21162,2571,0.013894212341893475
2001-01-17,20930,21278,20930,20930,4403,-0.010963046970985713
