Date,Open,High,Low,Close,Volume,Change
2008-08-01,7090,7562,6230,6230,1065622,
2008-08-04,5955,6145,5483,5644,842175,-0.09406099518459066
2008-08-05,5690,6352,5690,5908,935246,0.046775336640680454
2008-08-06,6050,6211,5927,6145,466101,0.04011509817197023
2008-08-07,6059,6220,5841,6135,416098,-0.0016273393002440573
2008-08-08,5983,6740,5983,6655,849163,0.08475957620211894
2008-08-11,6740,7326,6664,6712,944954,0.00856498873027789
2008-08-12,6655,6683,6059,6192,602022,-0.07747318235995238
2008-08-13,6191,6333,6087,6116,322132,-0.012273901808785515
2008-08-14,6012,6230,6012,6079,232821,-0.006049705689993412
2008-08-18,5965,6069,5719,5814,335639,-0.043592696167132794
2008-08-19,5681,5813,5530,5530,305789,-0.04884760921912623
2008-08-20,5615,5946,5587,5748,389879,0.039421338155515295
2008-08-21,5766,5851,5587,5606,143535,-0.024704244954766863
2008-08-22,5605,5653,5048,5464,326301,-0.025330003567606174
2008-08-25,5482,5529,5303,5303,144698,-0.029465592972181542
2008-08-26,5085,5199,5067,5067,155537,-0.04450311144635111
2008-08-27,5048,5199,5048,5086,181502,0.003749753305703596
2008-08-28,5171,5171,4707,4774,237023,-0.061344868265827746
2008-08-29,4821,4868,4486,4486,296909,-0.0603267700041894
2008-09-01,4314,4499,3813,3828,776062,-0.14667855550601872
2008-09-02,3705,3975,3460,3512,336448,-0.08254963427377215
2008-09-03,3474,3795,3474,3791,398114,0.07944191343963558
2008-09-04,3875,4083,3790,4003,300823,0.05592192033764176
2008-09-05,3856,4093,3809,4046,192497,0.010741943542343257
2008-09-08,4111,4395,4111,4348,218900,0.07464162135442409
2008-09-09,4395,4395,4178,4282,172730,-0.015179392824287041
2008-09-10,4130,4333,4130,4282,93337,0.0
2008-09-11,4230,4305,4178,4216,158135,-0.015413358243811293
2008-09-12,4277,4485,4206,4443,225335,0.05384250474383312
2008-09-16,3969,4092,3776,3776,223496,-0.15012379023182532
2008-09-17,4008,4339,3960,4339,334968,0.14909957627118642
2008-09-18,4480,4717,4320,4424,1504943,0.019589767227471855
2008-09-19,4584,4651,4424,4481,592395,0.012884267631103175
2008-09-22,4513,4613,4254,4306,548888,-0.03905378263780401
2008-09-23,4244,4358,4178,4330,343422,0.005573618207152853
2008-09-24,4343,4428,4168,4183,505040,-0.03394919168591226
2008-09-25,4182,4206,4045,4055,356535,-0.03060004781257475
2008-09-26,4092,4177,3903,3970,283994,-0.020961775585696674
2008-09-29,4140,4390,4130,4268,944620,0.07506297229219139
2008-09-30,3927,4159,3894,4112,401566,-0.03655107778819122
