Date,Open,High,Low,Close,Volume,Change
2005-11-18,27377,31490,23274,23276,652525,
2005-11-21,22448,23295,21076,21495,330927,-0.07651658360543045
2005-11-22,22198,22675,21350,21426,192813,-0.003210048848569458
2005-11-23,21632,22185,20596,20827,203823,-0.02795668813590968
2005-11-24,20817,23925,20817,23938,438379,0.14937340951649292
2005-11-25,24788,27525,24270,27528,332866,0.14997075779095992
2005-11-28,29592,31630,27003,29862,546491,0.0847863993025284
2005-11-29,29852,29852,25447,26753,239850,-0.10411224968186994
2005-11-30,26999,28296,25896,26234,164119,-0.019399693492318626
2005-12-01,26220,30141,26220,30154,281570,0.14942441106960436
2005-12-02,31825,34342,28713,29603,411467,-0.018272865954765516
2005-12-05,29779,31742,28300,30379,202136,0.026213559436543576
2005-12-06,29969,31629,29377,29378,165547,-0.03295039336383687
2005-12-07,28492,28861,25641,25718,153390,-0.1245830213084621
2005-12-08,25410,27407,25410,26271,83752,0.021502449646162214
2005-12-09,25234,26269,24602,24753,75669,-0.05778234555212969
2005-12-12,24154,24934,23676,23753,70361,-0.04039914353815699
2005-12-13,23308,25346,22678,24643,116527,0.03746895129036343
2005-12-14,24640,25386,23866,24051,63879,-0.024023049141744135
2005-12-15,24595,24595,23116,23197,42247,-0.035507879090266536
2005-12-16,22265,23301,21230,21978,58194,-0.05254989869379656
2005-12-19,20345,21751,20345,21092,64133,-0.04031304031304028
2005-12-20,20796,22391,20757,21277,58737,0.008771098046652659
2005-12-21,20931,22153,20931,21052,57501,-0.010574799078817532
2005-12-22,21308,23486,20898,21605,145638,0.026268288048641564
2005-12-23,22395,22947,21286,21317,58230,-0.013330247627863945
2005-12-26,21189,21780,19596,19644,76867,-0.07848196275273256
2005-12-27,19618,19874,18025,18465,64465,-0.06001832620647529
2005-12-28,18130,19791,18113,18650,69230,0.01001895477931214
2005-12-29,18346,19046,18049,18058,50854,-0.03174262734584454
2006-01-02,17790,18120,17011,17536,46003,-0.02890685568723006
2006-01-03,17581,20177,17581,20167,81419,0.15003421532846706
2006-01-04,20271,21866,19350,20013,158389,-0.007636237417563363
2006-01-05,20010,20715,19788,19978,38977,-0.0017488632388946712
2006-01-06,20336,20336,19038,19053,36201,-0.04630093102412658
2006-01-09,19039,19597,18169,18183,41371,-0.045662100456621
2006-01-10,17938,18382,17755,18167,27371,-0.0008799428037177259
2006-01-11,18156,19750,18156,18500,60988,0.018329938900203624
2006-01-12,18543,19236,17872,18113,39207,-0.02091891891891895
2006-01-13,18113,18903,17869,18650,31214,0.029647214707668512
2006-01-16,18865,20093,18541,18576,100692,-0.003967828418230512
2006-01-17,18758,19350,18387,19351,73123,0.041720499569336766
2006-01-18,19874,20727,18360,19392,211052,0.002118753552788011
2006-01-19,19456,20969,19047,20977,140139,0.08173473597359737
2006-01-20,21446,21855,17823,17944,127829,-0.1445869285407828
2006-01-23,16739,17724,15260,15263,69525,-0.14940927329469456
2006-01-24,15264,15407,12988,14801,60106,-0.03026927864771012
2006-01-25,14428,15691,14428,15318,46443,0.03493007229241263
2006-01-26,15066,15442,14588,15228,25724,-0.005875440658049347
2006-01-27,15548,16954,15320,15875,49938,0.042487522983976955
2006-01-31,16049,16744,15759,16148,37451,0.01719685039370078
2006-02-01,16146,16271,14331,14964,37875,-0.07332177359425318
2006-02-02,15363,15363,14429,14801,20376,-0.01089280940924886
2006-02-03,14430,14765,14133,14244,28967,-0.037632592392405906
2006-02-06,13377,14287,13377,14244,24141,0.0
2006-02-07,14246,14986,14133,14801,31264,0.03910418421791628
2006-02-08,14690,14985,14263,14875,16686,0.004999662184987486
2006-02-09,14971,15346,14413,14427,12092,-0.030117647058823582
2006-02-10,14419,14680,14214,14393,7433,-0.0023566923130241557
2006-02-13,14286,15709,14286,15039,42097,0.04488292920169523
2006-02-14,15133,15242,14650,14949,15449,-0.005984440454817497
2006-02-15,15338,15448,14729,14726,12928,-0.01491738577831292
2006-02-16,14459,15086,14459,14781,14909,0.003734890669564006
2006-02-17,14986,15874,14986,15541,44950,0.05141736012448406
2006-02-20,15386,15683,14869,15486,27573,-0.0035390258027153676
2006-02-21,15520,15543,15083,15318,23549,-0.010848508330104645
2006-02-22,15154,15683,15154,15242,22307,-0.004961483222352792
2006-02-23,15421,17345,15421,16277,64355,0.06790447447841497
2006-02-24,16455,16637,15783,16054,25751,-0.013700313325551439
2006-02-27,16176,17213,15914,16651,35405,0.03718699389560243
2006-02-28,16383,16695,16105,16243,21193,-0.024503032850879847
2006-03-02,16027,16356,15172,15357,42642,-0.05454657390876072
2006-03-03,15232,15560,14491,14835,25932,-0.03399101386989645
2006-03-06,14651,15060,14429,14597,16273,-0.016043141220087653
2006-03-07,14298,14804,14098,14801,17056,0.013975474412550426
2006-03-08,14794,14794,14277,14393,5958,-0.027565705019931053
2006-03-09,14186,14726,14186,14318,8031,-0.005210866393385638
2006-03-10,14385,15017,14369,14672,8965,0.024724123480933002
2006-03-13,14693,15006,14506,14690,9556,0.0012268266085060375
2006-03-14,14617,14986,14299,14597,10125,-0.006330837304288628
2006-03-15,14423,15022,14423,14761,12527,0.011235185312050477
2006-03-16,14689,14729,14211,14208,17987,-0.03746358647788095
2006-03-17,14059,14350,13872,14318,9052,0.007742117117117031
2006-03-20,16466,16466,16466,16467,35563,0.15009079480374354
2006-03-21,18913,18913,18133,18909,280469,0.14829659318637267
2006-03-22,18912,19983,17968,19535,449717,0.0331059283938866
2006-03-23,19903,20614,18151,19018,225427,-0.026465318658817516
2006-03-24,18499,18868,16569,17392,172653,-0.08549794931117893
2006-03-27,17088,18216,16936,18222,174863,0.04772309107635686
2006-03-28,17876,18081,16465,16746,163442,-0.08100098781692455
2006-03-29,16587,17201,16051,17203,112466,0.027290099128149947
2006-03-30,17325,17654,16101,16098,95100,-0.06423298261931054
2006-03-31,16270,16901,16161,16910,83792,0.05044104857746312
2006-04-03,16828,18711,16532,17576,219691,0.039384979302188095
2006-04-04,17398,17710,16908,17690,51678,0.006486117432862981
2006-04-05,18058,18575,17017,17018,118545,-0.03798756359525157
2006-04-06,16995,17298,16649,17203,35432,0.010870842637207723
2006-04-07,17298,17662,16871,17203,45527,0.0
2006-04-10,16879,17190,16156,16277,47009,-0.053827820728942655
2006-04-11,16357,16597,15954,16412,37088,0.00829391165448179
2006-04-12,16507,16507,16007,16134,22471,-0.016938825249817158
2006-04-13,16127,16622,15996,16317,19744,0.011342506507995509
2006-04-14,16497,17385,16344,16835,56164,0.031746031746031855
2006-04-17,16996,16996,16207,16208,22938,-0.037243837243837286
2006-04-18,16203,16270,15428,15909,25877,-0.018447680157946733
2006-04-19,16465,16475,15719,15909,25883,0.0
2006-04-20,15954,16466,15913,16412,24635,0.03161732352756297
2006-04-21,16606,16845,15156,15169,63290,-0.07573726541554959
2006-04-24,15001,15502,14745,15242,25649,0.004812446436812001
2006-04-25,15281,15544,14651,14875,24354,-0.024078204959979033
2006-04-26,14755,15051,14607,14781,15937,-0.00631932773109245
2006-04-27,14800,14981,14447,14557,15103,-0.015154590352479569
2006-04-28,14598,14712,14336,14447,13831,-0.007556502026516476
2006-05-02,14311,14589,14202,14393,19928,-0.0037378002353429807
2006-05-03,14425,14702,14259,14711,13862,0.022094073507955336
2006-05-04,14799,14833,14281,14318,23833,-0.026714703283257424
2006-05-08,14464,14691,14258,14318,21481,0.0
2006-05-09,14272,14601,14089,14427,16057,0.007612795083112189
2006-05-10,14741,14741,13535,13840,23277,-0.0406875996395647
2006-05-11,13941,14402,13571,13801,7540,-0.002817919075144504
2006-05-12,13803,14321,13325,13930,9609,0.009347148757336443
2006-05-15,13794,14038,13589,13596,6278,-0.02397702799712853
2006-05-16,13441,13588,12996,13283,15156,-0.023021476904972027
2006-05-17,13277,13441,13129,13393,3573,0.008281261763156023
2006-05-18,12576,13350,12576,12801,4804,-0.044202195176584747
2006-05-19,12291,12956,12291,12582,6489,-0.017108038434497264
2006-05-22,12926,12926,12226,12393,8211,-0.015021459227467782
2006-05-23,12709,12709,12135,12393,5704,0.0
2006-05-24,12239,12387,11722,11895,9107,-0.04018397482449765
2006-05-25,11673,12543,11173,11174,14650,-0.06061370323665405
2006-05-26,11282,11765,11174,11448,6898,0.024521209951673617
2006-05-29,11776,12202,11371,12209,8350,0.06647449336128575
2006-05-30,12032,12067,11656,11841,4424,-0.03014169874682615
2006-06-01,11869,12308,11704,11895,5639,0.004560425639726473
2006-06-02,12081,12394,11506,11766,8367,-0.010844892812105877
2006-06-05,11788,11935,11514,11711,3930,-0.004674485806561268
2006-06-07,11099,11651,10028,10099,8466,-0.13764836478524467
2006-06-08,9269,10884,9269,10358,6005,0.02564610357461139
2006-06-09,10468,10911,10359,10548,3224,0.01834330951921226
2006-06-12,10325,10563,10080,10548,2009,0.0
2006-06-13,10170,11245,10170,11100,2528,0.05233219567690561
2006-06-14,10416,11452,10416,11358,6857,0.023243243243243228
2006-06-15,11361,11878,11247,11432,2804,0.00651523155485112
2006-06-16,10721,11836,10721,11468,4145,0.0031490552834150254
2006-06-19,11173,11742,11002,11005,3673,-0.04037321241716074
2006-06-20,10543,11004,10543,10727,3220,-0.025261244888686973
2006-06-21,10562,10767,10061,10582,4423,-0.013517292812529114
2006-06-22,10616,10913,10543,10727,3353,0.013702513702513741
2006-06-23,10543,10726,10543,10727,2602,0.0
2006-06-26,11096,11096,10726,10727,2713,0.0
2006-06-27,10911,11281,10723,10930,4174,0.018924209937540848
2006-06-28,10616,11243,10616,10727,10476,-0.01857273559011896
2006-06-29,10429,11767,10429,10727,2876,0.0
2006-06-30,10759,11089,10662,10916,10976,0.017619092010813908
2006-07-03,11078,11096,10634,10990,1313,0.006779039941370524
2006-07-04,11077,11464,10985,11244,6029,0.023111919927206515
2006-07-05,11230,11987,11173,11358,12357,0.010138740661686185
2006-07-06,11289,11328,11026,11120,6193,-0.020954393379116087
2006-07-07,11143,11552,11086,11543,9943,0.03803956834532385
2006-07-10,11564,12623,11564,12045,20118,0.04348956077276278
2006-07-11,11837,12310,11644,12209,6081,0.013615608136156032
2006-07-12,12240,12240,11722,12174,5983,-0.00286673765255141
2006-07-13,11880,12495,11846,12025,6308,-0.012239198291440823
2006-07-14,11845,12033,11254,11603,7589,-0.03509355509355505
2006-07-18,12044,13343,12029,13339,16907,0.14961647849694049
2006-07-19,14138,15130,12239,12582,69745,-0.05675088087562785
2006-07-20,12577,12851,11889,12427,15057,-0.012319186138928573
2006-07-21,12768,13770,12587,12856,42300,0.0345216061800917
2006-07-24,12428,13224,12280,12453,7781,-0.031347230864965825
2006-07-25,12340,13484,11948,13134,18276,0.05468561792339188
2006-07-26,13130,13762,12959,13502,26850,0.028018882290238967
