Date,Open,High,Low,Close,Volume,Change
2016-07-15,111250,113500,85750,85750,841142,
2016-07-18,86500,87500,82000,82750,128799,-0.03498542274052474
2016-07-19,83750,84250,79750,80500,86892,-0.027190332326283984
2016-07-20,80999,83000,79750,81000,62883,0.006211180124223503
2016-07-21,82000,86750,81750,83750,86061,0.033950617283950546
2016-07-22,84250,84500,81750,82750,28994,-0.011940298507462699
2016-07-25,82750,83000,80000,80000,36093,-0.033232628398791486
2016-07-26,80500,81750,78250,78500,29700,-0.018750000000000044
2016-07-27,79000,79250,75500,76500,40666,-0.02547770700636942
2016-07-28,76500,78500,76000,76250,20361,-0.0032679738562091387
2016-07-29,76500,76500,75000,76000,21360,-0.003278688524590123
2016-08-01,76000,77000,74750,76250,13418,0.00328947368421062
2016-08-02,75999,76500,72750,72750,25967,-0.04590163934426228
2016-08-03,72250,73250,69750,70000,31559,-0.037800687285223344
2016-08-04,70250,71500,69750,70250,17228,0.0035714285714285587
2016-08-05,71500,71500,68000,68000,25373,-0.03202846975088969
2016-08-08,68750,69000,65000,65500,34861,-0.03676470588235292
2016-08-09,66000,67750,65250,66500,13615,0.01526717557251911
2016-08-10,66250,67500,65750,66250,11871,-0.003759398496240629
2016-08-11,66500,77250,66250,70500,199399,0.0641509433962264
2016-08-12,69500,72500,69500,69750,32841,-0.010638297872340385
2016-08-16,70250,73750,70000,70500,36917,0.010752688172043001
2016-08-17,64000,65000,61000,63250,72717,-0.1028368794326241
2016-08-18,62750,63250,59500,59500,41642,-0.059288537549407105
2016-08-19,60250,61000,59000,59000,18946,-0.008403361344537785
2016-08-22,59750,60500,59000,60000,12561,0.016949152542372836
2016-08-23,61000,61250,59250,60250,16804,0.004166666666666652
2016-08-24,61250,61250,59250,59500,13777,-0.012448132780082943
2016-08-25,60000,60750,59500,59500,17985,0.0
2016-08-26,60000,64250,60000,60750,72775,0.021008403361344463
2016-08-29,61250,63000,59750,60250,26728,-0.008230452674897082
2016-08-30,60500,60999,57750,58500,27099,-0.02904564315352698
2016-08-31,59000,59500,55000,55750,26281,-0.047008547008547064
2016-09-01,56250,57500,55250,56750,17450,0.017937219730941756
2016-09-02,57250,59000,56500,59000,12973,0.0396475770925111
2016-09-05,60000,60000,57999,59250,7736,0.004237288135593209
2016-09-06,59250,59250,57500,58500,12585,-0.012658227848101222
2016-09-07,58500,59249,57500,57750,6274,-0.012820512820512775
2016-09-08,57500,59000,56000,56250,12311,-0.025974025974025983
2016-09-09,56250,56500,54500,54500,14314,-0.03111111111111109
2016-09-12,53000,53499,52250,53250,16060,-0.022935779816513735
2016-09-13,53750,56750,53500,54750,17789,0.028169014084507005
2016-09-19,54750,56000,54250,55250,6874,0.009132420091324311
2016-09-20,55500,56000,53999,55750,7889,0.009049773755656076
2016-09-21,55750,57000,55250,55500,10190,-0.004484304932735439
2016-09-22,56000,59000,55749,57250,16543,0.03153153153153143
2016-09-23,57499,60000,56500,59000,19596,0.03056768558951961
2016-09-26,59000,60000,57499,59000,14507,0.0
2016-09-27,59000,59500,57750,58000,11749,-0.016949152542372836
2016-09-28,58000,63750,56999,58500,68324,0.008620689655172376
2016-09-29,58750,59500,57750,58000,17916,-0.008547008547008517
2016-09-30,58250,59000,56250,56500,18932,-0.025862068965517238
2016-10-04,56500,57250,55750,56250,9088,-0.004424778761061954
2016-10-05,56500,58500,56250,57500,15420,0.022222222222222143
2016-10-06,57250,60500,57250,60000,40002,0.04347826086956519
2016-10-07,59000,61000,58250,61000,39802,0.016666666666666607
2016-10-10,61000,61000,58750,58750,17739,-0.03688524590163933
2016-10-11,58250,59000,57000,57000,24753,-0.029787234042553234
2016-10-12,56750,57750,56250,56750,8690,-0.004385964912280715
2016-10-13,56999,57500,53750,54500,19636,-0.03964757709251099
2016-10-14,55000,56500,54750,56000,7905,0.02752293577981657
