Date,Open,High,Low,Close,Volume,Change
2019-12-11,7838,10098,6925,8300,30393352,
2019-12-12,8760,9314,7903,8106,10611028,-0.023373493975903603
2019-12-13,8262,8355,7451,7682,3031576,-0.0523069331359487
2019-12-16,7635,7829,7377,7571,1589681,-0.014449362145274702
2019-12-17,7571,7764,7193,7267,2304047,-0.04015321621978607
2019-12-18,7359,7423,6925,7064,1517840,-0.02793449841750384
2019-12-19,7101,7147,6870,6889,941580,-0.024773499433748625
2019-12-20,6925,7054,6233,6824,1357704,-0.009435331688198545
2019-12-23,6842,7008,6611,6870,724674,0.006740914419695265
2019-12-24,6870,6907,6594,6594,465279,-0.04017467248908302
2019-12-26,6547,7008,6455,6990,876527,0.060054595086442175
2019-12-27,7165,7175,6953,7009,467656,0.002718168812589461
2019-12-30,6944,7008,6814,6815,269340,-0.0276786988158082
2020-01-02,6860,6860,6455,6658,284950,-0.023037417461482024
2020-01-03,6768,7146,6685,7036,1017407,0.05677380594773207
2020-01-06,6805,7442,6464,7350,1955329,0.04462762933484932
2020-01-07,7423,7838,7183,7396,2259215,0.006258503401360471
2020-01-08,7359,7359,6935,7046,784240,-0.047322877230935645
2020-01-09,7266,7497,7128,7442,726390,0.05620210048254326
2020-01-10,7690,7801,7423,7442,604756,0.0
2020-01-13,7460,7516,7184,7221,762854,-0.029696318194033844
2020-01-14,7322,7469,7193,7193,917464,-0.0038775792826478694
2020-01-15,7238,7238,7045,7073,273626,-0.016682886139302133
2020-01-16,7100,7469,7100,7396,473286,0.045666619539092235
2020-01-17,7395,7515,7285,7405,318660,0.0012168739859383937
2020-01-20,7414,7451,7146,7156,214142,-0.03362592842673873
2020-01-21,7174,7285,6925,6972,190596,-0.02571268865287868
2020-01-22,7008,7128,6971,7027,123344,0.0078886976477337
2020-01-23,7027,7718,6990,7479,1284741,0.06432332432047816
2020-01-28,7220,7441,7008,7285,451786,-0.025939296697419456
2020-01-29,7257,7764,7118,7414,1268401,0.01770761839396018
2020-01-30,7487,7783,7349,7783,1560849,0.049770704073374805
2020-01-31,8050,8483,7414,7451,2635981,-0.042657073108056
2020-02-03,7202,7248,6538,7092,887366,-0.04818145215407332
2020-02-04,7165,7248,7101,7184,295795,0.012972363226170236
2020-02-05,7322,7331,7156,7184,261161,0.0
2020-02-06,7164,7266,7100,7165,244049,-0.0026447661469932715
2020-02-07,7165,7488,7165,7442,506284,0.03866015352407537
2020-02-10,7487,7533,7368,7451,243319,0.0012093523246439197
2020-02-11,7423,7460,7368,7442,222459,-0.0012078915581801297
2020-02-12,7470,7608,7405,7470,309301,0.0037624294544478243
2020-02-13,7450,7469,7349,7368,241443,-0.013654618473895597
2020-02-14,7377,7396,7211,7267,259467,-0.013707926167209505
2020-02-17,7239,7405,7174,7276,124209,0.001238475299298214
2020-02-18,7276,7368,7137,7147,177964,-0.017729521715228125
2020-02-19,7091,7174,7008,7018,179404,-0.018049531271862373
2020-02-20,7174,7294,7018,7184,272482,0.02365346252493583
2020-02-21,7156,7285,7008,7092,229966,-0.012806236080178168
2020-02-24,6916,6916,6565,6695,256748,-0.05597856739988716
2020-02-25,6695,6842,6556,6732,121161,0.005526512322628907
2020-02-26,6593,7054,6547,6732,288405,0.0
2020-02-27,6805,6805,6547,6584,141854,-0.021984551396316054
2020-02-28,6510,6620,6334,6335,271206,-0.0378189550425273
2020-03-02,6279,6611,6261,6501,139625,0.026203630623520047
2020-03-03,6658,6769,6455,6465,134126,-0.005537609598523341
2020-03-04,6454,6962,6362,6833,296304,0.056921887084300016
2020-03-05,7571,7793,6962,6963,4800661,0.019025318308210082
2020-03-06,7008,7138,6640,6806,683821,-0.022547752405572274
2020-03-09,6805,6805,6334,6335,514564,-0.0692036438436674
2020-03-10,6197,6418,5809,6271,429972,-0.010102604577742702
2020-03-11,6279,6409,5948,6031,182362,-0.03827140806888851
2020-03-12,5901,6178,5357,5376,267511,-0.1086055380533908
2020-03-13,4887,4887,3872,4251,472329,-0.2092633928571429
2020-03-16,4250,5283,4144,4426,1855928,0.04116678428605036
2020-03-17,4122,4514,3877,4399,221324,-0.006100316312697696
2020-03-18,4527,4564,3974,3974,163348,-0.09661286656058199
2020-03-19,4052,4094,3531,3578,235936,-0.09964771011575235
2020-03-20,3577,3923,3577,3767,149447,0.052822806036892045
2020-03-23,3453,4002,3453,3532,353469,-0.062383859835412836
2020-03-24,3670,3739,3564,3698,130162,0.04699886749716864
2020-03-25,3946,4426,3799,3919,901722,0.05976203353163867
2020-03-26,3983,4177,3863,3910,373404,-0.0022965042102577327
2020-03-27,4177,4242,3877,3984,331696,0.01892583120204594
