Date,Open,High,Low,Close,Volume,Change
2013-12-06,57599,59759,49103,51842,1258487,
2013-12-09,51262,54432,50039,52490,478896,0.012499517765518275
2013-12-10,53061,53133,50757,50761,206309,-0.03293960754429415
2013-12-11,51046,51477,50326,50330,146577,-0.00849077047339497
2013-12-12,49894,50037,47447,48241,258019,-0.04150606000397372
2013-12-13,48168,50832,47663,50258,135575,0.041810907734085134
2013-12-16,50040,51337,49608,50546,106020,0.005730430976162992
2013-12-17,50903,51551,48887,48889,136041,-0.03278202033791
2013-12-18,49031,49319,45936,46297,291940,-0.053018061322587906
2013-12-19,47160,48312,46657,47954,153091,0.03579065598202913
2013-12-20,47879,48168,47088,47954,62749,0.0
2013-12-23,47953,49103,47953,47954,81640,0.0
2013-12-24,48166,50038,47013,49753,76555,0.037515118655378155
2013-12-26,49319,49823,48456,48458,90698,-0.026028581191083977
2013-12-27,48455,49967,47518,49826,83558,0.028230632712864745
2013-12-30,49821,49965,48381,49105,54103,-0.014470356841809529
2014-01-02,48887,49103,48095,48962,59574,-0.0029121270746359507
2014-01-03,48312,50759,47519,49970,108480,0.020587394305788154
2014-01-06,49966,50038,49030,49753,62267,-0.004342605563337987
2014-01-07,49823,52704,49102,51913,141155,0.043414467469298224
2014-01-08,52489,53568,52202,53211,116777,0.02500337102459893
2014-01-09,52560,53209,51767,52634,66764,-0.010843622559245314
2014-01-10,52774,53422,51839,53281,131972,0.012292434548010878
2014-01-13,52849,54433,52849,52922,74608,-0.006737861526623035
2014-01-14,52920,54503,51766,53786,94868,0.016325913608707054
2014-01-15,54289,54434,53136,53211,76616,-0.010690514260216388
2014-01-16,53639,53639,52487,52562,61881,-0.012196726240814915
2014-01-17,52273,52994,51553,51699,48379,-0.016418705528708943
2014-01-20,51696,52919,51119,51913,71638,0.004139345055029997
2014-01-21,51909,52414,50831,52274,93851,0.006953942172480909
2014-01-22,51840,52201,51336,52058,99219,-0.004132073306041262
2014-01-23,52054,52054,50686,50761,143060,-0.02491451842176029
2014-01-24,50614,51552,50327,51554,80515,0.015622229664506326
2014-01-27,50614,51910,50327,51554,63222,0.0
2014-01-28,50975,51552,49464,49466,159992,-0.04050122201962991
2014-01-29,49535,50256,48887,49970,136682,0.010188816560870118
2014-02-03,50112,50401,49464,50402,53156,0.00864518711226725
2014-02-04,49750,50111,48167,49682,105958,-0.014285147414785149
2014-02-05,49752,50833,49752,50402,79910,0.01449217020248783
2014-02-06,50400,50689,49824,50546,46335,0.002857029482957074
2014-02-07,51118,53351,50902,53281,166620,0.05410912831875914
2014-02-10,53209,54361,52560,52707,122135,-0.010773071075993346
2014-02-11,52850,53209,52201,52707,80856,0.0
2014-02-12,53063,53063,51479,51481,102902,-0.02326066746352473
2014-02-13,51336,52128,50256,50834,72015,-0.012567743439327095
2014-02-14,50833,51552,49752,50402,103778,-0.008498249203289121
2014-02-17,50904,52128,50615,51986,93506,0.03142732431252737
2014-02-18,51984,54144,51911,54146,187464,0.04154964798214911
2014-02-19,54432,54720,53639,53642,96915,-0.009308166808259188
2014-02-20,53424,54361,53064,53211,61445,-0.008034748890794474
2014-02-21,53567,53711,52126,53066,66688,-0.0027250004698277097
2014-02-24,52773,53061,52269,52777,58490,-0.005446048317189867
2014-02-25,52919,53927,52487,53642,65699,0.016389715216855727
2014-02-26,53638,53926,52847,53425,70624,-0.0040453376085902715
2014-02-27,53423,54143,53063,53930,74520,0.009452503509592924
2014-02-28,53927,54790,53422,53642,155340,-0.00534025588726128
2014-03-03,53711,55151,52703,53570,134845,-0.001342231833264984
2014-03-04,53497,54434,52993,53211,84413,-0.0067015120403211
2014-03-05,53568,54433,52921,54363,104518,0.02164965890511361
2014-03-06,54360,55655,54071,55010,100695,0.011901477107591596
2014-03-07,55368,55440,54360,54578,90014,-0.007853117614979088
2014-03-10,55440,55584,54432,54578,92394,0.0
2014-03-11,54576,56015,53855,55874,102592,0.02374583165377997
2014-03-12,55655,55798,53711,54074,116507,-0.03221534166159579
2014-03-13,54216,56593,54216,56595,151618,0.04662129674150228
2014-03-14,56015,57241,55728,55874,105157,-0.01273964131106986
2014-03-17,56301,57239,56231,57025,79224,0.020599921251386988
2014-03-18,57096,57745,56664,56883,99340,-0.002490135905304669
2014-03-19,56952,57599,56088,56883,38173,0.0
2014-03-20,56807,56951,56158,56666,35412,-0.003814848021377215
2014-03-21,57167,57310,56087,56306,54700,-0.006353015917834326
2014-03-24,56014,56158,54503,54506,102062,-0.031968173906866015
2014-03-25,53998,55223,53351,55154,69962,0.011888599420247337
2014-03-26,55079,55440,54503,54650,43855,-0.009138049824128802
2014-03-27,54722,55945,54144,55731,35260,0.0197804208600183
2014-03-28,56233,56952,55729,56739,78638,0.01808688162781924
2014-03-31,56447,56737,55297,56739,70503,0.0
2014-04-01,56665,56737,55799,56235,43775,-0.008882779040871314
2014-04-02,56230,56445,55508,55801,41947,-0.007717613585845107
2014-04-03,56088,56160,54576,54723,60007,-0.0193186502034014
2014-04-04,54791,55007,53999,54506,34067,-0.003965425872119566
2014-04-07,54359,54790,53351,53642,34029,-0.01585146589366304
2014-04-08,53422,54143,52559,54002,36023,0.00671115916632492
2014-04-09,54144,54503,52992,53498,38916,-0.009332987667123427
2014-04-10,54288,54360,53208,53355,39965,-0.002672997121387688
2014-04-11,53351,53638,51983,53137,65229,-0.00408584012744817
2014-04-14,53064,53641,52706,52707,25651,-0.008092289741611358
2014-04-15,52847,53494,52703,53425,24455,0.013622478987610709
2014-04-16,53423,53567,52775,52851,27205,-0.010744033692091759
