Date,Open,High,Low,Close,Volume,Change
2018-12-26,3600,4137,3600,4137,1194,
2018-12-27,4745,4745,4745,4745,22,0.14696640077350742
2018-12-28,5454,5454,5454,5454,46,0.1494204425711274
2019-01-02,6252,6252,6252,6252,25166,0.14631463146314627
2019-01-03,7184,7184,7184,7184,23904,0.14907229686500312
2019-01-04,8248,8248,8203,8248,29304,0.14810690423162587
2019-01-07,9467,9467,9467,9467,38584,0.14779340446168776
2019-01-08,10886,10886,8048,10643,28378,0.12422097813457267
2019-01-09,11085,11085,9578,10864,4804,0.020764821948698664
2019-01-10,10863,10863,9356,9356,9040,-0.1388070692194403
2019-01-11,9356,9356,8424,9356,12786,0.0
2019-01-14,9534,9534,8869,8869,562,-0.05205215904232574
2019-01-15,8868,9312,8868,9312,1194,0.04994926147254475
2019-01-16,9977,9977,8868,9290,2372,-0.002362542955326452
2019-01-17,9090,9090,9090,9090,226,-0.02152852529601723
2019-01-18,9289,10198,9090,9090,556,0.0
2019-01-21,9312,9933,9312,9933,1258,0.09273927392739267
2019-01-22,10132,10132,9356,9977,144,0.0044296788482836025
2019-01-23,9977,10199,9977,10199,1720,0.022251177708729974
2019-01-24,10199,10399,10199,10399,844,0.019609765663300305
2019-01-25,10464,10509,10464,10509,802,0.010577940186556445
2019-01-28,10731,10886,10687,10776,2820,0.025406794176420222
2019-01-29,11307,11351,11196,11263,1828,0.04519302152932436
2019-01-30,10664,11219,10642,11219,1436,-0.003906596821450781
2019-01-31,11085,11219,10686,11219,872,0.0
2019-02-01,11950,11950,10642,11219,552,0.0
2019-02-07,11174,11174,10864,10864,1004,-0.03164274890810237
2019-02-08,10819,11019,10642,10842,926,-0.0020250368188512446
2019-02-11,10642,11086,10642,11086,2524,0.02250507286478509
2019-02-12,11086,11086,11086,11086,502,0.0
2019-02-13,11086,11307,11086,11086,946,0.0
2019-02-14,11307,11751,10731,11751,5434,0.059985567382284
2019-02-15,11529,11529,11086,11308,734,-0.03769891924091562
2019-02-18,11174,11174,11085,11130,786,-0.015741068270251124
2019-02-19,10864,11396,10665,11286,2096,0.014016172506738478
2019-02-20,11085,11352,11085,11352,1488,0.005847953216374213
2019-02-21,11352,11485,10997,11441,998,0.007840028188865311
2019-02-22,11395,11395,11395,11396,586,-0.003933222620400301
2019-02-25,11396,11441,11086,11441,658,0.003948753948753936
2019-02-26,11440,11528,11440,11529,878,0.007691635346560588
2019-02-27,11529,11973,11529,11973,1558,0.03851157949518602
2019-02-28,12083,13302,12083,13303,1026,0.11108327069239121
2019-03-04,13614,14634,13614,14634,1258,0.10005261970983992
2019-03-05,14634,14634,14634,14634,4,0.0
2019-03-06,14301,14567,12438,14124,1306,-0.03485034850348501
2019-03-07,13303,15964,12860,13725,3122,-0.028249787595581943
2019-03-08,14190,15720,14190,15720,6752,0.1453551912568305
2019-03-11,15520,17738,15165,17738,5076,0.1283715012722646
2019-03-12,18491,20132,17072,19733,3698,0.1124704025256511
2019-03-13,19733,19955,17738,18847,5728,-0.04489940708457918
2019-03-14,18846,19334,18624,19068,262,0.011726004138589596
2019-03-15,18469,18624,17737,17915,1610,-0.06046779945458358
2019-03-18,17915,18380,17915,18159,108,0.01361987161596434
2019-03-19,18159,18380,18004,18004,48,-0.008535712318960331
2019-03-20,18469,18491,17759,18181,528,0.009831148633636877
2019-03-21,18181,18624,18004,18004,3532,-0.009735438094714222
2019-03-22,17781,17848,17781,17804,360,-0.01110864252388355
2019-03-25,18270,18270,17849,17849,218,0.0025275219051899
2019-03-26,17848,18181,17848,18181,1052,0.018600481819709858
2019-03-27,18181,18181,17737,18181,354,0.0
2019-03-28,18181,18181,18181,18181,2,0.0
2019-03-29,18181,18181,18181,18181,306,0.0
2019-04-01,18624,18624,18158,18181,346,0.0
2019-04-02,17693,18181,17560,18181,1196,0.0
2019-04-03,17826,18181,17826,18181,354,0.0
2019-04-04,18181,18181,18181,18181,0,0.0
2019-04-05,18181,18181,18181,18181,12,0.0
2019-04-08,18602,18624,18203,18203,168,0.0012100544524502599
2019-04-09,18181,18181,18181,18181,244,-0.001208591990331298
2019-04-10,18137,18137,17738,17738,868,-0.024366096474341292
2019-04-11,18181,18181,18181,18181,1242,0.024974630736272374
2019-04-12,18181,18181,18181,18181,0,0.0
2019-04-15,17737,18181,17737,18181,342,0.0
2019-04-16,18181,18181,18181,18181,552,0.0
2019-04-17,18181,18181,18181,18181,250,0.0
2019-04-18,18181,18181,18181,18181,0,0.0
2019-04-19,18181,18181,18093,18093,720,-0.004840217809801484
2019-04-22,18624,18691,18624,18691,776,0.033051456364339815
2019-04-23,18624,18735,18624,18713,968,0.0011770370766679417
2019-04-24,18691,18758,17738,18758,542,0.0024047453641853345
2019-04-25,18181,18181,18181,18181,272,-0.03076020897750298
2019-04-26,18203,18625,18203,18625,304,0.024421098949452658
2019-04-29,18181,18846,18181,18181,1968,-0.023838926174496677
2019-04-30,18403,18625,18181,18625,622,0.024421098949452658
2019-05-02,18180,19378,18180,18203,716,-0.022657718120805415
2019-05-03,18225,19489,18225,19467,1002,0.06943910344448723
2019-05-07,19821,22172,19733,22172,3542,0.13895310011814876
2019-05-08,22172,24389,22172,23503,3296,0.06003066931264667
2019-05-09,23503,23902,22616,23503,3064,0.0
2019-05-10,23946,23946,20154,23680,3416,0.007530953495298531
2019-05-13,23724,23724,23281,23281,606,-0.016849662162162216
2019-05-14,23059,23281,20842,23281,4416,0.0
2019-05-15,23015,23015,21307,21951,2232,-0.057128130234955554
2019-05-16,21729,21729,20753,21286,478,-0.030294747391918397
2019-05-17,21286,21286,21286,21286,8,0.0
2019-05-20,21285,21640,20975,20975,766,-0.014610542140373939
2019-05-21,21064,22150,20509,21818,592,0.0401907032181168
2019-05-22,21862,21951,21463,21818,1492,0.0
2019-05-23,21285,21552,21285,21552,726,-0.012191768264735559
2019-05-24,21507,21751,21507,21751,72,0.009233481811432798
2019-05-27,21728,21728,19356,21263,2180,-0.022435750080456063
2019-05-28,21263,21263,20842,21064,54,-0.009358980388468274
2019-05-29,21285,21285,20065,20842,2808,-0.010539308773262479
2019-05-30,20841,20841,20620,20620,244,-0.010651568947317891
2019-05-31,20620,20709,20620,20709,808,0.0043161978661494516
2019-06-03,20753,22172,20709,20798,3486,0.004297648365444884
2019-06-04,20797,21064,19778,19778,2424,-0.04904317722857965
2019-06-05,20176,21263,19955,19955,608,0.00894933764789152
2019-06-07,19955,20620,19955,20177,492,0.011125031320471157
2019-06-10,23014,23014,19955,19955,392,-0.011002626753233935
2019-06-11,19955,20841,19733,19955,534,0.0
2019-06-12,19954,20398,19954,20221,496,0.013329992483086972
2019-06-13,20398,20398,19955,19955,640,-0.013154641214578877
2019-06-14,19955,20176,19955,19955,694,0.0
2019-06-17,19955,19955,19955,19955,586,0.0
2019-06-18,19955,20842,19955,20798,1474,0.04224505136557255
2019-06-19,20176,20398,19955,19955,1126,-0.040532743533032045
2019-06-20,19955,19955,19955,19955,492,0.0
2019-06-21,19955,20177,19955,20177,614,0.011125031320471157
2019-06-24,20177,20177,20177,20177,56,0.0
2019-06-25,20177,20820,20177,20399,1038,0.011002626753233935
2019-06-26,19955,20798,19955,20798,2118,0.019559782342271737
2019-06-27,20176,20797,19954,20753,826,-0.002163669583613803
2019-06-28,20176,20797,19954,20088,7580,-0.032043559967233626
2019-07-01,20398,20398,19955,19955,650,-0.006620868180007955
2019-07-02,19955,20399,19512,20399,2196,0.022250062640942092
2019-07-03,20398,20398,20177,20177,1830,-0.01088288641600077
2019-07-04,20177,20398,20177,20177,1036,0.0
2019-07-05,20177,20399,20177,20399,5902,0.011002626753233935
2019-07-08,20177,20399,20177,20399,1338,0.0
2019-07-09,20354,22660,20176,22660,13460,0.11083876660620628
2019-07-10,22660,22660,22527,22527,100,-0.005869373345101514
2019-07-11,21840,21840,21840,21840,224,-0.030496737248634997
2019-07-12,20398,20620,20043,20620,8554,-0.055860805860805884
2019-07-15,20399,20399,19512,20399,1546,-0.010717749757516937
2019-07-16,20331,20398,20331,20354,1544,-0.0022059904897299143
2019-07-17,20354,20398,20177,20177,1882,-0.008696079394713618
2019-07-18,20199,20199,20177,20177,484,0.0
2019-07-19,20177,20399,20177,20399,1250,0.011002626753233935
2019-07-22,20177,20177,20177,20177,134,-0.01088288641600077
2019-07-23,20287,20310,20287,20310,308,0.006591663775586065
2019-07-24,20177,20177,20177,20177,10,-0.006548498276711001
2019-07-25,20177,20177,20177,20177,10,0.0
2019-07-26,20177,20177,20177,20177,96,0.0
2019-07-29,20177,20177,20177,20177,0,0.0
2019-07-30,20176,20176,19955,19955,236,-0.011002626753233935
2019-07-31,19955,19955,19955,19955,78,0.0
2019-08-01,19955,19955,19955,19955,16306,0.0
2019-08-02,19733,19955,19733,19955,90,0.0
2019-08-05,19068,19955,19068,19955,14,0.0
2019-08-06,18624,18624,17050,17627,2818,-0.11666249060385869
2019-08-07,16939,18625,16939,18625,810,0.056617688772905295
2019-08-08,18624,19290,18624,19290,226,0.03570469798657716
2019-08-09,19290,19512,19290,19512,164,0.011508553654743459
2019-08-12,19955,19955,19955,19955,904,0.02270397703977034
2019-08-13,19356,19356,19356,19356,224,-0.030017539463793486
2019-08-14,19068,19068,19068,19068,54,-0.014879107253564783
