Date,Open,High,Low,Close,Volume,Change
2019-10-30,55785,68992,55405,62997,1435596,
2019-10-31,61780,66638,61780,64135,254680,0.0180643522707431
2019-11-01,64134,66639,63754,65805,214311,0.026038824354876366
2019-11-04,66032,66563,64362,65577,99080,-0.0034647823113744813
2019-11-05,65347,65347,61856,63224,129400,-0.035881482836970235
2019-11-06,63221,64056,60717,62844,94850,-0.0060103758066557544
2019-11-07,61704,62311,60869,62085,79775,-0.012077525300744685
2019-11-08,62766,64056,60413,62844,153891,0.012225175163082858
2019-11-11,63754,66790,62236,66412,314900,0.05677550760613581
2019-11-12,66409,66788,63981,64893,101174,-0.022872372462807933
2019-11-13,64893,66412,62616,66033,90906,0.0175673801488605
2019-11-14,66411,70054,66031,69676,214936,0.05516938500446744
2019-11-15,70054,71419,68460,71118,126508,0.020695791951317544
2019-11-18,71117,71193,68841,69828,84217,-0.0181388677971821
2019-11-19,69143,69599,66487,67171,103015,-0.03805063871226444
2019-11-20,68080,68080,64361,64590,97711,-0.038424320019055824
2019-11-21,64209,69446,64058,66867,120130,0.03525313516024142
2019-11-22,67247,70055,67247,69828,96940,0.04428193279196013
2019-11-25,69903,71419,69599,71118,88518,0.01847396459872841
2019-11-26,71267,71722,70053,71193,70044,0.0010545853370453884
2019-11-27,71723,71723,68916,69372,55351,-0.025578357422780362
2019-11-28,69448,70965,68917,69525,39690,0.002205500778412084
2019-11-29,69675,70586,66790,68613,67119,-0.01311758360302051
2019-12-02,68612,68612,64134,65805,134750,-0.040925189104105586
2019-12-03,65653,66033,64135,66033,67051,0.0034647823113744813
2019-12-04,65120,66714,64512,65121,33873,-0.013811276180091814
2019-12-05,65120,66259,64362,65046,39168,-0.0011517022158750168
2019-12-06,65272,65651,63905,64135,65314,-0.014005473049841677
2019-12-09,64588,64588,61401,63755,126278,-0.005925001949013797
2019-12-10,63828,63828,62234,62844,47918,-0.014289075366637927
2019-12-11,63449,63525,62538,63299,52392,0.007240150213226437
2019-12-12,62996,66184,62693,65729,87011,0.03838923205737843
2019-12-13,67398,68385,66639,67247,109203,0.023094828766602182
2019-12-16,67399,68157,64590,66944,50182,-0.00450577720939227
2019-12-17,66563,67473,65652,65805,49406,-0.01701422084130022
2019-12-18,66032,66184,64666,65729,67835,-0.0011549274371248641
2019-12-19,66032,66108,64666,65653,26640,-0.001156262836799593
2019-12-20,65879,65879,64893,65577,46845,-0.0011576013281952013
2019-12-23,64968,65347,64512,64514,74379,-0.016209951659880706
2019-12-24,64665,65195,63981,65121,75084,0.009408810490746156
2019-12-26,64589,68385,64513,67930,149168,0.04313508699190738
2019-12-27,68612,70964,68612,70055,138105,0.031282202267039594
2019-12-30,70054,71117,69143,70435,59498,0.005424309471129929
2020-01-02,70509,70813,69524,69980,48506,-0.006459856605380843
2020-01-03,69978,71496,69902,70814,103503,0.011917690768791012
2020-01-06,70813,71116,68916,69676,45133,-0.016070268590956616
2020-01-07,70357,72709,69674,72711,140724,0.04355875767839712
2020-01-08,72179,72634,68308,70586,97055,-0.02922528915844924
2020-01-09,72710,72710,71040,71118,52127,0.007536905335335575
2020-01-10,71418,73468,70888,72711,83032,0.022399392558845932
2020-01-13,72786,77036,72482,74685,106258,0.02714857449354291
2020-01-14,75594,78935,75443,77797,132422,0.04166834036285727
2020-01-15,77037,78554,75898,77797,77298,0.0
2020-01-16,77796,79693,75898,77797,87229,0.0
2020-01-17,77795,78934,75898,75899,69453,-0.024396827641168684
2020-01-20,75899,77038,75747,76659,53664,0.010013307158197149
2020-01-21,76279,79316,75899,79316,67601,0.03465998773790413
2020-01-22,79316,79695,77797,79316,34801,0.0
2020-01-23,79316,79695,77418,79316,49095,0.0
2020-01-28,75898,78175,73013,77797,114918,-0.019151243128750828
2020-01-29,78176,80832,76658,78936,104961,0.014640667377919359
2020-01-30,78175,82349,77037,81592,152371,0.033647511908381444
2020-01-31,83108,83489,81212,81213,112438,-0.004645063241494274
2020-02-03,79314,82349,77796,81971,71847,0.00933348109292842
2020-02-04,81969,87283,81969,84248,163123,0.02777811665101071
2020-02-05,85385,86144,82728,84248,101987,0.0
2020-02-06,84626,86524,79693,81971,139255,-0.027027347830215542
