Date,Open,High,Low,Close,Volume,Change
2017-08-22,632,632,626,628,747654,
2017-08-23,627,629,627,628,677397,0.0
2017-08-24,627,633,627,632,30563,0.006369426751592355
2017-08-25,631,635,631,634,44073,0.0031645569620253333
2017-08-28,634,639,632,636,39473,0.003154574132492094
2017-08-29,632,636,632,637,83508,0.0015723270440251014
2017-08-30,636,656,635,640,207497,0.0047095761381474865
2017-08-31,657,657,634,639,128039,-0.0015625000000000222
2017-09-01,633,644,633,643,235956,0.006259780907668322
2017-09-04,643,643,634,642,21325,-0.0015552099533436836
2017-09-05,637,653,629,636,715222,-0.009345794392523366
2017-09-06,635,636,629,629,390143,-0.011006289308176154
2017-09-07,634,634,629,631,13698,0.0031796502384737746
2017-09-08,634,634,629,631,62164,0.0
2017-09-11,634,634,628,632,12907,0.0015847860538826808
2017-09-12,631,631,627,629,75811,-0.004746835443038
2017-09-13,631,631,627,628,63393,-0.0015898251192368873
2017-09-14,627,635,627,629,42292,0.0015923566878981443
2017-09-15,629,635,629,631,49191,0.0031796502384737746
2017-09-18,629,634,627,634,65776,0.004754358161648264
2017-09-19,631,636,629,629,39845,-0.007886435331230235
2017-09-20,630,634,628,632,7915,0.004769475357710551
2017-09-21,632,636,629,636,14229,0.006329113924050667
2017-09-22,635,635,626,634,110728,-0.0031446540880503138
2017-09-25,634,636,629,636,47332,0.003154574132492094
2017-09-26,629,635,627,634,7534,-0.0031446540880503138
2017-09-27,631,634,627,628,94688,-0.009463722397476393
2017-09-28,632,632,631,631,11129,0.004777070063694211
2017-09-29,629,633,627,629,1783,-0.0031695721077654726
2017-10-10,637,637,629,634,31300,0.007949125596184325
2017-10-11,627,633,627,629,21883,-0.007886435331230235
2017-10-12,627,631,627,632,15983,0.004769475357710551
2017-10-13,626,631,626,628,2650,-0.006329113924050667
2017-10-16,629,629,627,629,2134,0.0015923566878981443
2017-10-17,627,629,626,628,165786,-0.0015898251192368873
2017-10-18,628,633,628,632,9387,0.006369426751592355
2017-10-19,632,634,632,634,1954,0.0031645569620253333
2017-10-20,627,633,627,629,2284,-0.007886435331230235
2017-10-23,627,634,627,634,3960,0.007949125596184325
2017-10-24,634,636,634,636,773,0.003154574132492094
2017-10-25,627,633,627,629,2671,-0.011006289308176154
2017-10-26,625,633,625,632,18411,0.004769475357710551
2017-10-27,628,633,624,626,181551,-0.009493670886076
2017-10-30,625,633,625,626,3232,0.0
2017-10-31,631,631,631,632,2,0.009584664536741228
2017-11-01,630,630,624,626,40247,-0.009493670886076
2017-11-02,631,631,627,631,8,0.007987220447284393
2017-11-03,631,631,631,631,0,0.0
2017-11-06,626,631,626,631,20,0.0
2017-11-07,626,631,626,631,28740,0.0
2017-11-08,631,631,627,628,14,-0.004754358161648153
2017-11-09,631,631,631,632,2,0.006369426751592355
2017-11-10,626,632,626,631,3906,-0.0015822784810126667
2017-11-13,631,631,631,631,0,0.0
2017-11-14,625,631,625,625,995,-0.009508716323296307
2017-11-15,631,631,625,625,8068,0.0
2017-11-16,626,631,625,625,37351,0.0
2017-11-17,629,629,621,628,182,0.0047999999999999154
2017-11-20,621,627,621,626,22992,-0.0031847133757961776
2017-11-21,626,628,621,625,29732,-0.0015974440894568342
2017-11-22,625,625,617,621,1169,-0.006399999999999961
2017-11-23,619,627,619,626,44,0.008051529790660261
2017-11-24,626,626,623,625,22462,-0.0015974440894568342
2017-11-27,627,653,622,623,127737,-0.0031999999999999806
2017-11-28,621,628,621,625,2476,0.0032102728731941976
2017-11-29,628,628,625,625,14,0.0
2017-11-30,625,625,620,625,7324,0.0
2017-12-01,630,630,622,626,3360,0.0016000000000000458
2017-12-04,629,629,627,628,11,0.0031948881789136685
2017-12-05,619,620,619,621,3285,-0.011146496815286677
2017-12-06,620,627,616,628,22351,0.011272141706924366
2017-12-07,622,622,619,623,4581,-0.0079617834394905
2017-12-08,628,628,617,621,13428,-0.0032102728731941976
2017-12-11,619,629,618,629,3205,0.012882447665056418
2017-12-12,629,629,629,629,0,0.0
2017-12-13,619,629,619,629,3193,0.0
2017-12-14,625,625,625,626,6383,-0.004769475357710662
2017-12-15,618,618,618,618,12766,-0.012779552715655007
2017-12-18,630,630,618,626,3199,0.012944983818770295
2017-12-19,625,631,625,632,23016,0.009584664536741228
2017-12-20,626,629,624,628,130930,-0.006329113924050667
2017-12-21,628,628,619,626,33816,-0.0031847133757961776
2017-12-22,628,628,618,625,24773,-0.0015974440894568342
2017-12-26,625,625,625,626,2,0.0016000000000000458
2017-12-27,625,625,625,626,0,0.0
2017-12-28,627,627,627,628,8460,0.0031948881789136685
2018-01-02,629,629,618,628,713,0.0
2018-01-03,629,629,619,629,4314,0.0015923566878981443
2018-01-04,621,629,621,629,15335,0.0
2018-01-05,629,629,621,629,9189,0.0
2018-01-08,621,629,621,629,18906,0.0
2018-01-09,629,629,622,629,29690,0.0
2018-01-10,629,635,626,628,98085,-0.0015898251192368873
2018-01-11,619,629,619,629,15485,0.0015923566878981443
2018-01-12,627,629,627,629,17,0.0
2018-01-15,620,628,620,621,107814,-0.012718600953895098
2018-01-16,629,629,620,628,16277,0.011272141706924366
2018-01-17,629,629,624,629,43431,0.0015923566878981443
2018-01-18,620,629,620,625,66364,-0.006359300476947549
2018-01-19,621,630,621,629,11905,0.006399999999999961
2018-01-22,621,633,621,629,14034,0.0
2018-01-23,631,631,626,631,2662,0.0031796502384737746
2018-01-24,630,630,625,629,9318,-0.0031695721077654726
2018-01-25,631,631,623,631,16280,0.0031796502384737746
2018-01-26,631,635,624,631,41044,0.0
2018-01-29,634,634,619,632,10286,0.0015847860538826808
2018-01-30,635,635,626,631,11899,-0.0015822784810126667
2018-01-31,640,640,631,632,7987,0.0015847860538826808
2018-02-01,636,636,627,629,29,-0.004746835443038
2018-02-02,639,639,625,637,8247,0.012718600953895098
2018-02-05,638,638,638,639,5,0.0031397174254317317
2018-02-06,631,631,631,632,0,-0.010954616588419452
2018-02-07,639,639,625,637,7744,0.007911392405063333
2018-02-08,637,637,636,636,41,-0.0015698587127158659
2018-02-09,636,636,625,629,47092,-0.011006289308176154
2018-02-12,637,637,636,636,8,0.0111287758346581
2018-02-13,639,639,625,626,161,-0.01572327044025157
2018-02-14,626,629,626,628,485,0.0031948881789136685
2018-02-19,637,637,631,632,26,0.006369426751592355
2018-02-20,637,637,636,636,86,0.006329113924050667
2018-02-21,634,634,631,632,23,-0.0062893081761006275
2018-02-22,626,632,626,631,1451,-0.0015822784810126667
2018-02-23,637,637,634,634,11,0.004754358161648264
2018-02-26,638,640,627,634,3669,0.0
2018-02-27,638,640,627,628,1388,-0.009463722397476393
2018-02-28,639,639,626,636,26,0.01273885350318471
2018-03-02,636,636,636,637,5,0.0015723270440251014
2018-03-05,645,648,629,634,53541,-0.004709576138147598
2018-03-06,641,641,629,629,44223,-0.007886435331230235
2018-03-07,625,628,624,626,26033,-0.004769475357710662
2018-03-08,631,631,622,632,60542,0.009584664536741228
2018-03-09,627,637,624,632,83648,0.0
2018-03-12,626,631,626,631,23238,-0.0015822784810126667
2018-03-13,624,631,624,632,431,0.0015847860538826808
2018-03-14,625,629,624,629,8056,-0.004746835443038
2018-03-15,625,640,624,640,21679,0.01748807631160565
2018-03-16,638,638,625,629,67299,-0.017187500000000022
2018-03-19,629,636,627,636,24797,0.0111287758346581
2018-03-20,640,640,627,628,21089,-0.012578616352201255
2018-03-21,638,638,629,631,4167,0.004777070063694211
2018-03-22,638,638,625,629,63843,-0.0031695721077654726
2018-03-23,641,641,626,634,166863,0.007949125596184325
2018-03-26,628,639,625,632,7720,-0.003154574132492094
2018-03-27,635,635,625,629,530,-0.004746835443038
2018-03-28,637,637,621,634,43116,0.007949125596184325
2018-03-29,629,637,629,634,6703,0.0
2018-03-30,625,625,625,625,6542,-0.014195583596214534
2018-04-02,625,630,624,626,4940,0.0016000000000000458
2018-04-03,625,633,625,629,2098,0.004792332268370503
2018-04-04,631,631,624,626,8164,-0.004769475357710662
2018-04-05,632,632,624,631,117663,0.007987220447284393
2018-04-06,626,631,626,631,2560,0.0
2018-04-09,628,630,622,626,10877,-0.007923930269413626
2018-04-10,631,632,624,631,6808,0.007987220447284393
2018-04-11,622,631,622,626,9546,-0.007923930269413626
2018-04-12,622,625,622,626,13827,0.0
2018-04-13,626,627,624,628,48816,0.0031948881789136685
2018-04-16,630,631,622,626,18102,-0.0031847133757961776
2018-04-17,630,630,624,626,33990,0.0
2018-04-18,626,629,626,628,21161,0.0031948881789136685
2018-04-19,625,626,625,625,6344,-0.004777070063694322
2018-04-20,624,627,623,628,3771,0.0047999999999999154
2018-04-23,622,650,620,621,40910,-0.011146496815286677
2018-04-24,635,635,622,626,18189,0.008051529790660261
2018-04-25,622,625,622,626,18207,0.0
2018-04-26,624,629,624,629,12469,0.004792332268370503
2018-04-27,624,629,624,629,2440,0.0
2018-04-30,624,629,624,629,5240,0.0
2018-05-02,632,632,624,628,1346,-0.0015898251192368873
2018-05-03,627,627,624,626,27442,-0.0031847133757961776
2018-05-04,627,627,624,628,5537,0.0031948881789136685
2018-05-08,624,627,624,626,2023,-0.0031847133757961776
2018-05-09,627,627,622,626,3076,0.0
2018-05-10,628,636,625,625,9012,-0.0015974440894568342
2018-05-11,625,639,624,637,6895,0.019200000000000106
2018-05-14,635,635,626,634,155,-0.004709576138147598
2018-05-15,634,634,626,631,27469,-0.004731861198738141
2018-05-16,635,635,632,634,2326,0.004754358161648264
2018-05-17,625,633,624,629,2842,-0.007886435331230235
2018-05-18,630,631,624,629,5666,0.0
2018-05-21,629,629,625,629,4743,0.0
2018-05-23,629,632,626,631,15335,0.0031796502384737746
2018-05-24,631,632,626,631,5021,0.0
2018-05-25,632,632,626,631,5837,0.0
2018-05-28,633,633,625,629,47859,-0.0031695721077654726
2018-05-29,631,631,625,629,31984,0.0
2018-05-30,634,636,628,632,49047,0.004769475357710551
2018-05-31,636,636,629,636,18402,0.006329113924050667
2018-06-01,636,636,633,637,30827,0.0015723270440251014
2018-06-04,636,638,629,637,184579,0.0
2018-06-05,638,638,630,637,14160,0.0
2018-06-07,638,645,632,642,24647,0.007849293563579218
2018-06-08,630,636,629,637,46108,-0.007788161993769416
2018-06-11,636,640,629,640,2839,0.0047095761381474865
2018-06-12,629,643,629,636,8247,-0.006249999999999978
2018-06-14,640,640,634,636,398,0.0
2018-06-15,635,641,635,640,7222,0.0062893081761006275
2018-06-18,634,639,631,632,1825,-0.012499999999999956
2018-06-19,640,640,630,632,10919,0.0
2018-06-20,641,641,631,639,29,0.011075949367088667
2018-06-21,641,641,638,640,4038,0.0015649452269170805
2018-06-22,640,640,638,639,4788,-0.0015625000000000222
2018-06-25,637,641,637,642,4476,0.0046948356807512415
2018-06-26,645,645,631,642,245,0.0
2018-06-27,642,642,629,640,13158,-0.0031152647975077885
2018-06-28,640,641,640,642,16483,0.0031250000000000444
2018-06-29,644,644,631,643,5915,0.0015576323987538387
2018-07-02,644,644,635,643,1604,0.0
2018-07-03,628,642,628,643,5,0.0
2018-07-04,631,642,631,643,5,0.0
2018-07-05,639,643,632,636,33228,-0.010886469673405896
2018-07-06,641,641,641,642,2,0.009433962264151052
2018-07-09,635,641,635,642,35933,0.0
2018-07-10,635,642,635,640,3085,-0.0031152647975077885
2018-07-11,643,643,640,642,23643,0.0031250000000000444
2018-07-12,643,643,637,642,39620,0.0
2018-07-13,642,642,636,640,64109,-0.0031152647975077885
2018-07-16,640,641,635,640,51019,0.0
2018-07-17,637,638,637,639,48963,-0.0015625000000000222
2018-07-18,641,641,638,639,5252,0.0
2018-07-19,638,638,638,639,5084,0.0
2018-07-20,636,636,636,637,4788,-0.003129890453834161
2018-07-23,643,643,638,639,7516,0.0031397174254317317
2018-07-24,638,645,638,640,3312,0.0015649452269170805
2018-07-25,645,645,640,645,32431,0.0078125
2018-07-26,645,645,645,645,0,0.0
2018-07-27,647,647,638,643,66769,-0.0031007751937984773
2018-07-30,641,642,639,643,16594,0.0
2018-07-31,639,645,639,646,13566,0.004665629860031162
2018-08-01,639,645,639,646,320,0.0
2018-08-02,643,645,641,645,19215,-0.001547987616099089
2018-08-03,644,644,640,640,48774,-0.007751937984496138
2018-08-06,648,648,638,645,5825,0.0078125
2018-08-07,643,643,641,642,9890,-0.0046511627906976605
2018-08-08,645,645,641,645,173,0.004672897196261738
2018-08-09,644,649,644,648,7963,0.0046511627906977715
2018-08-10,641,647,640,648,32,0.0
2018-08-13,647,647,640,648,3232,0.0
2018-08-14,650,650,640,650,8,0.0030864197530864335
2018-08-16,641,647,641,648,5,-0.003076923076923088
2018-08-17,641,647,641,648,9588,0.0
2018-08-20,647,647,647,648,6383,0.0
2018-08-21,650,650,643,650,15785,0.0030864197530864335
2018-08-22,646,650,646,650,3675,0.0
2018-08-23,645,650,645,650,9261,0.0
2018-08-24,649,651,644,651,4365,0.0015384615384614886
2018-08-27,654,654,650,650,7792,-0.001536098310291889
2018-08-28,649,652,649,651,8280,0.0015384615384614886
2018-08-29,652,652,647,651,4770,0.0
2018-08-30,654,654,648,653,8616,0.003072196620583778
2018-08-31,652,654,649,653,3573,0.0
2018-09-03,654,654,649,654,1052,0.0015313935681469104
2018-09-04,652,656,652,656,16594,0.003058103975535076
2018-09-05,656,661,656,661,40214,0.007621951219512146
2018-09-06,651,663,651,662,1705,0.001512859304084735
2018-09-07,663,663,647,648,35987,-0.02114803625377648
2018-09-10,651,651,648,650,168377,0.0030864197530864335
2018-09-11,649,652,649,653,92,0.004615384615384688
2018-09-12,649,661,649,662,1966,0.013782542113323082
2018-09-13,649,656,649,657,3807,-0.007552870090634434
2018-09-14,651,651,650,650,4179,-0.010654490106544956
2018-09-17,650,650,650,650,143,0.0
2018-09-18,650,650,650,650,2455,0.0
2018-09-19,648,656,648,653,4563,0.004615384615384688
2018-09-20,655,656,655,657,2662,0.006125574272588086
2018-09-21,667,667,648,650,3372,-0.010654490106544956
2018-09-27,650,656,649,657,1019,0.010769230769230864
2018-09-28,649,656,649,657,1735,0.0
2018-10-01,656,656,654,654,2872,-0.004566210045662156
2018-10-02,663,663,649,654,68,0.0
2018-10-04,656,656,655,657,2875,0.004587155963302836
2018-10-05,649,656,649,657,86,0.0
2018-10-08,656,656,656,657,0,0.0
2018-10-10,650,651,650,650,35930,-0.010654490106544956
2018-10-11,647,656,647,657,16981,0.010769230769230864
2018-10-12,656,656,656,656,29,-0.0015220700152207556
2018-10-15,660,660,651,651,6554,-0.007621951219512146
2018-10-16,662,662,656,657,5,0.009216589861751112
2018-10-17,655,655,654,654,89,-0.004566210045662156
2018-10-18,663,663,663,664,2,0.015290519877675823
2018-10-19,651,663,651,664,5,0.0
2018-10-22,656,656,650,657,8,-0.010542168674698815
2018-10-23,663,663,663,664,2,0.010654490106544845
2018-10-24,661,661,661,661,0,-0.004518072289156572
2018-10-25,651,656,644,654,7522,-0.010590015128593033
2018-10-26,653,653,646,650,20732,-0.006116207951070374
2018-10-29,647,651,641,651,20777,0.0015384615384614886
2018-10-30,649,663,648,664,8532,0.019969278033794113
2018-10-31,645,656,645,656,31918,-0.012048192771084376
2018-11-01,654,654,654,654,7978,-0.0030487804878048808
2018-11-02,643,657,643,656,21388,0.003058103975535076
2018-11-05,658,658,658,659,2,0.004573170731707377
2018-11-06,641,653,641,651,19296,-0.012139605462822445
2018-11-07,650,656,650,657,2860,0.009216589861751112
2018-11-08,654,654,654,654,0,-0.004566210045662156
2018-11-09,654,654,645,653,1984,-0.001529051987767538
2018-11-12,643,654,643,650,3052,-0.004594180704441064
2018-11-13,653,653,649,651,1622,0.0015384615384614886
2018-11-14,651,651,651,651,242,0.0
2018-11-15,653,653,651,651,1280,0.0
2018-11-16,654,654,654,654,2,0.004608294930875667
2018-11-19,656,656,652,653,1310,-0.001529051987767538
2018-11-20,652,652,652,653,2,0.0
2018-11-21,652,652,652,653,1274,0.0
2018-11-22,650,650,650,650,0,-0.004594180704441064
2018-11-23,650,650,650,650,956,0.0
2018-11-26,641,653,641,646,17,-0.006153846153846176
2018-11-27,642,645,638,646,13218,0.0
2018-11-28,638,645,638,646,1565,0.0
2018-11-29,645,645,645,646,635,0.0
2018-11-30,652,652,643,651,2950,0.007739938080495445
2018-12-03,652,652,643,653,6772,0.003072196620583778
2018-12-04,654,654,651,653,323,0.0
2018-12-05,651,651,651,651,0,-0.003062787136294043
2018-12-06,653,653,641,651,8301,0.0
2018-12-07,651,651,651,651,317,0.0
2018-12-10,656,656,656,656,2,0.007680491551459223
2018-12-11,648,654,641,653,40283,-0.004573170731707266
2018-12-12,653,653,650,650,635,-0.004594180704441064
2018-12-13,647,647,645,646,635,-0.006153846153846176
2018-12-14,645,645,645,646,0,0.0
2018-12-17,645,645,645,645,0,-0.001547987616099089
2018-12-18,638,638,638,639,12304,-0.009302325581395321
2018-12-19,645,645,633,646,1604,0.010954616588419341
2018-12-20,635,645,635,645,3199,-0.001547987616099089
2018-12-21,635,645,635,645,2821,0.0
2018-12-24,645,645,645,646,2,0.0015503875968991832
2018-12-26,642,642,642,643,0,-0.004643962848297267
2018-12-27,641,642,641,643,125,0.0
2018-12-28,635,645,635,646,19757,0.004665629860031162
2019-01-02,635,645,635,645,32,-0.001547987616099089
2019-01-03,644,645,644,646,35,0.0015503875968991832
2019-01-04,645,645,645,645,0,-0.001547987616099089
2019-01-07,645,645,641,646,644,0.0015503875968991832
2019-01-08,645,645,645,646,0,0.0
2019-01-09,645,645,645,646,0,0.0
2019-01-10,645,645,645,646,0,0.0
2019-01-11,645,645,635,646,11,0.0
2019-01-14,635,645,635,646,5,0.0
2019-01-15,632,645,632,645,3193,-0.001547987616099089
2019-01-16,641,645,641,645,3570,0.0
2019-01-17,645,645,645,645,0,0.0
2019-01-18,645,645,645,646,2,0.0015503875968991832
2019-01-21,645,645,645,645,0,-0.001547987616099089
2019-01-22,641,645,641,645,6386,0.0
2019-01-23,645,645,645,645,0,0.0
2019-01-24,633,645,633,646,1166,0.0015503875968991832
2019-01-25,635,645,635,646,812,0.0
2019-01-28,645,645,645,646,1271,0.0
2019-01-29,641,645,641,646,1511,0.0
2019-01-30,641,645,638,646,4350,0.0
2019-01-31,641,655,641,646,17353,0.0
2019-02-01,639,645,639,646,3834,0.0
2019-02-07,645,645,645,646,3190,0.0
2019-02-08,645,645,645,646,12772,0.0
2019-02-11,645,645,645,646,6383,0.0
2019-02-12,646,670,640,664,3861,0.02786377708978338
2019-02-13,651,651,641,651,2602,-0.01957831325301207
2019-02-14,651,651,651,651,8,0.0
2019-02-15,651,651,651,651,0,0.0
2019-02-18,650,650,650,650,6419,-0.001536098310291889
2019-02-19,651,651,651,651,2,0.0015384615384614886
2019-02-20,651,651,651,651,0,0.0
2019-02-21,645,645,645,646,14,-0.007680491551459334
2019-02-22,650,650,650,650,2,0.006191950464396356
2019-02-25,650,650,650,650,0,0.0
2019-02-26,638,647,638,648,671,-0.003076923076923088
2019-02-27,636,647,636,648,1622,0.0
2019-02-28,649,656,649,657,158,0.01388888888888884
2019-03-04,638,650,637,650,31921,-0.010654490106544956
2019-03-05,650,650,648,650,17,0.0
2019-03-06,640,651,640,651,272,0.0015384615384614886
2019-03-07,651,651,651,651,0,0.0
2019-03-08,650,650,650,650,0,-0.001536098310291889
2019-03-11,650,650,650,650,2305,0.0
2019-03-12,651,651,651,651,15074,0.0015384615384614886
2019-03-13,644,651,644,651,15356,0.0
2019-03-14,651,651,651,651,0,0.0
2019-03-15,650,650,650,650,0,-0.001536098310291889
2019-03-18,651,651,651,651,2,0.0015384615384614886
