Date,Open,High,Low,Close,Volume,Change
2013-10-29,789,789,789,789,2076,
2013-10-30,789,789,789,789,3634,0.0
2013-10-31,770,770,770,770,5194,-0.02408111533586821
2013-11-01,770,770,770,770,2596,0.0
2013-11-04,770,770,770,770,2596,0.0
2013-11-05,0,0,0,763,0,-0.009090909090909038
2013-11-06,0,0,0,751,0,-0.01572739187418082
2013-11-07,0,0,0,751,0,0.0
2013-11-08,749,749,749,749,2076,-0.0026631158455392434
2013-11-11,0,0,0,731,0,-0.024032042723631464
2013-11-12,0,0,0,731,0,0.0
2013-11-13,0,0,0,731,0,0.0
2013-11-14,731,731,731,731,2596,0.0
2013-11-15,0,0,0,711,0,-0.02735978112175108
2013-11-18,655,655,655,655,518,-0.07876230661040784
2013-11-19,0,0,0,655,0,0.0
2013-11-20,0,0,0,655,0,0.0
2013-11-21,616,616,616,616,1556,-0.05954198473282446
2013-11-22,0,0,0,612,0,-0.00649350649350644
2013-11-25,0,0,0,612,0,0.0
2013-11-26,0,0,0,612,0,0.0
2013-11-27,0,0,0,612,0,0.0
2013-11-28,0,0,0,612,0,0.0
2013-11-29,0,0,0,612,0,0.0
2013-12-02,0,0,0,612,0,0.0
2013-12-03,0,0,0,612,0,0.0
2013-12-04,0,0,0,612,0,0.0
2013-12-05,0,0,0,612,0,0.0
2013-12-06,0,0,0,568,0,-0.07189542483660127
2013-12-09,0,0,0,635,0,0.11795774647887325
2013-12-10,0,0,0,693,0,0.09133858267716533
2013-12-11,693,693,693,693,2596,0.0
2013-12-12,0,0,0,693,0,0.0
2013-12-13,0,0,0,693,0,0.0
2013-12-16,0,0,0,693,0,0.0
2013-12-17,0,0,0,693,0,0.0
2013-12-18,0,0,0,693,0,0.0
2013-12-19,0,0,0,712,0,0.02741702741702734
2013-12-20,0,0,0,712,0,0.0
2013-12-23,0,0,0,712,0,0.0
2013-12-24,0,0,0,712,0,0.0
2013-12-26,712,712,712,712,2596,0.0
2013-12-27,0,0,0,712,0,0.0
2013-12-30,0,0,0,712,0,0.0
2014-01-02,0,0,0,693,0,-0.026685393258427004
2014-01-03,693,693,693,693,2596,0.0
2014-01-06,693,693,693,693,2596,0.0
2014-01-07,712,712,712,712,2596,0.02741702741702734
2014-01-08,0,0,0,712,0,0.0
2014-01-09,693,693,693,693,1558,-0.026685393258427004
2014-01-10,712,712,712,712,2596,0.02741702741702734
2014-01-13,0,0,0,693,0,-0.026685393258427004
2014-01-14,674,674,674,674,2596,-0.02741702741702745
2014-01-15,655,655,655,655,1556,-0.028189910979228516
2014-01-16,635,635,635,635,2076,-0.03053435114503822
2014-01-17,0,0,0,655,0,0.03149606299212593
2014-01-20,0,0,0,655,0,0.0
2014-01-21,0,0,0,655,0,0.0
2014-01-22,0,0,0,655,0,0.0
2014-01-23,0,0,0,655,0,0.0
2014-01-24,0,0,0,655,0,0.0
2014-01-27,0,0,0,655,0,0.0
2014-01-28,0,0,0,653,0,-0.003053435114503844
2014-01-29,616,616,616,616,2594,-0.05666156202143946
2014-02-03,577,577,577,577,2596,-0.06331168831168832
2014-02-04,577,577,577,577,2596,0.0
2014-02-05,0,0,0,597,0,0.03466204506065851
2014-02-06,0,0,0,597,0,0.0
2014-02-07,0,0,0,597,0,0.0
2014-02-10,0,0,0,597,0,0.0
2014-02-11,0,0,0,597,0,0.0
