Date,Open,High,Low,Close,Volume,Change
2000-04-27,21755,21970,21080,21165,2137,
2000-04-28,21170,21805,20330,20325,1178,-0.03968816442239542
2000-05-02,20450,22345,20450,22345,2035,0.09938499384993849
2000-05-03,22350,22350,21084,21295,2874,-0.046990378160662316
2000-05-04,21125,21925,21125,21545,818,0.01173984503404557
2000-05-08,22560,22770,21505,21925,3733,0.017637502900905044
2000-05-09,21759,21930,21549,21885,697,-0.0018244013683009763
2000-05-10,21505,22135,21505,21755,1959,-0.005940141649531605
2000-05-12,21505,21925,21505,21840,951,0.003907147782119091
2000-05-15,21125,23190,21125,23190,1228,0.061813186813186816
2000-05-16,22345,22770,21250,21250,1133,-0.08365674859853389
2000-05-17,22345,22345,21250,21335,2042,0.0040000000000000036
2000-05-18,21595,21595,20709,21505,2207,0.007968127490039834
2000-05-19,21084,22690,18304,22645,2025,0.0530109276912345
2000-05-22,22100,22100,20159,21210,1501,-0.06336939721792889
2000-05-23,21000,21000,19015,19310,2305,-0.0895803866100896
2000-05-24,17504,19610,17504,19565,1368,0.013205592957017176
2000-05-25,19355,21080,19355,20870,4311,0.06670074111934587
2000-05-26,19060,21460,19060,21460,1299,0.028270244369908992
2000-05-29,19865,21720,19484,19820,1031,-0.07642124883504198
2000-05-30,18599,21085,18599,19820,725,0.0
2000-05-31,21045,21085,20664,21000,848,0.05953582240161448
2000-06-01,20325,20575,20030,20575,341,-0.020238095238095277
2000-06-02,19440,21210,19440,20955,2163,0.018469015795868682
2000-06-05,20955,22095,20195,21925,6631,0.046289668336912504
2000-06-07,23194,24250,21929,23530,6021,0.07320410490307871
2000-06-08,23195,23830,21214,21800,2245,-0.07352316192095198
2000-06-09,21545,21885,21080,21250,3526,-0.025229357798165153
2000-06-12,20329,21930,20329,21715,1192,0.021882352941176464
2000-06-13,22050,22050,21165,21165,1328,-0.025328114206769503
2000-06-14,21165,21925,19820,21545,749,0.017954169619655014
2000-06-15,20665,21215,19950,19945,1105,-0.07426317010907402
2000-06-16,19609,20790,19609,20030,972,0.0042617197292553755
2000-06-19,18599,20495,18599,20325,1413,0.014727908137793344
2000-06-20,20454,21510,20199,21000,3815,0.03321033210332103
2000-06-21,20660,21715,20660,21080,1257,0.003809523809523707
2000-06-22,21044,21510,20494,21505,2471,0.02016129032258074
2000-06-23,21505,21505,19820,20785,1335,-0.03348058591025338
2000-06-26,21084,23870,20034,22770,7038,0.09550156362761597
2000-06-27,23400,24455,21970,22345,3415,-0.018664909969257848
2000-06-28,21335,23065,21335,21925,2907,-0.018796151264264926
2000-06-29,22810,22810,21165,22010,1238,0.0038768529076396163
2000-06-30,21840,24875,21840,24875,6546,0.13016810540663326
2000-07-03,24800,25515,24040,24035,5608,-0.03376884422110549
2000-07-04,24035,24035,23190,23190,1695,-0.0351570626170169
2000-07-05,22390,23610,21885,23610,2739,0.018111254851228997
2000-07-06,21974,25305,21974,22770,2874,-0.03557814485387545
2000-07-07,22725,23400,22220,23190,2644,0.01844532279314892
2000-07-10,23610,24455,23190,23190,2836,0.0
2000-07-11,22430,23990,21925,22345,1852,-0.03643811987925827
2000-07-12,22265,22430,21800,22220,1128,-0.00559409263817412
2000-07-13,21975,22015,21634,21675,1244,-0.02452745274527457
2000-07-14,21719,22270,21299,21800,1403,0.005767012687427853
2000-07-18,21125,22095,21125,22010,628,0.009633027522935711
2000-07-19,21925,21925,20450,21080,1178,-0.04225352112676062
2000-07-20,21080,21080,20660,21040,403,-0.00189753320683117
2000-07-21,20325,21970,20325,20870,986,-0.008079847908745275
2000-07-24,20660,21000,20449,20450,1031,-0.020124580737901243
2000-07-25,21000,21000,20240,20660,958,0.010268948655256738
2000-07-26,20664,21255,20454,21000,334,0.01645692158760892
2000-07-27,21165,21420,20429,20470,588,-0.02523809523809528
2000-07-28,20830,20830,20449,20450,355,-0.0009770395701026446
2000-07-31,20280,20280,19860,20195,524,-0.012469437652811721
2000-08-01,20159,20835,19864,20830,1679,0.031443426590740176
2000-08-02,20830,20915,20410,20555,59,-0.013202112337974081
2000-08-03,20555,20640,20240,20365,232,-0.009243493067380149
2000-08-04,19444,20330,19444,20240,1017,-0.006137981831573769
2000-08-07,20450,20660,20450,20660,725,0.02075098814229248
2000-08-08,20244,20665,20074,20620,621,-0.0019361084220715918
2000-08-09,20575,20575,19185,20070,692,-0.02667313288069839
2000-08-10,20195,20365,19900,20280,1036,0.010463378176382765
2000-08-11,19880,21250,19880,21250,898,0.04783037475345164
2000-08-14,21929,24420,21084,24415,13740,0.14894117647058813
2000-08-16,28004,28045,27494,28040,21138,0.14847429858693428
2000-08-17,24460,27790,23869,24245,23090,-0.13534236804564903
2000-08-18,24540,25680,22600,23315,10421,-0.03835842441740567
2000-08-21,21970,23530,21970,22345,8719,-0.04160411752090931
2000-08-22,22345,22645,21800,22220,9669,-0.00559409263817412
2000-08-23,22269,23195,22269,22685,7812,0.020927092709270845
2000-08-24,22810,22810,21630,22515,4382,-0.007493938726030436
2000-08-25,21974,25260,21719,24330,11238,0.08061292471685544
2000-08-28,24500,27955,22855,27955,43610,0.14899301274147136
2000-08-29,27960,29940,26904,27030,27570,-0.03308889286353067
2000-08-30,27035,27410,24879,25090,11413,-0.07177210506844245
2000-08-31,26140,26140,23610,24285,5104,-0.03208449581506578
2000-09-01,23659,24840,23659,23825,5333,-0.01894173358039941
2000-09-04,23825,26354,23825,25930,10862,0.0883525708289612
2000-09-05,26185,26185,24075,24455,4442,-0.05688391824141925
2000-09-06,24459,25770,24459,24710,6502,0.010427315477407495
2000-09-07,25510,28375,24750,28375,25437,0.14832051800890333
2000-09-08,29515,31540,27405,28375,61147,0.0
2000-09-14,26860,27109,25425,26140,8967,-0.07876651982378857
2000-09-15,26865,29100,25724,26355,14050,0.008224942616679387
2000-09-18,25345,25980,22434,23150,8885,-0.12160880288370324
2000-09-19,23660,24420,22564,23655,5250,0.021814254859611193
2000-09-20,24040,24670,23830,23825,6900,0.007186641302050267
2000-09-21,23830,23830,21634,22980,6000,-0.03546694648478488
2000-09-22,21970,23105,21125,21250,4760,-0.07528285465622275
2000-09-25,23190,23190,19820,22345,2744,0.051529411764705824
2000-09-26,22434,23365,21929,23150,3825,0.03602595658984109
2000-09-27,21929,23615,21929,23065,4961,-0.003671706263498886
2000-09-28,22349,23070,22139,23065,2724,0.0
2000-09-29,23239,25095,22689,25090,5987,0.08779536093648388
2000-10-02,24875,24875,23275,23695,3868,-0.055599840573933856
2000-10-04,23610,24370,23065,23275,3697,-0.017725258493353047
2000-10-05,24455,24455,23190,23275,6543,0.0
2000-10-06,23400,23610,22475,23020,2509,-0.010955961331901132
2000-10-09,23450,23450,22349,22475,2630,-0.023675065160729813
