Date,Open,High,Low,Close,Volume,Change
2014-05-27,10371,10731,8838,8838,5112945,
2014-05-28,8639,9244,8594,9199,2602142,0.04084634532699716
2014-05-29,9153,9288,8838,8838,955228,-0.039243396021306665
2014-05-30,9108,10146,9018,9605,5326588,0.08678434034849514
2014-06-02,9785,10957,9244,10552,2873009,0.09859448204060395
2014-06-03,10371,11273,9965,10146,2198311,-0.038476118271417725
2014-06-05,10326,10506,9920,10236,913894,0.008870490833826183
2014-06-09,10326,10507,9009,9064,1220958,-0.11449785072293861
2014-06-10,9108,9920,8892,9605,819888,0.05968667255075033
2014-06-11,9469,9604,9243,9469,536859,-0.01415929203539823
2014-06-12,9514,9739,9288,9334,379189,-0.014257049318829873
2014-06-13,9379,9424,9063,9199,373298,-0.014463252624812517
2014-06-16,9334,9379,9009,9244,237729,0.0048918360691379
2014-06-17,9199,9199,8964,9019,279979,-0.024340112505408906
2014-06-18,9153,9739,9108,9469,796518,0.04989466681450261
2014-06-19,9559,9650,9289,9605,307296,0.014362657091562037
2014-06-20,9559,9964,9423,9469,458223,-0.01415929203539823
2014-06-23,9650,9740,9018,9064,368931,-0.04277114795648962
2014-06-24,9198,9469,9108,9289,314181,0.02482347749338043
2014-06-25,9334,9379,9108,9199,185320,-0.009688879319625365
2014-06-26,9334,10281,9334,9560,1993802,0.039243396021306554
2014-06-27,9018,9334,9018,9109,1527679,-0.04717573221757321
2014-06-30,9109,9199,9018,9109,690782,0.0
2014-07-01,9154,9424,8919,9109,1102124,0.0
2014-07-02,9154,9199,8991,9109,346443,0.0
2014-07-03,9108,9424,9009,9334,743002,0.024700845317817466
2014-07-04,9334,9830,9334,9650,1213168,0.03385472466252404
2014-07-07,9650,9785,9469,9560,417057,-0.00932642487046631
2014-07-08,9605,10011,9560,10011,937807,0.04717573221757321
2014-07-09,9920,10191,9785,10056,512674,0.0044950554390170705
2014-07-10,10011,10146,9740,10011,757651,-0.004474940334128874
2014-07-11,9965,9965,9469,9650,1657594,-0.03606033363300365
2014-07-14,9784,10326,9694,10326,1412926,0.07005181347150269
2014-07-15,10281,10416,10100,10191,575871,-0.013073794305636266
2014-07-16,10371,10371,9649,9830,765859,-0.035423412815229094
2014-07-17,9830,9920,9694,9785,413197,-0.004577822990844305
2014-07-18,9650,9785,9379,9515,504074,-0.02759325498211551
2014-07-21,9559,9694,9378,9424,302087,-0.009563846558066191
2014-07-22,9514,9604,9378,9424,235711,0.0
2014-07-23,9469,9559,9108,9154,589750,-0.02865025466893034
2014-07-24,9154,9199,9018,9154,354100,0.0
2014-07-25,9199,9244,9063,9199,142358,0.004915883766659412
2014-07-28,9244,9514,9109,9109,461710,-0.009783672138275912
2014-07-29,9244,9334,7846,8117,1194466,-0.10890328246788894
2014-07-30,8116,8116,7313,7575,864585,-0.06677343846248618
2014-07-31,7485,7936,7485,7729,435359,0.020330033003300274
2014-08-01,7602,7981,7584,7747,188579,0.002328891189028237
2014-08-04,7828,8225,7783,8180,305496,0.05589260358848591
2014-08-05,8179,8242,7945,7945,221579,-0.028728606356968167
2014-08-06,7945,8207,7909,8135,174851,0.023914411579609718
2014-08-07,8107,8143,7665,7783,249635,-0.04326982175783656
2014-08-08,7737,8017,7575,7972,185293,0.02428369523320062
2014-08-11,8053,8062,7782,7792,126707,-0.022579026593075757
2014-08-12,7791,7936,7620,7819,133143,0.003465092402464176
2014-08-13,7936,7954,7728,7747,144219,-0.009208338662233029
2014-08-14,7827,7936,7665,7900,217535,0.019749580482767426
2014-08-18,7936,7936,7746,7792,131477,-0.013670886075949351
2014-08-19,7818,7818,7457,7530,270734,-0.033624229979466125
2014-08-20,7494,7494,6818,6818,1106956,-0.09455511288180607
2014-08-21,6827,6926,6764,6764,237743,-0.007920211205632133
2014-08-22,6772,6826,6438,6556,575157,-0.030751034890597273
2014-08-25,6619,7412,6619,7079,1190963,0.07977425259304449
2014-08-26,7485,7485,7223,7350,519852,0.03828224325469698
2014-08-27,7305,7305,7061,7197,392797,-0.020816326530612272
2014-08-28,7223,7539,7133,7422,325913,0.03126302626094213
2014-08-29,7368,7476,7214,7278,185405,-0.019401778496362154
2014-09-01,7340,7349,7088,7088,168947,-0.026106073097004634
2014-09-02,7151,7332,6980,7269,165924,0.025536117381489865
2014-09-03,7287,8026,7287,7738,961979,0.06452056679048002
2014-09-04,7692,7728,7421,7512,377609,-0.029206513310933047
2014-09-05,7520,7656,7502,7530,120878,0.0023961661341853624
2014-09-11,7530,7593,7403,7440,109886,-0.01195219123505975
2014-09-12,7485,7485,7161,7161,224849,-0.03749999999999998
2014-09-15,7169,7214,6925,6989,173995,-0.024018991760927255
2014-09-16,6944,7377,6944,7377,146212,0.05551581055945065
2014-09-17,7376,7503,7232,7431,216374,0.0073200488003253295
2014-09-18,7449,8062,7286,7909,927580,0.06432512447853589
2014-09-19,7954,8342,7710,8288,822300,0.04792009103552908
2014-09-22,8287,8287,8008,8008,215310,-0.03378378378378377
2014-09-23,8007,8197,7899,8035,245807,0.003371628371628299
2014-09-24,7989,8098,7809,8035,194415,0.0
2014-09-25,8126,8522,8062,8063,544351,0.003484754200373308
2014-09-26,7981,8189,7828,8063,218675,0.0
2014-09-29,8296,8495,8053,8459,633002,0.049113233287858105
2014-09-30,8513,8631,8333,8595,442221,0.01607755053788873
2014-10-01,8585,8594,8251,8360,243294,-0.02734147760325767
2014-10-02,8296,8404,7989,8026,277646,-0.03995215311004785
2014-10-06,8107,8144,7828,8144,136482,0.014702217792175398
2014-10-07,8144,8468,7963,8081,112618,-0.007735756385068737
2014-10-08,8089,8216,7963,8198,114255,0.014478406137854227
2014-10-10,8206,8287,7872,8053,150789,-0.01768724079043671
2014-10-13,8053,8053,7710,7819,161429,-0.029057494101577097
2014-10-14,7819,8189,7819,8189,137187,0.047320629236475176
2014-10-15,8162,8279,8035,8117,172120,-0.00879228232995477
