Date,Open,High,Low,Close,Volume,Change
2004-12-17,2401,2687,2115,2125,4044961,
2004-12-20,2076,2155,1964,2033,782252,-0.043294117647058816
2004-12-21,2029,2038,1791,1791,876683,-0.11903590752582394
2004-12-22,1790,1932,1790,1844,607093,0.02959240647682848
2004-12-23,1822,1919,1772,1835,328933,-0.0048806941431670525
2004-12-24,1831,1872,1816,1835,227843,0.0
2004-12-27,1798,1848,1798,1814,239683,-0.011444141689373244
2004-12-28,1807,1825,1757,1805,335174,-0.004961411245865466
2004-12-29,1742,1742,1668,1714,212150,-0.05041551246537401
2004-12-30,1689,1710,1639,1687,161324,-0.015752625437572942
2005-01-03,1669,1698,1660,1672,194125,-0.00889152341434496
2005-01-04,1672,1743,1672,1720,635826,0.028708133971291794
2005-01-05,1728,1781,1699,1779,550032,0.034302325581395454
2005-01-06,1795,1981,1745,1850,1391984,0.03991006183249013
2005-01-07,1882,2071,1840,2071,1500179,0.11945945945945935
2005-01-10,2168,2198,2038,2098,902275,0.013037180106228785
2005-01-11,2133,2330,2003,2326,1097088,0.1086749285033366
2005-01-12,2274,2389,2245,2263,621687,-0.02708512467755808
2005-01-13,2255,2408,2252,2391,683855,0.05656208572691113
2005-01-14,2327,2427,2283,2287,640331,-0.043496445002091155
2005-01-17,2336,2362,2141,2352,850191,0.028421512898994417
2005-01-18,2504,2554,2365,2553,1287784,0.0854591836734695
2005-01-19,2614,2614,2487,2524,627725,-0.011359185272228789
2005-01-20,2528,2821,2446,2639,1335986,0.045562599049128405
2005-01-21,2641,2838,2641,2763,1054624,0.046987495263357326
2005-01-24,2854,2854,2680,2754,975583,-0.0032573289902280145
2005-01-25,2774,2774,2508,2562,547248,-0.06971677559912859
2005-01-26,2623,2863,2609,2866,1325119,0.11865729898516775
2005-01-27,2954,3187,2836,2999,1338287,0.046406140963014764
2005-01-28,3039,3296,2891,2996,1451823,-0.0010003334444814715
2005-01-31,3122,3299,3066,3236,1414710,0.08010680907877177
2005-02-01,3342,3626,3292,3626,1081845,0.12051915945611857
2005-02-02,3788,3900,3425,3644,1628301,0.004964147821290732
2005-02-03,3533,3642,3426,3469,560007,-0.04802414928649834
2005-02-04,3444,3713,3444,3605,575275,0.03920438166618623
2005-02-07,3605,3744,3579,3644,594735,0.010818307905686497
2005-02-11,3607,3671,3373,3543,740330,-0.02771679473106481
2005-02-14,3581,3628,3460,3537,723836,-0.0016934801016088574
2005-02-15,3586,3883,3527,3830,1164979,0.08283856375459431
2005-02-16,3892,3974,3576,3718,609312,-0.029242819843341983
2005-02-17,3823,3823,3561,3626,472784,-0.024744486282947786
2005-02-18,3560,3669,3534,3534,354597,-0.025372311086596766
2005-02-21,3530,3601,3335,3605,347857,0.020090548953027643
2005-02-22,3640,3883,3174,3186,1742192,-0.11622746185852983
2005-02-23,3116,3181,3001,3097,223995,-0.0279347143753923
2005-02-24,3099,3327,2964,2967,631506,-0.041976105908944183
2005-02-25,2974,3110,2882,3070,414608,0.034715200539265245
2005-02-28,3117,3176,3055,3061,211514,-0.002931596091205191
2005-03-02,3070,3168,2866,3168,357608,0.03495589676576283
2005-03-03,3179,3279,3114,3254,259114,0.027146464646464752
2005-03-04,3283,3560,3283,3478,608710,0.06883835279655814
2005-03-07,3560,3569,3348,3478,404593,0.0
2005-03-08,3495,3495,3078,3192,292731,-0.08223116733755031
2005-03-09,3049,3288,3049,3177,160970,-0.0046992481203007586
2005-03-10,3123,3288,3114,3138,196091,-0.01227573182247399
2005-03-11,3211,3509,3140,3481,525944,0.10930528999362643
2005-03-14,3646,3894,3601,3898,634551,0.11979316288422859
2005-03-15,4234,4352,3992,4069,2085366,0.04386865059004608
2005-03-16,4130,4251,3858,4226,1358779,0.03858441877611196
2005-03-17,4140,4160,3718,3721,879170,-0.11949834358731659
2005-03-18,3714,3738,3386,3626,709158,-0.025530771298038157
2005-03-21,3621,3807,3521,3744,618140,0.032542746828461144
2005-03-22,3722,3740,3557,3561,404256,-0.04887820512820518
2005-03-23,3516,3619,3173,3534,478965,-0.0075821398483572056
2005-03-24,3604,3704,3370,3481,638130,-0.014997170345217858
2005-03-25,3441,3447,3170,3375,408415,-0.030451019821890246
2005-03-28,3477,3743,3454,3599,628612,0.06637037037037041
2005-03-29,3556,3582,3323,3327,307856,-0.07557654904140043
2005-03-30,3276,3421,3217,3339,183528,0.0036068530207393756
2005-03-31,3372,3419,3289,3319,236445,-0.005989817310572021
2005-04-01,3321,3682,3321,3626,479384,0.09249774028321789
2005-04-04,3613,3743,3530,3744,301279,0.032542746828461144
2005-04-06,3808,4219,3649,3966,1393633,0.059294871794871806
2005-04-07,3897,4009,3690,3836,350051,-0.03277861825516892
2005-04-08,3854,3904,3659,3792,275008,-0.01147028154327423
2005-04-11,3705,3802,3705,3735,130462,-0.015031645569620222
2005-04-12,3714,3764,3614,3629,147059,-0.02838018741633197
2005-04-13,3648,3686,3556,3602,139108,-0.00744006613392123
2005-04-14,3626,3780,3517,3718,292768,0.0322043309272626
2005-04-15,3695,3722,3530,3605,171256,-0.03039268423883812
2005-04-18,3510,3566,3324,3393,226246,-0.05880721220527041
2005-04-19,3400,3483,3400,3449,103757,0.016504568228706162
2005-04-20,3484,3567,3451,3505,106272,0.016236590316033528
2005-04-21,3382,3507,3244,3511,102039,0.0017118402282454426
2005-04-22,3658,3658,3487,3487,71822,-0.006835659356308699
2005-04-25,3439,3539,3418,3537,137062,0.014338973329509619
2005-04-26,3536,3572,3483,3511,124859,-0.0073508623126943284
2005-04-27,3480,3539,3439,3511,94326,0.0
2005-04-28,3524,3560,3438,3502,68069,-0.0025633722586158036
2005-04-29,3291,3460,3291,3460,263479,-0.011993146773272456
2005-05-02,3426,3473,3326,3401,92514,-0.017052023121387316
2005-05-03,3398,3404,3191,3248,247426,-0.044986768597471305
2005-05-04,3197,3318,3197,3274,109583,0.008004926108374333
2005-05-06,3243,3387,3219,3327,143203,0.016188149053145917
2005-05-09,3329,3385,3190,3283,74467,-0.013225127742711118
2005-05-10,3354,3354,3171,3248,86597,-0.010660980810234588
2005-05-11,3167,3208,2963,3079,159875,-0.052032019704433496
2005-05-12,3020,3232,2946,3212,213464,0.04319584280610589
2005-05-13,3164,3217,3102,3192,40155,-0.0062266500622665255
2005-05-16,3139,3210,3002,3005,219899,-0.058583959899749405
2005-05-17,3048,3131,3016,3023,174621,0.005990016638935058
2005-05-18,3029,3079,2973,2988,152735,-0.011577902745616986
2005-05-19,2966,3028,2960,3014,103228,0.008701472556894352
2005-05-20,2983,3080,2983,3070,126111,0.01857996018579966
2005-05-23,3141,3215,3097,3186,203761,0.03778501628664488
2005-05-24,3232,3362,3197,3277,326156,0.02856246076585056
2005-05-25,3345,3427,3280,3292,432111,0.004577357339029531
2005-05-26,3330,3330,3200,3248,104584,-0.013365735115431376
2005-05-27,3298,3298,3185,3248,199634,0.0
2005-05-30,3282,3320,3228,3289,97274,0.012623152709359653
2005-05-31,3234,3305,3199,3209,83896,-0.024323502584372103
2005-06-01,3114,3140,3049,3073,231586,-0.042380803988781524
2005-06-02,3075,3108,3040,3073,180583,0.0
2005-06-03,3018,3125,3018,3129,145229,0.018223234624145768
2005-06-07,3068,3351,3068,3319,456042,0.06072227548737619
2005-06-08,3412,3412,3215,3277,326395,-0.012654413980114465
2005-06-09,3311,3385,3270,3342,287208,0.019835215135795004
2005-06-10,3305,3423,3305,3348,198311,0.0017953321364452268
2005-06-13,3344,3844,3344,3848,2083202,0.1493428912783752
2005-06-14,3850,3873,3380,3537,1010921,-0.08082120582120578
2005-06-15,3542,3640,3430,3599,324038,0.017528979361040475
2005-06-16,3557,3735,3548,3735,568031,0.037788274520700105
2005-06-17,3737,3796,3654,3744,463385,0.002409638554216942
2005-06-20,3770,3779,3522,3579,261996,-0.044070512820512775
2005-06-21,3539,3634,3465,3511,145439,-0.018999720592344227
2005-06-22,3469,3628,3469,3487,361365,-0.006835659356308699
2005-06-23,3511,3673,3511,3585,292437,0.028104387725838897
2005-06-24,3534,3626,3490,3526,136321,-0.01645746164574613
2005-06-27,3469,3620,3449,3520,183924,-0.001701644923425949
2005-06-28,3512,3696,3512,3700,360854,0.051136363636363535
2005-06-29,3780,3780,3647,3718,331644,0.004864864864864815
2005-06-30,3720,3808,3690,3797,447454,0.02124798278644424
2005-07-01,3797,3892,3756,3792,348239,-0.0013168290755859458
2005-07-04,3806,3850,3791,3830,342775,0.010021097046413407
2005-07-05,3808,3849,3713,3774,404970,-0.014621409921671047
2005-07-06,3790,3958,3790,3927,486172,0.04054054054054057
2005-07-07,3936,4219,3936,4134,947434,0.05271199388846437
2005-07-08,4124,4132,3976,4001,393547,-0.03217223028543781
2005-07-11,4113,4161,3974,4037,405263,0.008997750562359519
2005-07-12,4036,4078,3839,3839,384858,-0.049046321525885506
2005-07-13,3794,3877,3779,3812,204292,-0.007033081531648833
2005-07-14,3831,3923,3831,3865,221924,0.013903462749212947
2005-07-15,3853,3906,3829,3886,115816,0.005433376455368677
2005-07-18,3884,3908,3657,3661,286114,-0.05790015440041174
2005-07-19,3648,3757,3595,3741,193970,0.021851953018301007
