Date,Open,High,Low,Close,Volume,Change
2005-12-20,10191,11055,8663,8667,1300864,
2005-12-21,8465,8543,7367,7372,479493,-0.14941733010268832
2005-12-22,7415,7801,7101,7317,469372,-0.0074606619641888194
2005-12-23,7141,8386,7141,7497,678698,0.024600246002460135
2005-12-26,7494,7621,6820,6981,316464,-0.06882753101240491
2005-12-27,6975,7130,6542,6626,208370,-0.0508523134221458
2005-12-28,6624,6782,6505,6683,170495,0.008602475098098417
2005-12-29,6724,6934,6604,6610,171646,-0.010923238066736451
2006-01-02,6622,6780,6600,6737,115653,0.01921331316187591
2006-01-03,6742,7132,6615,6909,246879,0.02553065162535262
2006-01-04,6938,7260,6861,6981,224382,0.01042118975249684
2006-01-05,6905,7046,6679,6705,118027,-0.03953588311130207
2006-01-06,6732,6818,6623,6674,106034,-0.004623415361670435
2006-01-09,6744,6790,6625,6745,85929,0.010638297872340496
2006-01-10,6771,7242,6771,6862,206385,0.017346182357301787
2006-01-11,6979,6979,6681,6785,60779,-0.011221218303701597
2006-01-12,6669,6817,6669,6697,77749,-0.012969786293294039
2006-01-13,6592,7132,6521,6893,111254,0.029266835896670118
2006-01-16,6890,6969,6727,6730,40245,-0.023647178296822835
2006-01-17,6710,6836,6578,6581,71213,-0.022139673105497804
2006-01-18,6522,6616,6043,6274,83847,-0.04664944537304361
2006-01-19,6271,6702,6145,6148,45963,-0.020082881734140856
2006-01-20,6110,6188,5224,5229,348618,-0.1494795055302537
2006-01-23,4978,5016,4476,4478,224008,-0.14362210747752913
2006-01-24,4385,4614,4205,4587,150486,0.024341223760607322
2006-01-25,4544,4935,4544,4625,164421,0.008284281665576598
2006-01-26,4648,4860,4547,4855,93446,0.049729729729729666
2006-01-27,5016,5220,4921,5097,104414,0.049845520082389294
2006-01-31,5186,5288,4991,5152,93110,0.010790661173239124
2006-02-01,5037,5092,4737,4829,94531,-0.06269409937888204
2006-02-02,4881,4930,4671,4799,73785,-0.006212466349140633
2006-02-03,4662,4685,4465,4689,82859,-0.02292144196707646
2006-02-06,4507,4741,4475,4549,62508,-0.029857112390701657
2006-02-07,4480,4597,4480,4531,48434,-0.003956913607386259
2006-02-08,4503,4643,4424,4468,86844,-0.013904215404987874
2006-02-09,4622,4622,4490,4493,86134,0.005595344673231972
2006-02-10,4583,4999,4574,4846,214507,0.07856665924771877
2006-02-13,4842,4984,4796,4862,131432,0.0033016921172099867
2006-02-14,4859,4921,4749,4776,88160,-0.017688194158782422
2006-02-15,4817,4857,4582,4587,99900,-0.039572864321608
2006-02-16,4591,5267,4568,5271,740564,0.14911706998037944
2006-02-17,5371,5471,5057,5097,330685,-0.033010813887307866
2006-02-20,5093,5218,5005,5089,175142,-0.0015695507161075373
2006-02-21,5196,5752,5133,5301,508963,0.04165847907250941
2006-02-22,5258,5345,5070,5293,174549,-0.0015091492171288579
2006-02-23,5343,5405,5209,5394,121153,0.019081806159078063
2006-02-24,5328,5405,5179,5215,146252,-0.033185020393029285
2006-02-27,5267,5587,5219,5411,185049,0.037583892617449655
2006-02-28,5485,5658,5390,5528,299605,0.02162262058769171
2006-03-02,5799,5993,5522,5528,588624,0.0
2006-03-03,5516,5675,5249,5301,272998,-0.04106367583212733
2006-03-06,5248,5335,5180,5253,147741,-0.009054895302773036
2006-03-07,5186,5210,5078,5081,128597,-0.03274319436512474
2006-03-08,5013,5076,4794,5018,168827,-0.012399134028734493
2006-03-09,5055,5225,5039,5081,113882,0.012554802710243118
2006-03-10,5195,5249,5078,5113,101552,0.0062979728399921164
2006-03-13,5118,5298,5118,5293,152204,0.0352043809896343
2006-03-14,5274,5321,5156,5176,87786,-0.02210466654071419
2006-03-15,5250,5291,5057,5097,106109,-0.015262751159196286
2006-03-16,5014,5122,4937,4940,143120,-0.030802432803609947
2006-03-17,4880,5013,4857,4892,76568,-0.009716599190283448
2006-03-20,4896,4958,4864,4900,56404,0.0016353229762877675
2006-03-21,4883,4962,4828,4855,54528,-0.009183673469387754
2006-03-22,4849,4873,4598,4625,153826,-0.047373841400617955
2006-03-23,4671,4718,4569,4611,73341,-0.0030270270270270627
2006-03-24,4572,4644,4440,4531,88635,-0.01734981565820859
2006-03-27,4476,4617,4476,4478,98839,-0.011697197086735778
2006-03-28,4490,4490,4261,4321,236661,-0.03506029477445283
2006-03-29,4309,4621,4237,4625,138548,0.07035408470261517
2006-03-30,4587,4769,4580,4703,91156,0.016864864864864826
2006-03-31,4708,4950,4698,4923,125841,0.04677865192430364
2006-04-03,4937,5218,4826,5198,199091,0.05586024781637211
2006-04-04,5249,5249,4976,5073,139212,-0.02404771065794531
2006-04-05,5108,5172,4897,5081,158893,0.0015769761482358202
2006-04-06,5057,5188,5033,5160,68922,0.015548120448730662
2006-04-07,5210,5839,5210,5568,722401,0.07906976744186056
2006-04-10,5460,5579,5374,5584,162082,0.002873563218390718
2006-04-11,5601,5711,5280,5402,171237,-0.03259312320916907
2006-04-12,5369,5633,5248,5584,142154,0.03369122547204739
2006-04-13,5642,5801,5495,5537,135457,-0.0084169054441261
2006-04-14,5507,5570,5405,5457,88669,-0.014448257178977797
2006-04-17,5532,5532,5210,5253,118403,-0.03738317757009346
2006-04-18,5183,5307,5174,5247,47411,-0.0011422044545973398
2006-04-19,5328,5328,5099,5152,97403,-0.018105584143319975
2006-04-20,5267,5470,5258,5271,213417,0.02309782608695654
2006-04-21,5361,5542,5268,5544,215102,0.05179282868525892
2006-04-24,5602,5602,5358,5394,157876,-0.02705627705627711
2006-04-25,5354,5415,5141,5238,102646,-0.028921023359288145
2006-04-26,5171,5234,5077,5104,100155,-0.02558228331424206
2006-04-27,5129,5183,5043,5064,62023,-0.00783699059561127
2006-04-28,5031,5156,4850,4869,87213,-0.038507109004739304
2006-05-02,4859,5047,4827,4917,56190,0.009858287122612497
2006-05-03,4941,5053,4941,5002,54609,0.017286963595688487
2006-05-04,5057,5174,4994,5035,56547,0.006597361055577844
2006-05-08,5134,5134,5033,5097,45934,0.01231380337636545
2006-05-09,5130,5130,4927,4947,50964,-0.029429075927015935
2006-05-10,4874,5247,4874,5207,113774,0.05255710531635338
2006-05-11,5093,5555,5093,5394,424027,0.035913193777607155
2006-05-12,5330,5919,5298,5724,1038029,0.06117908787541704
2006-05-15,5728,5917,5658,5810,539912,0.015024458420684894
2006-05-16,5856,5885,5660,5686,383805,-0.021342512908777977
2006-05-17,5602,5876,5578,5810,542602,0.021807949349278877
2006-05-18,5677,5984,5417,5985,379719,0.030120481927710774
2006-05-19,6073,6308,5908,6062,703794,0.012865497076023358
2006-05-22,6059,6083,5613,5804,381696,-0.04256021115143516
2006-05-23,5762,6130,5683,6086,418006,0.04858718125430728
2006-05-24,6000,6087,5702,5826,229117,-0.042720999014130845
2006-05-25,5799,5939,5437,5441,272235,-0.06608307586680395
2006-05-26,5549,5815,5549,5724,205868,0.05201249770262817
2006-05-29,5798,6095,5798,5826,301522,0.017819706498951815
2006-05-30,5799,5813,5539,5645,204840,-0.031067627875042914
2006-06-01,5642,5705,5249,5411,161981,-0.04145261293179803
2006-06-02,5627,5635,5173,5348,99684,-0.011642949547218673
2006-06-05,5304,5452,4817,5018,122862,-0.06170531039640992
2006-06-07,4795,4937,4317,4493,273864,-0.10462335591869265
2006-06-08,4359,4569,4312,4549,153013,0.012463832628533345
2006-06-09,4621,4738,4621,4743,74772,0.04264673554627385
2006-06-12,4669,4824,4581,4829,46506,0.018131983976386268
