Date,Open,High,Low,Close,Volume,Change
2000-04-27,443,454,421,426,14260151,
2000-04-28,427,473,421,450,25001993,0.05633802816901401
2000-05-02,448,460,438,450,9199978,0.0
2000-05-03,447,462,437,451,11739703,0.0022222222222221255
2000-05-04,448,456,440,443,11684904,-0.0177383592017738
2000-05-08,444,456,440,443,11877116,0.0
2000-05-09,454,457,445,458,13609783,0.0338600451467268
2000-05-10,457,475,450,465,7760941,0.015283842794759916
2000-05-12,548,606,540,602,2640298,0.29462365591397854
2000-05-15,600,616,571,588,1519347,-0.023255813953488413
2000-05-16,584,584,525,533,821847,-0.09353741496598644
2000-05-17,531,545,454,464,988556,-0.1294559099437148
2000-05-18,441,475,440,440,657443,-0.051724137931034475
2000-05-19,461,464,439,445,1281390,0.011363636363636465
2000-05-22,443,447,407,412,1070154,-0.07415730337078652
2000-05-23,408,444,397,421,1020156,0.02184466019417486
2000-05-24,417,477,409,442,3313964,0.04988123515439424
2000-05-25,454,509,454,509,3890913,0.15158371040723972
2000-05-26,490,499,431,432,1964460,-0.15127701375245584
2000-05-29,424,489,424,476,1219151,0.10185185185185186
2000-05-30,513,546,491,544,3528339,0.1428571428571428
2000-05-31,541,604,529,559,3988427,0.02757352941176472
2000-06-01,556,583,535,559,2022885,0.0
2000-06-02,577,614,564,580,2586640,0.0375670840787119
2000-06-05,593,651,587,635,3083098,0.09482758620689657
2000-06-07,636,666,612,623,3917608,-0.018897637795275646
2000-06-08,629,636,558,595,1786708,-0.0449438202247191
2000-06-09,564,651,564,615,3184972,0.03361344537815136
2000-06-12,641,641,600,611,1839971,-0.006504065040650375
2000-06-13,610,610,564,564,803734,-0.07692307692307687
2000-06-14,553,586,553,588,595890,0.042553191489361764
2000-06-15,586,586,542,544,816267,-0.07482993197278909
2000-06-16,529,554,528,544,497831,0.0
2000-06-19,512,548,512,517,461461,-0.049632352941176516
2000-06-20,519,593,519,596,762599,0.15280464216634426
2000-06-21,579,623,564,564,2031060,-0.05369127516778527
2000-06-22,572,594,537,546,692999,-0.03191489361702127
2000-06-23,549,565,541,558,409151,0.0219780219780219
2000-06-26,547,577,547,580,1312178,0.03942652329749108
2000-06-27,592,635,578,632,3378795,0.08965517241379306
2000-06-28,636,644,617,617,2842140,-0.02373417721518989
2000-06-29,637,641,583,606,1405891,-0.017828200972447306
2000-06-30,513,547,503,542,22322098,-0.10561056105610556
2000-07-03,554,567,542,554,15384672,0.022140221402213944
2000-07-04,569,637,554,582,68271846,0.05054151624548742
2000-07-05,585,587,541,591,28116066,0.015463917525773141
2000-07-06,584,608,567,600,26504873,0.015228426395939021
2000-07-07,611,636,606,625,31755929,0.04166666666666674
2000-07-10,623,634,605,637,22943156,0.019200000000000106
2000-07-11,626,648,586,594,27477113,-0.06750392464678179
2000-07-12,702,702,656,678,1067967,0.14141414141414144
2000-07-13,676,676,651,668,402349,-0.014749262536873142
2000-07-14,637,666,637,641,1149287,-0.04041916167664672
2000-07-18,629,636,599,602,836822,-0.060842433697347875
2000-07-19,505,517,495,513,11284060,-0.14784053156146182
2000-07-20,524,541,509,511,37597816,-0.003898635477582846
2000-07-21,505,521,496,510,7983978,-0.00195694716242667
2000-07-24,512,512,469,471,11584940,-0.07647058823529407
2000-07-25,444,483,444,483,5135945,0.02547770700636942
2000-07-26,480,485,470,480,5427852,-0.006211180124223614
2000-07-27,460,474,460,475,3170048,-0.01041666666666663
2000-07-28,474,477,455,456,5925846,-0.040000000000000036
2000-07-31,514,546,514,540,453693,0.18421052631578938
2000-08-01,542,564,533,557,360948,0.031481481481481444
2000-08-02,567,567,545,562,307810,0.008976660682226134
2000-08-03,551,564,549,562,364075,0.0
2000-08-04,557,557,546,558,463088,-0.007117437722419906
2000-08-07,557,557,534,536,289989,-0.03942652329749108
2000-08-08,534,547,517,521,312042,-0.027985074626865725
2000-08-09,521,545,521,545,324844,0.04606525911708248
2000-08-10,529,560,529,562,403292,0.031192660550458662
2000-08-11,554,573,540,569,612506,0.01245551601423478
2000-08-14,586,599,567,569,1259334,0.0
2000-08-16,574,574,557,569,1652557,0.0
2000-08-17,569,570,556,562,384096,-0.012302284710017597
2000-08-18,552,565,538,541,638119,-0.03736654804270467
2000-08-21,538,548,534,536,357122,-0.009242144177449174
2000-08-22,540,554,537,551,254840,0.027985074626865725
2000-08-23,468,470,458,461,2730709,-0.16333938294010886
2000-08-24,460,464,449,456,2617168,-0.010845986984815648
2000-08-25,461,464,454,464,3983922,0.01754385964912286
2000-08-28,461,468,457,466,6055541,0.004310344827586299
2000-08-29,469,469,462,464,2084311,-0.0042918454935622075
2000-08-30,461,469,459,467,2001144,0.006465517241379226
