Date,Open,High,Low,Close,Volume,Change
2020-09-18,9045,9090,8980,8980,40699,
2020-09-21,8980,9045,8980,9025,2171,0.0050111358574609355
2020-09-22,9000,9025,8980,9025,2600,0.0
2020-09-23,8995,9040,8975,9045,842,0.00221606648199435
2020-09-24,9040,9040,8950,9045,5288,0.0
2020-09-25,8975,9040,8975,9045,2919,0.0
2020-09-28,8975,9040,8950,9045,19726,0.0
2020-09-29,9039,9039,8950,9000,3695,-0.00497512437810943
2020-10-05,8995,8995,8950,9000,1816,0.0
2020-10-06,9000,9000,8955,8980,2212,-0.0022222222222222365
2020-10-07,8980,9000,8910,8980,46995,0.0
2020-10-08,8950,8995,8950,9000,1811,0.00222717149220486
2020-10-12,8950,8995,8950,9000,1803,0.0
2020-10-13,8950,9039,8950,8955,5127,-0.0050000000000000044
2020-10-14,8995,9064,8950,9045,4915,0.01005025125628145
2020-10-15,9070,9070,9000,9070,538,0.0027639579878386833
2020-10-16,9040,9085,9040,9090,3199,0.0022050716648291946
2020-10-19,9085,9085,9040,9090,1685,0.0
2020-10-20,9085,9130,9040,9135,2791,0.004950495049504955
2020-10-21,9085,9130,9085,9135,1535,0.0
2020-10-22,9085,9109,9085,9090,1447,-0.0049261083743842304
2020-10-23,9085,9085,9085,9090,0,0.0
2020-10-26,9129,9129,9065,9090,5,0.0
2020-10-27,9085,9085,9085,9090,94,0.0
2020-10-28,9085,9085,9085,9090,594,0.0
2020-10-29,9065,9085,9065,9090,1,0.0
2020-10-30,9129,9129,9040,9045,476,-0.004950495049504955
2020-11-02,8975,9040,8975,9045,105,0.0
2020-11-03,9045,9200,9025,9025,1086,-0.002211166390270858
2020-11-04,9040,9040,8995,9045,2355,0.00221606648199435
2020-11-05,9019,9039,8995,9000,972,-0.00497512437810943
2020-11-06,8975,9039,8975,9000,462,0.0
2020-11-09,8995,9040,8950,9045,795,0.004999999999999893
2020-11-10,8995,9040,8995,9045,1,0.0
2020-11-11,9025,9045,9025,9025,12,-0.002211166390270858
2020-11-12,9040,9040,9020,9045,18,0.00221606648199435
2020-11-13,9040,9085,9040,9090,64,0.004975124378109541
2020-11-16,9040,9040,9040,9045,1070,-0.004950495049504955
2020-11-17,9040,9040,9040,9045,54,0.0
2020-11-18,9020,9040,9020,9045,12,0.0
2020-11-19,9040,9040,9040,9045,96,0.0
2020-11-20,9020,9219,9020,9045,7,0.0
2020-11-23,9070,9070,9000,9070,2,0.0027639579878386833
2020-11-24,9225,9225,9045,9070,14,0.0
2020-11-25,9045,9070,9045,9070,31,0.0
2020-11-26,9025,9070,9025,9070,196,0.0
2020-11-27,9045,9225,9045,9180,1013,0.012127894156560126
2020-11-30,9130,9130,9130,9135,0,-0.004901960784313708
2020-12-01,9090,9180,9090,9180,768,0.0049261083743843415
2020-12-02,9090,9180,9090,9180,3590,0.0
2020-12-03,9219,9219,9020,9045,69,-0.014705882352941124
2020-12-04,9174,9174,9065,9090,238,0.004975124378109541
2020-12-07,9180,9180,9180,9180,1,0.00990099009900991
2020-12-08,9085,9130,9085,9135,9410,-0.004901960784313708
2020-12-09,9174,9174,9110,9135,18,0.0
2020-12-10,9135,9180,9135,9180,128,0.0049261083743843415
2020-12-11,9155,9180,8980,9180,666,0.0
2020-12-14,9180,9225,9180,9180,1517,0.0
2020-12-15,9219,9219,9195,9200,4,0.002178649237472685
2020-12-16,9224,9224,9200,9225,426,0.0027173913043478937
2020-12-17,9020,9330,9020,9335,58,0.011924119241192521
2020-12-18,9360,9360,9314,9315,259,-0.002142474558114671
2020-12-21,9314,9314,9180,9315,201,0.0
2020-12-22,9085,11748,9085,9245,208924,-0.007514761137949577
2020-12-23,9315,9335,9155,9180,9364,-0.007030827474310386
2020-12-24,9264,9399,9130,9245,8232,0.007080610021786393
2020-12-28,9329,9329,9130,9155,3735,-0.009734991887506705
2020-12-29,9130,9329,9130,9245,3793,0.00983069361004918
2020-12-30,9240,9354,9195,9245,930,0.0
2021-01-04,9245,9334,9200,9315,1301,0.007571660356949783
2021-01-05,9244,9270,9224,9225,3670,-0.009661835748792313
2021-01-06,9290,9290,9180,9225,6061,0.0
2021-01-07,9180,9315,9180,9225,846,0.0
2021-01-08,9175,9309,9175,9245,3024,0.0021680216802169028
2021-01-11,9244,9315,9224,9225,2130,-0.0021633315305570333
2021-01-12,9150,9309,9150,9200,187,-0.0027100271002710175
2021-01-13,9329,9329,9220,9290,1976,0.009782608695652284
2021-01-14,9180,9360,9180,9270,4178,-0.0021528525296017342
2021-01-15,9200,9360,9200,9315,305,0.004854368932038833
2021-01-18,9310,9420,9220,9425,770,0.01180891035963505
2021-01-19,9270,9424,9180,9225,5757,-0.021220159151193685
2021-01-20,9374,9374,9195,9245,6152,0.0021680216802169028
2021-01-21,9245,9360,9225,9315,432,0.007571660356949783
2021-01-22,9220,9309,9220,9245,1638,-0.007514761137949577
2021-01-25,9240,9419,9240,9290,575,0.004867495943753353
2021-01-26,9419,9419,9265,9290,598,0.0
2021-01-27,9380,9380,9315,9360,1270,0.00753498385360607
2021-01-28,9355,9444,9285,9425,1506,0.00694444444444442
2021-01-29,9450,9450,9315,9360,3543,-0.006896551724137945
2021-02-01,9355,9509,9355,9425,983,0.00694444444444442
2021-02-02,9540,9540,9335,9450,1533,0.0026525198938991412
2021-02-03,9450,9450,9290,9450,834,0.0
2021-02-04,9310,9465,9240,9470,3203,0.002116402116402183
2021-02-05,9444,9444,9220,9335,7779,-0.014255543822597638
2021-02-08,9285,9444,9240,9335,1407,0.0
2021-02-09,9245,9425,9245,9360,2560,0.0026780931976433386
2021-02-10,9405,9450,9290,9315,1018,-0.004807692307692291
2021-02-15,9464,9464,9220,9245,8846,-0.007514761137949577
2021-02-16,9220,9444,9220,9245,4876,0.0
2021-02-17,9270,9335,9224,9225,4786,-0.0021633315305570333
2021-02-18,9329,9329,9240,9290,47,0.007046070460704712
2021-02-19,9334,9334,9270,9315,553,0.0026910656620020568
2021-02-22,9334,9334,9225,9315,4850,0.0
2021-02-23,9310,9330,9310,9335,490,0.0021470746108427363
2021-02-24,9329,9354,9285,9290,537,-0.0048205677557578985
2021-02-25,9374,9374,9240,9245,782,-0.004843918191603902
2021-02-26,9380,9380,9245,9315,71,0.007571660356949783
2021-03-02,9354,9354,9220,9290,783,-0.0026838432635534204
2021-03-03,9374,9374,9240,9290,677,0.0
2021-03-04,9375,9375,9285,9380,18,0.009687836383207804
2021-03-05,9380,9380,9245,9315,296,-0.006929637526652432
2021-03-08,9270,9314,9245,9315,18,0.0
2021-03-09,9374,9374,9240,9335,3,0.0021470746108427363
2021-03-10,9329,9329,9240,9245,857,-0.009641135511515797
2021-03-11,9285,9285,9220,9290,142,0.004867495943753353
2021-03-12,9285,9285,9265,9290,256,0.0
2021-03-15,9265,9375,9265,9380,154,0.009687836383207804
2021-03-16,9265,9375,9265,9380,177,0.0
2021-03-17,9375,9375,9330,9380,66,0.0
2021-03-18,9399,9399,9265,9335,23,-0.004797441364605581
2021-03-19,9265,9330,9265,9335,87,0.0
2021-03-22,9354,9354,9220,9245,17,-0.009641135511515797
2021-03-23,9354,9354,9220,9290,72,0.004867495943753353
2021-03-24,9265,9309,9265,9290,216,0.0
2021-03-25,9374,9374,9220,9335,220,0.004843918191603791
2021-03-26,9405,9405,9360,9360,3,0.0026780931976433386
2021-03-29,9404,9404,9404,9405,13,0.004807692307692291
2021-03-30,9424,9424,9244,9405,274,0.0
2021-03-31,9244,9450,9244,9405,292,0.0
2021-04-01,9375,9375,9265,9380,32,-0.0026581605528973595
2021-04-02,9310,9375,9310,9380,7,0.0
2021-04-05,9444,9444,9310,9425,3,0.00479744136460547
