Date,Open,High,Low,Close,Volume,Change
2019-08-05,27531,27531,19284,19286,2863335,
2019-08-06,18218,19371,16400,17113,894102,-0.11267240485326147
2019-08-07,18354,19506,17423,18356,1024509,0.07263483901127787
2019-08-08,18443,20126,18443,19331,572625,0.05311614730878178
2019-08-09,20305,22610,19861,21637,1144580,0.11929025916920999
2019-08-12,21724,23497,21280,23410,579809,0.0819429680639645
2019-08-13,23231,24073,22699,22790,198841,-0.026484408372490442
2019-08-14,23143,23454,21725,21815,227071,-0.04278192189556829
2019-08-16,21233,21411,20302,20394,213580,-0.06513866605546648
2019-08-19,21013,21590,20526,21371,177036,0.04790624693537304
2019-08-20,21856,23053,21677,22612,214292,0.05806934631042071
2019-08-21,22610,23718,21990,23366,265183,0.03334512648151433
2019-08-22,23939,26156,23718,25361,733845,0.08538046734571592
2019-08-23,25094,26955,24650,25849,441546,0.01924214344860209
2019-08-26,25183,25848,24385,24830,186879,-0.039421254207126055
2019-08-27,25625,26334,23763,25538,314704,0.02851389448248076
2019-08-28,25314,26468,24295,25140,145123,-0.015584618999138544
2019-08-29,25494,25494,24119,24520,144308,-0.024661893396976886
2019-08-30,24784,25183,23764,24209,154756,-0.012683523654159923
2019-09-02,24027,24649,23631,24253,115851,0.0018175058862406335
2019-09-03,24250,26023,24072,25538,205736,0.05298313610687333
2019-09-04,26157,26467,25182,25805,203800,0.01045500822304013
2019-09-05,26023,27044,25625,25937,235374,0.005115287734935192
2019-09-06,25980,26201,25359,25805,78402,-0.00508925473262134
2019-09-09,25804,25982,24651,24830,134488,-0.03778337531486142
2019-09-10,24694,25404,24694,24785,78962,-0.001812323801852589
2019-09-11,24918,25315,24562,25274,70997,0.019729675206778374
2019-09-16,25270,26599,25181,25937,141860,0.026232491888897647
2019-09-17,25758,26334,25404,25583,62808,-0.01364845587384822
2019-09-18,25714,25714,23986,24741,195582,-0.032912480944377154
2019-09-19,24871,25004,24251,24563,61835,-0.007194535386605194
2019-09-20,24740,24828,23632,23766,121662,-0.03244717664780361
2019-09-23,23763,24472,23718,24076,57141,0.013043844147100803
2019-09-24,24073,24161,23806,23942,42671,-0.0055657085894667
2019-09-25,23806,24027,22433,22745,145851,-0.049995823239495474
2019-09-26,23497,23763,23141,23233,66041,0.02145526489338323
2019-09-27,23142,23586,23142,23322,38073,0.0038307579735721298
2019-09-30,23406,23673,23230,23676,36395,0.015178801131978448
2019-10-01,23540,24027,23452,23898,42054,0.00937658388241247
2019-10-02,23852,23895,23408,23854,32396,-0.001841158255921016
2019-10-04,23763,23806,23407,23499,32704,-0.01488220005030605
2019-10-07,23407,23540,21146,22169,149083,-0.0565981531128984
2019-10-08,22299,23320,21768,23322,87063,0.05200956290315295
2019-10-10,23275,23497,22743,23410,39224,0.0037732612983449876
2019-10-11,23407,23452,23008,23366,30469,-0.0018795386586928364
2019-10-14,23407,23407,22610,22790,56202,-0.02465120260207143
2019-10-15,22786,22786,22077,22257,77560,-0.023387450636243923
2019-10-16,22254,22565,21944,22213,39168,-0.0019769061418879463
2019-10-17,22298,22742,21989,22301,53011,0.003961644082294047
2019-10-18,22253,22609,22032,22390,56927,0.003990852428142233
2019-10-21,22254,22387,21457,21726,63416,-0.029656096471639137
2019-10-22,21768,21945,20926,21460,84574,-0.012243395010586355
2019-10-23,21280,21546,20747,20927,49243,-0.024836905871388648
2019-10-24,21280,21857,20925,21726,91387,0.03818034118602753
2019-10-25,21725,22168,21370,22125,44941,0.01836509251587959
