Date,Open,High,Low,Close,Volume,Change
2016-02-29,14520,17518,14520,16706,3777981,
2016-03-02,17155,20431,16577,19962,2394915,0.19490003591523997
2016-03-03,19618,20345,18697,20176,1053861,0.010720368700531058
2016-03-04,19533,20861,19383,20198,594698,0.001090404440919901
2016-03-07,20560,20624,18525,18634,369208,-0.07743340924844044
2016-03-08,18762,20647,17991,20498,726021,0.1000321992057529
2016-03-09,20346,21631,20218,20562,557171,0.0031222558298371617
2016-03-10,20197,20282,19382,19855,333384,-0.03438381480400743
2016-03-11,19874,19874,18568,18741,299001,-0.05610677411231424
2016-03-14,18590,19276,17562,18056,296071,-0.0365508777546556
2016-03-15,17990,18804,17626,18463,366926,0.02254098360655732
2016-03-16,18462,18740,17734,18206,223343,-0.013919731354601117
2016-03-17,18846,18954,17990,17991,187958,-0.011809293639459484
2016-03-18,18054,18354,17797,17863,120481,-0.007114668445333816
2016-03-21,17884,17969,17134,17157,206132,-0.03952303644404631
2016-03-22,17241,17883,16491,17520,308034,0.021157545025354052
2016-03-23,17220,18655,17220,18506,289194,0.05627853881278533
2016-03-24,18205,18869,18034,18399,150807,-0.00578190857019345
2016-03-25,18397,19339,18054,18184,241225,-0.011685417685743826
2016-03-28,18055,19126,17862,18892,213316,0.03893532776066877
2016-03-29,17905,18612,17349,18292,888608,-0.03175947491001485
2016-03-30,18419,19897,18419,19277,802961,0.05384867701727525
2016-03-31,19361,20260,19189,19876,493140,0.031073299787311326
2016-04-01,20176,20219,19448,19727,261135,-0.0074964781646206236
2016-04-04,19619,20089,19126,19277,244238,-0.022811375272469236
2016-04-05,19362,20497,19041,20134,321672,0.044457125071328596
2016-04-06,20047,20711,19727,19727,239419,-0.020214562431707606
2016-04-07,19768,20218,19425,19898,174024,0.008668322603538225
2016-04-08,20133,20647,19619,20605,251826,0.035531209166750344
2016-04-11,20518,20582,19532,19662,190220,-0.04576559087600096
2016-04-12,19661,19833,18677,19534,214897,-0.006510019326619876
2016-04-14,19532,19532,18847,18848,144850,-0.03511825534964674
2016-04-15,18847,18847,18290,18463,114107,-0.020426570458404125
2016-04-18,18226,18676,18226,18613,100992,0.008124356821751721
2016-04-19,18612,18676,18055,18313,152562,-0.016117767151990536
2016-04-20,18418,18461,17733,17777,142972,-0.029268825424561773
2016-04-21,17798,18933,17456,18699,188333,0.051864769083647344
2016-04-22,18569,18654,18247,18463,80581,-0.01262099577517517
2016-04-25,18569,18911,18076,18484,65333,0.0011374099550451877
2016-04-26,18505,18762,18269,18420,50337,-0.003462454014282579
2016-04-27,18483,18483,17519,17606,125634,-0.044191096634093374
2016-04-28,17519,17562,16877,17242,151734,-0.02067476996478468
2016-04-29,17390,17904,16877,17670,146666,0.024823106368170755
2016-05-02,17648,17668,16983,17006,69721,-0.03757781550650818
2016-05-03,17199,17691,17006,17457,85349,0.02652005174644234
2016-05-04,17520,17713,17091,17264,73962,-0.01105573695365758
2016-05-09,17263,17327,16341,16471,86148,-0.04593373493975905
2016-05-10,16426,17712,16426,17627,130575,0.0701839596867222
2016-05-11,17626,18247,17412,17820,139686,0.010949112157485619
2016-05-12,17819,18290,17583,17991,62947,0.009595959595959602
2016-05-13,17841,18097,17690,17820,51796,-0.009504752376188086
2016-05-16,17905,18440,17905,18056,94150,0.013243546576879872
2016-05-17,18139,19339,17860,19126,458734,0.059260079751882966
2016-05-18,18847,19490,18633,19191,299152,0.0033985151103210764
2016-05-19,19618,19618,18098,18934,253393,-0.01339169402324003
2016-05-20,19296,19596,18590,19576,449786,0.0339072567867329
2016-05-23,19448,19619,19126,19363,141746,-0.01088067020841843
2016-05-24,19319,19362,18698,18892,146856,-0.024324743066673538
2016-05-25,19104,19104,18290,18720,109221,-0.009104382807537559
2016-05-26,19211,19425,18504,18934,192651,0.011431623931623891
2016-05-27,18955,19233,18719,19063,105382,0.006813140382381011
2016-05-30,18547,20346,18354,19962,525013,0.04715941876934382
2016-05-31,19897,20561,19661,20112,300887,0.007514277126540403
2016-06-01,20560,20560,19939,20176,141139,0.0031821797931583795
2016-06-02,20175,22789,19961,21847,521598,0.08282117367168906
2016-06-03,22231,22916,21288,22061,295530,0.009795395248775485
2016-06-07,22188,22617,21631,22361,211010,0.013598658265717711
2016-06-08,22145,23473,21803,22661,301273,0.013416215732749093
2016-06-09,22704,23346,21932,22961,288272,0.013238603768589208
2016-06-10,22788,23730,22573,23603,258830,0.027960454684029523
2016-06-13,23346,23688,22619,22619,177663,-0.0416896157268144
2016-06-14,22360,22703,21395,22061,200895,-0.024669525620053978
2016-06-15,22060,22403,21417,21847,128711,-0.009700376229545338
2016-06-16,21847,22319,21247,22319,175600,0.021604796997299447
2016-06-17,22446,22959,21503,21590,152826,-0.03266275370760341
2016-06-20,21846,22274,21674,22061,79390,0.02181565539601671
2016-06-21,22188,23559,22059,23132,296908,0.048547210008612396
2016-06-22,23002,23474,22788,23132,136276,0.0
2016-06-23,22916,24416,22574,24160,207300,0.04444060176379039
2016-06-24,24417,24588,21289,23090,537229,-0.04428807947019864
2016-06-27,22490,23217,22318,22490,176416,-0.025985275010827147
2016-06-28,22146,23260,22060,22704,170659,0.009515340151178275
2016-06-29,22961,23603,22746,22961,149112,0.011319591261451656
2016-06-30,23518,25831,23218,24033,614994,0.046687862026915106
2016-07-01,24374,25402,23989,24975,288063,0.03919610535513662
2016-07-04,25145,25831,24717,24889,208464,-0.0034434434434434946
2016-07-05,24973,25145,24245,24246,165575,-0.02583470609506211
2016-07-06,24245,24545,23474,23989,155214,-0.010599686546234444
2016-07-07,24117,25059,23774,24932,179144,0.039309683604985546
2016-07-08,24758,25015,23645,23903,179680,-0.041272260548692485
2016-07-11,24032,24032,23389,23733,110605,-0.007112077981843323
2016-07-12,23945,24158,23131,23646,112158,-0.0036657818227784356
2016-07-13,23815,24158,22916,23003,144223,-0.027192759874820283
2016-07-14,22916,23473,22530,23303,107299,0.013041777159500834
2016-07-15,23303,23303,22404,22404,107393,-0.03857872376947169
2016-07-18,22145,22959,21974,22532,73923,0.005713265488305641
2016-07-19,22531,23431,22445,23346,87271,0.036126398011716576
2016-07-20,23132,23560,23090,23090,58372,-0.010965475884519793
2016-07-21,23132,23345,22103,22233,101605,-0.037115634473798176
2016-07-22,22189,22961,22018,22619,55243,0.017361579633877522
2016-07-25,22703,22874,22146,22404,38855,-0.00950528316901722
2016-07-26,22275,22531,21975,22019,47262,-0.01718443135154435
2016-07-27,22145,22316,21417,21504,56746,-0.02338889141196243
2016-07-28,21547,23388,21547,22961,128563,0.06775483630952372
2016-07-29,23003,23431,22361,22619,48707,-0.014894821654109158
2016-08-01,22489,22874,22189,22404,44311,-0.00950528316901722
2016-08-02,22144,22574,21545,21675,65773,-0.03253883235136579
2016-08-03,21674,21847,20432,20862,199456,-0.037508650519031184
2016-08-04,21184,21633,21054,21184,65366,0.015434761767807448
2016-08-05,21375,21375,19940,20155,144093,-0.0485743957703928
2016-08-08,20175,20390,19190,19641,205491,-0.025502356735301435
2016-08-09,19512,21032,19512,20862,127161,0.06216587750114555
2016-08-10,20947,21418,20497,21205,99960,0.016441376665707885
2016-08-11,21418,21418,20327,20327,110745,-0.04140532893185567
2016-08-12,20453,20989,20453,20776,44989,0.02208884734589467
2016-08-16,20775,20775,20133,20348,47980,-0.020600693107431622
2016-08-17,20518,20668,19768,19941,41364,-0.02000196579516411
2016-08-18,19961,20111,19296,19662,55186,-0.013991274259064213
2016-08-19,19661,20519,19447,20476,71076,0.04139965415522329
2016-08-22,20411,20496,19618,19662,58691,-0.03975385817542487
2016-08-23,19619,19875,19233,19363,115076,-0.015206998270776095
2016-08-24,19426,19769,19277,19449,42494,0.004441460517481843
2016-08-25,19383,19555,19041,19534,36357,0.004370404648053938
2016-08-26,19511,19597,19211,19234,32661,-0.015357837616463588
2016-08-29,19319,19319,18419,18699,60060,-0.027815327025059844
2016-08-30,18804,18976,18140,18313,76808,-0.020642815123803393
2016-08-31,18462,18462,17562,17820,99754,-0.026920766668486862
2016-09-01,17713,18462,17434,18206,62476,0.021661054994388307
2016-09-02,18076,18376,17519,17820,85790,-0.021201801603866866
2016-09-05,17968,18332,17326,17499,77785,-0.018013468013468037
2016-09-06,17561,17969,17369,17606,58120,0.0061146351220069395
2016-09-07,17862,19277,17691,18399,207294,0.04504146313756663
2016-09-08,18804,19276,18677,18677,102251,0.015109516821566471
2016-09-09,18870,19727,18677,19149,92936,0.025271724581035437
2016-09-12,18653,18847,17775,18141,78141,-0.052639824533918245
2016-09-13,18332,18483,17648,17863,59951,-0.015324403285375654
2016-09-19,17861,18847,17690,18848,72798,0.055141913452387614
2016-09-20,18869,19704,18441,19534,86080,0.03639643463497455
2016-09-21,19533,19661,18933,19041,77704,-0.025238046483055165
2016-09-22,19232,20132,19211,19962,107244,0.048369308334646366
2016-09-23,20175,20282,19404,19791,94208,-0.008566275924256073
2016-09-26,19789,20025,19382,19705,37746,-0.004345409529584177
2016-09-27,19511,19704,19254,19491,46883,-0.010860187769601626
2016-09-28,19534,20497,19383,20327,83456,0.04289159099071371
2016-09-29,20346,20432,19918,20155,41626,-0.00846165198996407
2016-09-30,20303,20346,18290,18805,226611,-0.06698089804018859
2016-10-04,18098,18548,17391,18206,179331,-0.03185323052379685
2016-10-05,18140,18333,17220,17221,142465,-0.054103042952872715
2016-10-06,17134,17734,16577,16771,171094,-0.02613088670808894
2016-10-07,16705,16876,15420,15507,179915,-0.0753681950986822
2016-10-10,15463,16063,15377,16064,137125,0.03591926226865283
2016-10-11,15955,17090,15783,17091,149731,0.0639317729083666
2016-10-12,17070,17348,16855,17028,76898,-0.0036861506055818616
2016-10-13,17026,17134,16469,16535,46092,-0.028952313836034804
2016-10-14,16897,17626,16790,17134,91239,0.03622618687632295
2016-10-17,17091,17263,16577,17178,43612,0.0025679934632893975
2016-10-18,17262,17349,16919,17349,36797,0.009954593084177343
2016-10-19,17476,17476,17070,17327,28465,-0.0012680846158279468
2016-10-20,17303,17346,16447,16834,59619,-0.02845270387256882
2016-10-21,16833,16833,16212,16449,56860,-0.02287038137103481
2016-10-24,16448,16469,15762,15892,53577,-0.033862240865706106
2016-10-25,15892,16149,15421,15529,51688,-0.02284168134910647
2016-10-26,15527,15977,15441,15828,57864,0.019254298409427495
2016-10-27,15805,16534,15634,16535,59470,0.044667677533484884
2016-10-28,16404,16511,15591,15592,51129,-0.05703054127608109
2016-10-31,15420,15591,13643,14243,228610,-0.08651872755259105
2016-11-01,14241,14563,13492,13579,146389,-0.04661939198202625
2016-11-02,13643,13707,12765,12765,106697,-0.05994550408719346
2016-11-03,12850,13707,12765,13258,91523,0.038621229925577705
2016-11-04,13363,13985,12913,13879,59931,0.04683964398853524
2016-11-07,13878,14156,13599,13879,33518,0.0
2016-11-08,14284,14798,13963,14350,94323,0.033936162547733906
2016-11-09,14370,14862,12850,13707,125202,-0.04480836236933794
2016-11-10,14779,16107,14542,15722,198191,0.14700517983512085
2016-11-11,15763,16063,15399,15743,55204,0.0013357079252003246
2016-11-14,15635,15891,15334,15635,35919,-0.006860191831290052
2016-11-15,15634,15677,14756,15421,68971,-0.013687240166293524
2016-11-16,15527,15570,15270,15421,24449,0.0
2016-11-17,15355,16041,15056,16042,43096,0.040269762012839605
2016-11-18,15976,15976,15033,15399,41335,-0.04008228400448821
2016-11-21,15527,15527,14693,14693,34482,-0.045847132930709744
2016-11-22,14885,15699,14671,14779,38810,0.005853127339549458
2016-11-23,14712,14948,14134,14264,44914,-0.034846741998782016
2016-11-24,14177,14906,13792,14607,62610,0.024046550757150786
2016-11-25,14500,15142,14413,14950,40258,0.02348189224344499
2016-11-28,14949,15205,14542,14543,30515,-0.027224080267558515
2016-11-29,14393,15335,14371,15143,35591,0.04125696211235641
2016-11-30,15269,15355,14927,15185,15410,0.00277355874001195
2016-12-01,15184,15312,14862,15185,17551,0.0
2016-12-02,15034,15184,14798,14821,18600,-0.023971024036878452
2016-12-05,14563,14991,14413,14414,18321,-0.027461035017879998
2016-12-06,14349,14713,14285,14393,27993,-0.0014569168863605153
2016-12-07,14350,14863,13278,13451,73253,-0.065448481900924
2016-12-08,13469,13662,12956,13300,61542,-0.011225931157534785
2016-12-09,13321,13899,13170,13793,60741,0.03706766917293236
2016-12-12,13793,14371,13771,14308,38929,0.03733778003335031
2016-12-13,14155,14648,14155,14521,45153,0.014886776628459497
2016-12-14,14734,15847,14434,15121,134956,0.04131946835617373
2016-12-15,14906,15870,14842,15614,61171,0.03260366377885071
2016-12-16,15613,15742,15120,15357,21744,-0.016459587549634946
2016-12-19,15377,15506,14992,15250,21300,-0.00696750667448065
2016-12-20,15421,15421,14864,15079,25878,-0.011213114754098363
2016-12-21,15078,15078,14285,14436,58323,-0.04264208501890043
2016-12-22,14414,14607,14157,14308,27414,-0.008866722083679668
2016-12-23,14349,14735,14070,14393,27565,0.005940732457366593
2016-12-26,14542,14756,14285,14393,27045,0.0
2016-12-27,14391,14563,13963,14264,43544,-0.008962690196623324
2016-12-28,14412,15484,14412,15335,78358,0.07508412787436902
2016-12-29,15099,15442,14779,15036,36870,-0.01949788066514513
2017-01-02,15248,15719,15012,15399,43141,0.024142059058260168
2017-01-03,15292,15785,15185,15443,45660,0.0028573283979478337
2017-01-04,15441,16405,15377,16171,95304,0.04714109952729384
2017-01-05,16171,16364,15807,16022,38328,-0.009214025106672463
2017-01-06,15847,16126,15505,15956,55041,-0.004119335913119415
2017-01-09,16063,16063,15442,15443,22847,-0.032150915016294856
2017-01-10,15421,15550,14735,14972,62910,-0.0304992553260377
