Date,Open,High,Low,Close,Volume,Change
2000-04-27,2377,2387,2198,2234,9239133,
2000-04-28,2300,2380,2260,2310,5637000,0.03401969561324969
2000-05-02,2340,2370,2310,2350,3449000,0.017316017316017396
2000-05-03,2380,2440,2350,2440,5702000,0.038297872340425476
2000-05-04,2460,2460,2350,2410,6866000,-0.012295081967213073
2000-05-08,2470,2550,2410,2520,5217000,0.045643153526971014
2000-05-09,2520,2580,2520,2530,2976000,0.003968253968253954
2000-05-10,2530,2530,2400,2500,8395000,-0.011857707509881465
2000-05-12,2500,2500,2350,2380,4932000,-0.04800000000000004
2000-05-15,2318,2597,2318,2524,12436925,0.060504201680672276
2000-05-16,2550,2680,2530,2650,6487000,0.04992076069730578
2000-05-17,2550,2850,2550,2700,15884000,0.018867924528301883
2000-05-18,2700,2700,2450,2550,9171000,-0.05555555555555558
2000-05-19,2392,2567,2392,2414,12075000,-0.053333333333333344
2000-05-22,2414,2414,2054,2180,11258000,-0.09693454846727423
2000-05-23,2180,2220,2100,2180,5985000,0.0
2000-05-24,2198,2347,2078,2254,8206639,0.03394495412844045
2000-05-25,2190,2474,2190,2450,4525000,0.08695652173913038
2000-05-26,2360,2440,2330,2350,4097000,-0.04081632653061229
2000-05-29,2250,2480,2250,2480,1205000,0.05531914893617018
2000-05-30,2440,2520,2440,2510,2233000,0.012096774193548487
2000-05-31,2554,2600,2480,2510,8562000,0.0
2000-06-01,2560,2560,2510,2510,3715000,0.0
2000-06-02,2480,2570,2380,2520,6649000,0.003984063745019917
2000-06-05,2600,2894,2600,2800,21197000,0.11111111111111116
2000-06-07,2960,3220,2910,3220,35691000,0.1499999999999999
2000-06-08,3250,3500,2770,2900,31389000,-0.0993788819875776
2000-06-09,2897,2947,2498,2754,17963520,-0.05034482758620684
2000-06-12,2770,2860,2640,2710,8286000,-0.015976761074800283
2000-06-13,2710,2750,2504,2550,7062000,-0.059040590405904037
2000-06-14,2668,2877,2558,2704,12168498,0.06039215686274502
2000-06-15,2751,2827,2548,2574,9196571,-0.04807692307692313
2000-06-16,2580,2700,2574,2610,3890000,0.013986013986013957
2000-06-19,2610,2650,2514,2530,5861000,-0.03065134099616862
2000-06-20,2532,2581,2528,2574,1875728,0.017391304347825987
2000-06-21,2680,2680,2600,2630,1358000,0.02175602175602176
2000-06-22,2780,2780,2660,2700,2601000,0.026615969581748944
2000-06-23,2704,2740,2700,2730,1872000,0.011111111111111072
2000-06-26,2740,2750,2660,2730,5166000,0.0
2000-06-27,2730,2800,2690,2750,6418000,0.0073260073260073
