Date,Open,High,Low,Close,Volume,Change
2000-04-27,1507,1520,1322,1380,408134,
2000-04-28,1342,1480,1310,1345,440401,-0.025362318840579712
2000-05-02,1379,1406,1317,1372,492800,0.02007434944237918
2000-05-03,1337,1402,1337,1375,357455,0.0021865889212828726
2000-05-04,1337,1535,1337,1470,766151,0.06909090909090909
2000-05-08,1507,1639,1474,1552,698099,0.05578231292517
2000-05-09,1527,1527,1435,1510,326695,-0.027061855670103108
2000-05-10,1552,1687,1475,1690,350617,0.11920529801324498
2000-05-12,1887,1887,1887,1890,25324,0.11834319526627213
2000-05-15,2114,2114,2114,2117,123968,0.12010582010582005
2000-05-16,2367,2367,2367,2370,96635,0.11950873878129431
2000-05-17,2649,2649,2497,2652,1443754,0.11898734177215187
2000-05-18,2650,2965,2335,2970,2895105,0.11990950226244346
2000-05-19,3319,3319,2609,2612,2461604,-0.1205387205387205
2000-05-22,2297,2297,2297,2302,7964,-0.11868300153139355
2000-05-23,2022,2022,2022,2025,8908,-0.12033014769765427
2000-05-24,1779,1779,1779,1782,13445,-0.12
2000-05-25,1584,1992,1584,1997,4124546,0.12065095398428727
2000-05-26,1992,2060,1757,1760,1335288,-0.11867801702553826
2000-05-29,1547,1547,1547,1550,49581,-0.11931818181818177
2000-05-30,1474,1729,1474,1577,1398420,0.0174193548387096
2000-05-31,1697,1759,1612,1762,1485948,0.11731135066582121
2000-06-01,1757,1955,1572,1740,1723958,-0.012485811577752526
2000-06-02,1770,1870,1670,1695,979720,-0.025862068965517238
2000-06-05,1640,1890,1640,1895,1549205,0.11799410029498536
2000-06-07,2004,2116,1814,1962,2508109,0.035356200527704384
2000-06-08,1984,2194,1844,2197,3150093,0.11977573904179417
2000-06-09,2194,2426,1929,1932,1682950,-0.12061902594446972
2000-06-12,1870,2032,1835,1885,1446449,-0.02432712215320909
2000-06-13,1955,2025,1770,1905,1033536,0.010610079575596787
2000-06-14,1899,1946,1737,1772,752111,-0.06981627296587922
2000-06-15,1770,1895,1640,1675,1152310,-0.05474040632054178
