Date,Open,High,Low,Close,Volume,Change
2000-04-26,245932,245932,223283,226526,162786,
2000-04-27,215196,224907,199345,203876,116989,-0.09998852228883215
2000-04-28,199659,213570,197398,202251,92155,-0.00797053110714352
2000-05-02,203217,226518,200627,226526,237591,0.12002412843447008
2000-05-03,226510,242690,217129,230726,194970,0.018540918040313326
2000-05-04,229759,236872,220040,227821,164190,-0.012590691989632696
2000-05-08,226517,242697,226517,229760,233957,0.008511067899798608
2000-05-09,220041,231370,220041,226526,88540,-0.014075557103064074
2000-05-10,225873,250460,223282,245940,383505,0.08570318638920038
2000-05-12,239462,265354,229759,242705,430986,-0.013153614702772987
2000-05-15,255650,266979,231376,257920,1235958,0.06268927298572335
2000-05-16,258877,258877,239462,245940,302156,-0.04644851116625315
2000-05-17,246253,257260,226839,235907,438389,-0.04079450272424168
2000-05-18,218430,226515,207745,207754,223668,-0.11933940069603699
2000-05-19,184445,198999,182820,187688,229496,-0.09658538463760025
2000-05-22,177975,187356,165351,165360,198677,-0.11896338604492562
2000-05-23,158554,184114,145931,165682,411684,0.0019472665699080682
2000-05-24,153708,160185,145936,158569,244989,-0.04293164012988737
2000-05-25,152406,176035,152406,171185,515325,0.07956157887102777
2000-05-26,165030,168256,150782,168272,426124,-0.017016677863130547
2000-05-29,159856,162446,152098,155978,212180,-0.07306028335076542
2000-05-30,161336,171361,159196,171362,284927,0.09862929387477726
2000-05-31,179578,189236,178506,185312,507000,0.08140661290134332
2000-06-01,182451,182451,171360,177087,351154,-0.0443846054222069
2000-06-02,182444,192815,176719,178874,445155,0.010091085172824643
2000-06-05,186024,191749,180651,188891,573626,0.05600031306953501
2000-06-07,188874,194599,181724,188170,826163,-0.0038170161627605337
2000-06-08,191029,193174,171706,177800,501740,-0.055109741191475825
2000-06-09,171698,174204,165980,165989,289951,-0.06642857142857139
2000-06-12,166342,185655,166342,185664,543871,0.11853195091240987
2000-06-13,186745,203193,177087,180307,592225,-0.028853197173388523
2000-06-14,182804,186023,169920,173508,347223,-0.03770790928804757
2000-06-15,173498,173498,154176,157404,225244,-0.09281416418839472
2000-06-16,147025,162768,147025,156691,270659,-0.004529745114482453
2000-06-19,147746,158828,147746,153111,316248,-0.02284751517317518
2000-06-20,157403,162056,153831,157051,368161,0.02573296497312416
2000-06-21,168126,170279,163481,166349,540869,0.059203698161743645
2000-06-22,169215,178159,168134,177087,464710,0.06455103427132114
2000-06-23,166348,171000,164554,167782,228875,-0.05254479436661075
2000-06-26,159557,168854,159557,162777,449414,-0.02983037512963249
2000-06-27,164554,165980,155610,157404,586702,-0.033008348845352864
2000-06-28,155609,160974,154536,155618,348411,-0.01134659856166298
2000-06-29,154897,164554,153824,157404,548945,0.011476821447390373
2000-06-30,154176,159189,152751,157404,318598,0.0
2000-07-03,157050,160630,152398,155978,276916,-0.009059490228964906
2000-07-04,164562,164562,157411,161704,549761,0.036710305299465285
2000-07-05,159188,160974,143798,155618,218755,-0.03763666947014299
2000-07-06,150236,151670,143439,148459,275123,-0.046003675667339206
