Date,Open,High,Low,Close,Volume,Change
2003-12-29,17164,19224,15119,15685,173252,
2003-12-30,15478,17539,14755,17539,62054,0.11820210392094355
2004-01-02,17952,19634,17710,17746,98233,0.011802269228576412
2004-01-05,16855,17168,15618,15998,79083,-0.09850107066381153
2004-01-06,16502,16637,15800,16164,27815,0.010376297037129723
2004-01-07,16117,18063,16001,17235,36657,0.0662583518930957
2004-01-08,16815,17436,16366,16781,24519,-0.026341746446185144
2004-01-09,16825,18780,16825,18776,45333,0.11888445265478809
2004-01-12,18775,20564,18194,19049,96040,0.014539838091180313
2004-01-13,18987,19331,18467,18983,80295,-0.0034647488057115705
2004-01-14,18704,18805,17846,17882,52988,-0.05799926249802456
2004-01-15,17749,18022,16992,17508,49274,-0.020914886478022643
2004-01-16,17502,18082,16775,18018,54174,0.02912954078135699
2004-01-19,17711,19493,17711,19085,55121,0.05921855921855923
2004-01-20,19225,19674,18094,19635,158158,0.028818443804034644
2004-01-26,19916,20467,19573,19948,36915,0.015940921823274667
2004-01-27,19669,20114,19291,19736,38615,-0.010627631842791252
2004-01-28,19321,19902,19149,19564,32816,-0.00871503850830968
2004-01-29,18882,21902,18741,21868,66098,0.11776732774483745
2004-01-30,21631,23691,21322,23586,47726,0.07856228278763489
2004-02-02,23346,23857,22618,23206,37478,-0.016111252437886914
2004-02-03,22998,25196,22685,24717,40895,0.0651124709126949
2004-02-04,24372,25745,24065,25333,31095,0.024922118380062308
2004-02-05,25164,25750,23003,23413,39644,-0.075790470927249
2004-02-06,23347,23922,23069,23686,16052,0.011660188784008874
2004-02-09,23690,24518,23483,23550,13961,-0.005741788398209935
2004-02-10,23286,24348,23180,24035,17603,0.020594479830148726
2004-02-11,24033,24892,23857,24580,16659,0.022675265238194298
2004-02-12,24715,26261,23721,25712,35517,0.046053702196908075
2004-02-13,26084,26705,24710,26363,33601,0.02531891723708779
2004-02-16,26130,27469,25995,26778,30904,0.015741759283844692
2004-02-17,27807,27807,25646,26263,53480,-0.019232205541862668
2004-02-18,26266,27469,26266,26914,52341,0.024787724174694548
2004-02-19,27181,27768,26702,27117,30740,0.007542542914468209
2004-02-20,26948,27357,26155,26156,22276,-0.03543902349079908
2004-02-23,25670,27180,25635,26636,22944,0.01835142988224492
2004-02-24,26641,27121,25166,26056,19122,-0.02177504129749208
2004-02-25,25782,26262,24888,25263,28027,-0.030434448879336773
2004-02-26,25171,25651,24721,24823,18302,-0.01741677552151366
2004-02-27,24711,24711,23892,24545,11748,-0.011199290980139387
2004-03-02,24039,24039,23174,23413,36286,-0.04611937258097376
2004-03-03,23347,26192,23235,26192,61048,0.11869474223721865
2004-03-04,26231,26917,25473,26434,33334,0.009239462431276824
2004-03-05,26433,26984,25949,26192,15067,-0.009154876295679792
2004-03-08,26085,26085,25060,25263,12606,-0.03546884544899209
2004-03-09,24923,26438,24236,25197,11447,-0.0026125163282270103
2004-03-10,24923,25196,24443,24717,8815,-0.019049886891296608
2004-03-11,24236,25398,23923,25126,14362,0.016547315612736258
2004-03-12,25058,25058,22139,23105,41581,-0.08043460956777837
2004-03-15,23134,23993,22999,22999,20835,-0.004587751568924436
2004-03-16,22654,23411,22483,22999,12967,0.0
2004-03-17,22826,24685,22801,24444,16700,0.06282881864428891
2004-03-18,24378,24857,24139,24823,18092,0.015504827360497409
2004-03-19,25126,25126,24474,24925,8630,0.004109092374007917
2004-03-22,25064,26616,24898,25303,67175,0.0151654964894683
2004-03-23,25438,25468,24711,25333,23838,0.0011856301624313392
2004-03-24,25131,25753,25131,25440,20864,0.0042237397860498405
2004-03-25,25574,25574,24892,25060,7816,-0.014937106918239018
2004-03-26,25402,25715,24715,25060,10829,0.0
2004-03-29,25237,27019,25237,26778,41349,0.06855546687948921
2004-03-30,26954,27469,26196,26778,16971,0.0
2004-03-31,26853,28434,26853,28152,34225,0.05131077750392121
2004-04-01,28353,28702,27838,28183,11051,0.0011011651037227121
2004-04-02,28045,29489,28045,28768,26589,0.020757194053152572
2004-04-06,29005,32061,28151,31239,59319,0.08589404894327024
2004-04-07,31727,31899,30424,30420,28500,-0.02621722846441943
2004-04-08,30960,32339,30895,32199,81387,0.05848126232741624
2004-04-09,31824,32198,31303,31754,26138,-0.013820304978415465
2004-04-12,31445,32410,30899,30966,25776,-0.024815771241418427
2004-04-13,31112,32521,30905,31416,31786,0.014532067428792761
2004-04-14,31854,32854,31415,31926,107878,0.016233766233766156
2004-04-16,32678,34152,32441,32957,127740,0.032293428553530124
2004-04-19,34157,35365,33748,34330,302500,0.04166034529841922
2004-04-20,35193,37946,34849,37250,237392,0.08505680163122631
2004-04-21,36735,39311,36048,37761,124702,0.01371812080536916
2004-04-22,37764,38794,35188,35704,125858,-0.05447419295039857
2004-04-23,36385,37244,35355,35871,93871,0.004677347075957794
2004-04-26,35875,36567,35188,35361,74199,-0.014217613113657324
2004-04-27,35179,37582,35012,37589,97088,0.06300726789400746
2004-04-28,37764,38108,35537,35533,65471,-0.05469685280268166
2004-04-29,34672,35530,31414,32612,76539,-0.08220527397067512
2004-04-30,31921,34491,31921,34498,62055,0.05783147307739478
2004-05-03,33991,37254,33375,36048,98419,0.04493014087773206
2004-05-04,36051,38795,35021,36735,223735,0.01905792276964058
2004-05-06,37421,37421,33476,33679,82796,-0.08319041785762893
2004-05-07,33646,35187,33476,34330,68338,0.019329552540158446
2004-05-10,34086,34324,30238,33229,104660,-0.03207107486163707
2004-05-11,32446,33233,31551,31618,49842,-0.0484817478708357
2004-05-12,32753,35365,32617,35361,156920,0.11838193434119804
2004-05-13,37421,39483,37078,39483,293638,0.11656910155255784
2004-05-14,40512,42059,37078,40342,235510,0.021756198870399812
2004-05-17,40851,41199,36735,37761,187200,-0.06397798820088241
2004-05-18,39138,42230,37941,42226,470619,0.11824369058022821
2004-05-19,43084,44281,41200,43257,379273,0.024416236442002637
2004-05-20,42229,42921,38107,38280,220977,-0.115056522643734
2004-05-21,39825,40856,38795,39483,145045,0.03142633228840119
2004-05-24,40345,40689,38632,39654,153302,0.004330977889218213
2004-05-25,38796,42059,38109,39999,246387,0.008700257224996122
2004-05-27,41715,44124,40689,42918,322831,0.0729768244206106
2004-05-28,44276,47372,43937,44969,307643,0.04778880656134965
2004-05-31,45660,46685,44968,45661,129130,0.015388378660855295
