Date,Open,High,Low,Close,Volume,Change
2002-02-15,3368,3368,3368,3368,78142,
2002-02-18,3772,3772,3772,3773,183004,0.12024940617577196
2002-02-19,3872,3915,3321,3322,871606,-0.11953352769679304
2002-02-20,3093,3173,2926,2968,678276,-0.10656231186032505
2002-02-21,3321,3321,3220,3322,402200,0.11927223719676561
2002-02-22,3199,3199,2926,2926,955634,-0.11920529801324509
2002-02-25,2837,3262,2736,2947,587528,0.0071770334928229484
2002-02-26,2947,3010,2737,2737,218320,-0.07125890736342044
2002-02-27,2703,2779,2534,2581,379496,-0.05699671172816956
2002-02-28,2644,2644,2526,2556,205528,-0.009686168151879171
2002-03-04,2610,2702,2589,2703,241038,0.057511737089201986
2002-03-05,2753,3018,2648,2829,679552,0.04661487236404005
2002-03-06,2905,2918,2758,2775,189622,-0.019088016967126142
2002-03-07,2867,3043,2791,2985,392368,0.07567567567567557
2002-03-08,2863,3040,2863,2918,218130,-0.022445561139028514
2002-03-11,3023,3238,2977,3200,365044,0.09664153529814934
2002-03-12,3158,3284,2960,3074,210898,-0.03937500000000005
2002-03-13,3072,3093,2947,2985,142690,-0.028952504879635632
2002-03-14,2926,2947,2808,2834,119260,-0.05058626465661642
2002-03-15,2904,3093,2829,2905,301416,0.025052928722653522
2002-03-18,2883,2988,2862,2863,177790,-0.014457831325301207
2002-03-19,2904,2954,2833,2850,280672,-0.00454069158225634
2002-03-20,2841,2946,2820,2850,284994,0.0
2002-03-21,2824,2874,2761,2762,265420,-0.03087719298245617
2002-03-22,2804,2939,2737,2939,443942,0.06408399710354806
2002-03-25,3010,3128,2913,2918,558754,-0.007145287512759446
2002-03-26,2926,3052,2863,3040,275262,0.04180945853324203
2002-03-27,3140,3401,3056,3402,936318,0.11907894736842106
2002-03-28,3494,3566,3204,3272,964356,-0.038212815990593785
2002-03-29,3283,3401,3136,3389,430800,0.03575794621026884
2002-04-01,3430,3721,3309,3326,921352,-0.018589554440837985
2002-04-02,3368,3410,3128,3158,329836,-0.05051112447384243
2002-04-03,3157,3283,2909,3010,374030,-0.04686510449651682
2002-04-04,3010,3035,2884,2935,188956,-0.02491694352159468
2002-04-08,2909,3006,2909,2952,128682,0.005792163543441253
2002-04-09,2981,3254,2951,3074,432392,0.04132791327913288
2002-04-10,3043,3051,2707,2707,332972,-0.1193884189980482
2002-04-11,2741,2791,2640,2699,169376,-0.002955301071296601
2002-04-12,2657,2821,2648,2775,121000,0.028158577250833705
2002-04-15,2820,2967,2736,2926,213710,0.054414414414414525
2002-04-16,2926,2939,2766,2880,178048,-0.015721120984278913
2002-04-17,2880,2930,2766,2796,182742,-0.029166666666666674
2002-04-18,2795,2842,2652,2695,128604,-0.036123032904148755
2002-04-19,2779,2779,2652,2678,116558,-0.00630797773654912
2002-04-22,2719,2904,2361,2429,219266,-0.09297983569828228
2002-04-23,2403,2651,2168,2530,155422,0.04158089748867844
2002-04-24,2412,2547,2336,2358,36724,-0.06798418972332021
2002-04-25,2084,2463,2075,2076,232316,-0.11959287531806617
2002-04-26,1958,2084,1894,1962,748960,-0.054913294797687806
2002-04-29,1961,1961,1746,1768,226374,-0.09887869520897041
2002-04-30,1772,1852,1663,1781,403808,0.007352941176470562
2002-05-02,1798,1873,1768,1874,694044,0.05221785513756316
2002-05-03,1893,1893,1776,1831,273886,-0.02294557097118466
2002-05-06,1852,2050,1831,2050,873962,0.11960677225559802
2002-05-07,2063,2176,1958,2042,836018,-0.0039024390243902474
2002-05-08,2104,2147,1999,2147,677930,0.05142017629774731
2002-05-09,2231,2315,2147,2274,1292672,0.05915230554261752
2002-05-10,2205,2264,2003,2063,509462,-0.09278803869832897
2002-05-13,1990,2020,1885,1886,357748,-0.08579738245273871
2002-05-14,1928,1945,1878,1882,240938,-0.0021208907741251393
2002-05-15,1899,1966,1899,1958,247062,0.040382571732199724
2002-05-16,2000,2000,1890,1899,210344,-0.030132788559754875
2002-05-17,1932,1936,1873,1899,203436,0.0
2002-05-20,1915,1979,1915,1975,285794,0.040021063717746275
2002-05-21,1995,2071,1920,2055,498526,0.040506329113924044
2002-05-22,2062,2112,1995,2067,560122,0.005839416058394109
2002-05-23,2118,2122,1958,1958,351772,-0.05273343009192066
2002-05-24,1906,1952,1768,1810,244060,-0.07558733401430029
2002-05-27,1738,1810,1595,1810,491954,0.0
2002-05-28,1915,2025,1722,1722,718964,-0.048618784530386705
2002-05-29,1683,1738,1599,1671,171978,-0.029616724738675937
2002-05-30,1633,1683,1570,1663,105188,-0.004787552363853975
2002-05-31,1692,1822,1692,1726,272084,0.03788334335538179
2002-06-03,1712,1733,1599,1608,74738,-0.06836616454229427
2002-06-04,1562,1608,1515,1579,89230,-0.018034825870646753
2002-06-05,1599,1662,1586,1587,101702,0.005066497783407176
2002-06-07,1683,1683,1477,1549,78120,-0.02394454946439828
2002-06-10,1549,1579,1511,1537,77364,-0.007746933505487386
2002-06-11,1557,1570,1520,1541,50478,0.002602472348731233
2002-06-12,1520,1557,1515,1558,75158,0.011031797534068799
2002-06-14,1642,1663,1553,1558,42620,0.0
2002-06-17,1557,1578,1540,1570,56772,0.007702182284980763
2002-06-18,1570,1612,1536,1554,77562,-0.010191082802547768
2002-06-19,1527,1556,1397,1465,154340,-0.057271557271557305
2002-06-20,1410,1473,1389,1474,55054,0.006143344709897525
2002-06-21,1419,1444,1360,1402,116352,-0.048846675712347354
2002-06-24,1368,1461,1360,1360,392094,-0.029957203994293913
2002-06-25,1381,1381,1246,1263,127656,-0.07132352941176467
2002-06-26,1186,1262,1111,1111,86958,-0.12034837688044342
2002-06-27,1061,1141,1056,1116,266290,0.004500450045004545
2002-06-28,1120,1212,1094,1179,90274,0.056451612903225756
2002-07-02,1157,1220,1132,1204,71016,0.02120441051738764
2002-07-03,1179,1242,1179,1234,72714,0.024916943521594792
2002-07-04,1259,1263,1200,1263,160566,0.023500810372771408
2002-07-05,1259,1343,1111,1301,325000,0.0300870942201108
2002-07-08,1367,1426,1262,1284,148090,-0.013066871637202104
2002-07-09,1245,1363,1245,1326,122048,0.032710280373831724
2002-07-10,1330,1464,1325,1368,97036,0.03167420814479649
2002-07-11,1355,1494,1326,1377,392858,0.006578947368421018
2002-07-12,1413,1413,1359,1368,193932,-0.006535947712418277
2002-07-15,1363,1380,1334,1347,134884,-0.015350877192982448
2002-07-16,1326,1360,1225,1259,172694,-0.06533036377134371
2002-07-18,1224,1291,1224,1229,104442,-0.023828435266084247
