Date,Open,High,Low,Close,Volume,Change
2013-07-01,9840,11300,9840,11300,3800,
2013-07-02,12950,12950,12950,12950,3200,0.14601769911504414
2013-07-03,14500,14500,14200,14200,4000,0.09652509652509655
2013-07-04,13500,13500,13000,13000,2400,-0.08450704225352113
2013-07-05,13000,13000,13000,13000,600,0.0
2013-07-08,12000,12700,11950,12650,3500,-0.02692307692307694
2013-07-09,12900,13000,12900,13000,1100,0.027667984189723382
2013-07-10,13500,14500,13500,14500,6400,0.11538461538461542
2013-07-11,15000,15000,15000,15000,3100,0.034482758620689724
2013-07-12,14950,15050,14950,15050,6100,0.0033333333333334103
2013-07-15,14950,14950,14950,14950,2300,-0.006644518272425293
2013-07-16,15000,15000,14950,14950,13000,0.0
2013-07-17,14950,15000,14950,15000,15500,0.0033444816053511683
2013-07-18,15000,15400,15000,15400,23000,0.026666666666666616
2013-07-19,15100,17500,15100,17500,19600,0.13636363636363646
2013-07-22,17500,18000,17000,17650,13600,0.008571428571428674
2013-07-23,18000,18000,17150,17150,10400,-0.028328611898016942
2013-07-24,17500,17500,16950,17000,5200,-0.008746355685131157
2013-07-25,16950,16950,16950,16950,1100,-0.002941176470588225
2013-07-26,16600,16600,16300,16450,4600,-0.029498525073746285
2013-07-29,16650,16800,16650,16800,2300,0.02127659574468077
2013-07-30,16000,16600,15950,16450,5900,-0.02083333333333337
2013-07-31,16400,16400,15900,16000,2300,-0.027355623100303927
2013-08-01,16000,16000,15950,16000,6300,0.0
2013-08-02,16500,16500,15500,15950,8000,-0.0031250000000000444
2013-08-05,16400,17500,16400,17000,8600,0.0658307210031348
2013-08-06,17550,17550,17300,17300,5700,0.01764705882352935
2013-08-07,17300,18000,17100,17400,7600,0.005780346820809301
2013-08-08,18000,19500,18000,19000,12200,0.09195402298850586
2013-08-09,19000,19000,19000,19000,10400,0.0
2013-08-12,19000,19000,19000,19000,7000,0.0
2013-08-13,19000,19000,19000,19000,10000,0.0
2013-08-14,19500,19500,19500,19500,300,0.026315789473684292
2013-08-16,19500,19500,19000,19400,300,-0.00512820512820511
2013-08-19,18600,18800,18600,18800,1300,-0.030927835051546393
2013-08-20,19000,19000,19000,19000,300,0.010638297872340496
2013-08-21,19000,19000,19000,19000,3600,0.0
2013-08-22,0,0,0,18500,0,-0.02631578947368418
2013-08-23,19000,19000,19000,19000,14100,0.027027027027026973
2013-08-26,19000,19000,19000,19000,4600,0.0
2013-08-27,18500,19000,18500,19000,8100,0.0
2013-08-28,19000,19000,18500,18500,2600,-0.02631578947368418
2013-08-29,19500,19500,19000,19000,4100,0.027027027027026973
2013-08-30,18500,19000,18500,19000,2700,0.0
2013-09-02,19000,19000,18500,19000,3600,0.0
2013-09-03,18500,19000,18500,19000,600,0.0
2013-09-04,19000,19000,18500,19000,2600,0.0
2013-09-05,19000,19000,19000,19000,1000,0.0
2013-09-06,0,0,0,19000,0,0.0
2013-09-09,19000,19000,18500,18500,200,-0.02631578947368418
2013-09-10,18700,18750,18700,18750,900,0.013513513513513598
2013-09-11,18500,18500,18500,18500,1000,-0.013333333333333308
2013-09-12,18500,18500,18500,18500,3500,0.0
2013-09-13,18900,18900,18900,18900,600,0.021621621621621623
2013-09-16,0,0,0,18500,0,-0.021164021164021163
2013-09-17,17700,18300,17700,18300,300,-0.010810810810810811
2013-09-23,18250,18250,18250,18250,100,-0.002732240437158473
2013-09-24,17900,17900,17900,17900,2800,-0.019178082191780854
2013-09-25,18000,18000,17500,17500,600,-0.022346368715083775
2013-09-26,18000,18000,17600,17600,600,0.005714285714285783
2013-09-27,17800,17800,17800,17800,600,0.011363636363636465
2013-09-30,0,0,0,17500,0,-0.016853932584269704
2013-10-01,17400,20000,17400,20000,4000,0.1428571428571428
2013-10-02,19500,19500,17200,17200,3000,-0.14
2013-10-04,17200,17200,17200,17200,3000,0.0
2013-10-07,17200,17200,17200,17200,2000,0.0
2013-10-08,18500,18500,18500,18500,6000,0.07558139534883712
2013-10-10,18000,20500,18000,20500,8100,0.10810810810810811
2013-10-11,18500,18500,18500,18500,1000,-0.09756097560975607
2013-10-14,18200,19500,18200,19500,1800,0.054054054054053946
2013-10-15,0,0,0,19000,0,-0.02564102564102566
2013-10-16,18700,18700,18700,18700,500,-0.015789473684210575
2013-10-17,18500,19000,18500,19000,3200,0.016042780748663166
2013-10-18,0,0,0,18500,0,-0.02631578947368418
2013-10-21,18200,18200,18000,18000,5500,-0.027027027027026973
2013-10-22,18000,18000,18000,18000,2200,0.0
2013-10-23,18500,18500,18500,18500,100,0.02777777777777768
2013-10-24,0,0,0,18200,0,-0.01621621621621616
2013-10-25,0,0,0,18200,0,0.0
2013-10-28,18200,18200,18200,18200,2000,0.0
2013-10-29,20000,20000,20000,20000,1700,0.098901098901099
2013-10-30,18500,19000,18500,19000,1600,-0.050000000000000044
2013-10-31,19000,19000,18500,18500,5000,-0.02631578947368418
2013-11-01,18300,18300,18000,18000,2800,-0.027027027027026973
2013-11-04,17800,17800,17200,17700,3000,-0.01666666666666672
2013-11-05,17700,17700,17700,17700,2000,0.0
2013-11-06,0,0,0,17600,0,-0.005649717514124242
2013-11-07,17600,17600,17600,17600,5000,0.0
2013-11-08,18350,18350,18300,18300,200,0.03977272727272729
2013-11-11,0,0,0,18000,0,-0.016393442622950838
2013-11-12,17950,17950,17900,17900,17000,-0.005555555555555536
2013-11-13,17900,17900,17900,17900,1000,0.0
2013-11-14,17900,17900,17900,17900,3700,0.0
2013-11-15,18000,18500,17900,18500,1100,0.033519553072625774
2013-11-18,18500,18500,18400,18500,2100,0.0
2013-11-19,18500,18500,18400,18400,2500,-0.00540540540540535
2013-11-20,18400,18400,18350,18350,1800,-0.0027173913043477826
2013-11-21,18300,18350,18300,18350,800,0.0
