Date,Open,High,Low,Close,Volume,Change
2010-07-28,10807,12241,9206,9206,9469026,
2010-07-29,8972,9339,8338,8739,3418180,-0.05072778622637408
2010-07-30,8738,8805,8005,8005,1465590,-0.08399130335278637
2010-08-02,8171,9139,8171,8272,2145240,0.03335415365396632
2010-08-03,8472,8905,8438,8539,1153714,0.03227756286266925
2010-08-04,8638,8638,8138,8272,541012,-0.03126829839559664
2010-08-05,8338,9506,8238,9506,1898399,0.14917794970986464
2010-08-06,9672,10073,9005,9306,2193540,-0.021039343572480496
2010-08-09,10140,10674,9873,10674,2471413,0.14700193423597674
2010-08-10,10807,11240,10173,10807,1664311,0.012460183623758558
2010-08-11,10739,11373,10439,11040,1080073,0.021560099935227228
2010-08-12,10707,11607,10640,11441,909105,0.036322463768115876
2010-08-13,11574,11707,11107,11241,505247,-0.017480989424001447
2010-08-16,11073,11107,10206,10540,685188,-0.06236099991103994
2010-08-17,10740,11040,10506,10807,489612,0.0253320683111955
2010-08-18,10906,11440,10873,11307,654659,0.04626630887387795
2010-08-19,11206,11240,10840,10840,331626,-0.04130184841248785
2010-08-20,10606,10873,10139,10340,408868,-0.04612546125461259
2010-08-23,10306,10706,9739,10340,890744,0.0
2010-08-24,10406,10473,9906,9906,251632,-0.04197292069632497
2010-08-25,9805,10106,9639,9906,163665,0.0
2010-08-26,10106,10973,9672,9873,1036784,-0.0033313143549363877
2010-08-27,9906,10339,9872,9906,272039,0.0033424491036160298
2010-08-30,10106,10306,9673,9673,299845,-0.02352109832424798
2010-08-31,9505,9972,9339,9806,319263,0.013749612322960791
2010-09-01,9906,10207,9906,10207,212974,0.04089333061390987
2010-09-02,10240,10607,10173,10307,177072,0.009797198001371576
2010-09-03,10306,10473,10139,10173,128109,-0.013000873192975604
2010-09-06,10840,11273,10506,10540,654038,0.03607588715226573
2010-09-07,10606,10639,10272,10273,173536,-0.0253320683111955
2010-09-08,10139,10673,10106,10340,244605,0.006521950744670546
2010-09-09,10273,10539,10106,10173,125863,-0.016150870406189566
2010-09-10,10206,10306,9839,10006,223075,-0.016416003145581448
2010-09-13,10139,10172,9872,10006,140643,0.0
2010-09-14,10039,10039,9739,9906,131112,-0.009994003597841306
2010-09-15,9873,10240,9706,10140,172902,0.023622047244094446
2010-09-16,10073,10307,10073,10207,133770,0.006607495069033575
2010-09-17,10273,10506,10206,10340,170994,0.013030273341824161
2010-09-20,10807,11841,10673,11274,1601973,0.09032882011605414
2010-09-24,11340,11507,10739,11507,695243,0.020667021465318403
2010-09-27,11707,12841,11541,12008,1449992,0.04353871556443911
2010-09-28,11941,12208,11741,12108,315983,0.008327781479013918
2010-09-29,12241,12241,11841,11908,297620,-0.01651800462504127
2010-09-30,11740,11907,11407,11474,311218,-0.03644608666442728
2010-10-01,11507,11641,11274,11608,267316,0.011678577653825961
2010-10-04,11707,11740,11274,11274,293800,-0.028773259820813246
2010-10-05,11274,12675,11074,12475,1049251,0.1065282951924782
2010-10-06,13175,13609,12942,13409,1614753,0.07486973947895792
2010-10-07,13342,13876,13108,13876,477036,0.03482735476172727
2010-10-08,13809,14142,13408,13809,471782,-0.00482848083021048
2010-10-11,13809,14743,13442,13709,563231,-0.00724165399377219
2010-10-12,13675,14676,13208,14676,735495,0.07053760303450285
2010-10-13,14442,15309,14375,14876,829398,0.013627691469065173
2010-10-14,14676,14843,14343,14343,420329,-0.03582952406560902
2010-10-15,14309,14742,14075,14209,255819,-0.009342536428920023
2010-10-18,14009,14142,13442,13609,428628,-0.04222675768878881
2010-10-19,13642,14109,13242,13309,473608,-0.02204423543243439
2010-10-20,13208,13909,13142,13509,300560,0.015027425050717635
2010-10-21,13742,13909,13475,13676,200143,0.012362128951069584
2010-10-22,13675,13842,13408,13609,190397,-0.004899093302135116
2010-10-25,13542,13975,13208,13242,353016,-0.02696744801234474
2010-10-26,13409,13575,12808,12842,346019,-0.03020691738408099
2010-10-27,12875,12908,12408,12875,437260,0.0025696931942065238
2010-10-28,12942,13442,12875,13309,337060,0.03370873786407769
2010-10-29,13441,13441,12541,12808,322703,-0.03764369975204751
2010-11-01,12675,13075,12608,12942,198040,0.010462211118051234
2010-11-02,13008,13742,12942,13309,383711,0.02835728635450474
2010-11-03,13242,13508,13042,13042,193439,-0.020061612442707988
2010-11-04,13108,13241,12841,12908,149149,-0.010274497776414648
2010-11-05,13008,13108,12608,12675,193850,-0.01805082119615742
2010-11-08,12675,12942,12541,12642,99349,-0.002603550295858015
2010-11-09,12807,12807,12340,12541,152485,-0.007989242208511271
2010-11-10,12508,13109,12508,13109,224732,0.04529144406347174
2010-11-11,13008,13442,12941,13242,265486,0.010145701426500953
2010-11-12,13342,13375,12341,12775,290168,-0.035266576045914544
2010-11-15,12941,13542,12841,13542,734452,0.06003913894324864
2010-11-16,13475,14109,13375,13509,669716,-0.0024368630926008272
2010-11-17,13208,13308,12808,12975,281310,-0.03952920275371974
2010-11-18,13075,13575,13041,13442,188106,0.03599229287090555
2010-11-19,13509,13709,13208,13409,165932,-0.002454991816693952
2010-11-22,13408,13475,12874,12975,221947,-0.03236632112760085
2010-11-23,12975,13142,12742,12742,134239,-0.017957610789980705
2010-11-24,12007,12741,12007,12541,163682,-0.01577460367289285
2010-11-25,12808,12808,12541,12608,60862,0.005342476676501118
2010-11-26,12607,12674,11907,12141,182416,-0.03703997461928932
2010-11-29,12141,12341,11941,12275,104303,0.011036982126678252
2010-11-30,12174,12474,12107,12241,90544,-0.0027698574338085313
2010-12-01,12341,12875,12241,12775,165244,0.04362388693734176
2010-12-02,12842,12842,12575,12742,58435,-0.002583170254403133
2010-12-03,12842,12842,12341,12742,70162,0.0
2010-12-06,12808,12941,12541,12608,63463,-0.010516402448595197
2010-12-07,12674,12741,12307,12341,95962,-0.02117703045685282
