Date,Open,High,Low,Close,Volume,Change
2015-06-17,1407,1407,1407,1407,0,
2015-06-18,1612,1612,1612,1612,0,0.14570007107320548
2015-06-19,1851,1851,1851,1851,751,0.1482630272952854
2015-06-22,2124,2124,2124,2124,0,0.14748784440842777
2015-06-23,2442,2442,2442,2442,0,0.14971751412429368
2015-06-24,2807,2807,2807,2807,0,0.14946764946764945
2015-06-25,2812,2840,2812,2840,2406,0.011756323477021713
2015-06-26,2927,2927,2927,2927,0,0.030633802816901312
2015-06-29,3246,3246,3246,3246,0,0.10898530919029725
2015-06-30,3246,3246,3246,3246,0,0.0
2015-07-01,3318,3318,3318,3318,0,0.022181146025878062
2015-07-02,3664,3664,3664,3664,0,0.10427968655816766
2015-07-03,3756,3756,3756,3757,0,0.025382096069868965
2015-07-06,3916,3916,3916,3916,0,0.042321000798509534
2015-07-07,3916,3916,3916,3916,751,0.0
2015-07-08,3916,3916,3916,3916,0,0.0
2015-07-09,3916,3916,3916,3916,0,0.0
2015-07-10,3895,3895,3882,3883,22592,-0.008426966292134797
2015-07-13,3882,3882,3882,3883,0,0.0
2015-07-14,3882,3882,3882,3883,0,0.0
2015-07-15,3882,3882,3882,3883,0,0.0
2015-07-16,3876,3876,3876,3876,0,-0.0018027298480556286
2015-07-17,3876,3876,3876,3876,0,0.0
2015-07-20,3876,3876,3876,3876,0,0.0
2015-07-21,3876,3876,3876,3876,0,0.0
2015-07-22,3876,3876,3876,3876,0,0.0
2015-07-23,3876,3876,3876,3876,0,0.0
2015-07-24,3298,3298,3298,3299,751,-0.14886480908152733
2015-07-27,3298,3298,3298,3299,0,0.0
2015-07-28,3318,3318,3318,3318,38035,0.005759321006365559
2015-07-29,3318,3318,3318,3318,38263,0.0
2015-07-30,3186,3186,3186,3186,372,-0.039783001808318286
2015-07-31,3019,3186,3019,3186,827,0.0
2015-08-03,3026,3026,3026,3027,674,-0.04990583804143123
2015-08-04,3026,3026,3026,3027,7379,0.0
2015-08-05,3026,3026,3026,3027,6775,0.0
2015-08-06,3120,3120,3120,3120,0,0.0307234886025769
2015-08-07,3120,3120,3120,3120,0,0.0
2015-08-10,3120,3120,3120,3120,0,0.0
2015-08-11,3120,3120,3120,3120,0,0.0
2015-08-12,3120,3120,3120,3120,0,0.0
2015-08-13,3120,3120,3120,3120,0,0.0
