Date,Open,High,Low,Close,Volume,Change
2013-04-19,932,967,912,951,5162849,
2013-04-22,954,956,926,957,1673501,0.006309148264984188
2013-04-23,956,969,955,970,1124443,0.013584117032392928
2013-04-24,968,971,954,955,696453,-0.015463917525773141
2013-04-25,962,962,949,953,683702,-0.0020942408376963817
2013-04-26,962,962,953,957,539023,0.0041972717733473885
2013-04-29,958,961,952,954,290504,-0.0031347962382445305
2013-04-30,953,955,948,954,549009,0.0
2013-05-02,948,954,948,950,245889,-0.004192872117400381
2013-05-03,950,962,950,960,412984,0.010526315789473717
2013-05-06,952,962,950,961,234324,0.0010416666666666075
2013-05-07,960,961,956,958,192703,-0.003121748178980255
2013-05-08,966,966,956,960,205005,0.0020876826722338038
2013-05-09,962,962,956,957,344246,-0.0031250000000000444
2013-05-10,956,962,956,963,603862,0.006269592476489061
2013-05-13,962,962,956,957,192933,-0.006230529595015577
2013-05-14,956,962,954,962,246365,0.0052246603970742544
2013-05-15,961,965,961,966,355039,0.004158004158004047
2013-05-16,965,967,962,963,276429,-0.0031055900621117516
2013-05-20,962,966,961,962,224977,-0.0010384215991692258
2013-05-21,963,963,956,961,294373,-0.0010395010395010118
2013-05-22,957,958,955,959,189131,-0.002081165452653466
2013-05-23,955,961,952,955,146756,-0.004171011470281538
2013-05-24,954,964,954,960,259029,0.005235602094240788
2013-05-27,966,973,958,973,1257998,0.013541666666666563
2013-05-28,971,971,964,968,561425,-0.005138746145940343
2013-05-29,970,977,967,975,749079,0.00723140495867769
2013-05-30,975,979,973,978,735215,0.003076923076922977
2013-05-31,976,980,973,976,699175,-0.002044989775051076
2013-06-03,973,979,973,978,301787,0.002049180327868827
2013-06-04,975,979,975,979,476839,0.0010224948875254825
2013-06-05,976,981,976,979,385271,0.0
2013-06-07,978,983,972,980,276897,0.0010214504596526286
2013-06-10,975,978,975,978,175506,-0.0020408163265306367
2013-06-11,977,977,971,977,269288,-0.0010224948875255935
2013-06-12,974,975,972,973,423702,-0.004094165813715467
2013-06-13,972,976,964,972,393038,-0.0010277492291880241
2013-06-14,972,973,970,973,350178,0.0010288065843622185
2013-06-17,972,974,969,970,288784,-0.0030832476875641834
2013-06-18,969,973,969,973,307936,0.003092783505154628
2013-06-19,972,972,967,968,299405,-0.005138746145940343
2013-06-20,963,970,953,959,477187,-0.009297520661157077
2013-06-21,954,958,933,944,523475,-0.015641293013555768
2013-06-24,952,952,935,943,350871,-0.0010593220338983578
2013-06-25,944,949,939,940,624742,-0.0031813361611876534
2013-06-26,942,959,942,953,252607,0.01382978723404249
2013-06-27,969,969,957,963,189744,0.01049317943336825
2013-06-28,969,969,960,964,279971,0.0010384215991692258
2013-07-01,966,966,961,966,149835,0.0020746887966804906
2013-07-02,964,964,959,964,102149,-0.0020703933747412417
2013-07-03,962,967,957,962,199928,-0.0020746887966804906
2013-07-04,965,967,959,964,281868,0.0020790020790020236
2013-07-05,963,967,958,968,151740,0.004149377593360981
2013-07-08,969,969,957,962,506361,-0.006198347107438051
2013-07-09,965,965,954,962,329439,0.0
2013-07-10,959,961,952,962,137590,0.0
2013-07-11,964,965,955,964,148503,0.0020790020790020236
2013-07-12,966,966,958,964,40270,0.0
2013-07-15,958,965,957,966,84533,0.0020746887966804906
2013-07-16,963,965,958,966,40716,0.0
2013-07-17,965,965,960,964,112462,-0.0020703933747412417
2013-07-18,958,963,957,964,107685,0.0
2013-07-19,960,963,955,964,228224,0.0
2013-07-22,961,963,959,964,105766,0.0
2013-07-23,963,969,959,970,193140,0.006224066390041472
2013-07-24,962,969,959,962,115876,-0.008247422680412342
2013-07-25,965,965,958,960,163230,-0.0020790020790020236
2013-07-26,960,965,960,965,99419,0.005208333333333259
2013-07-29,965,967,959,965,275803,0.0
2013-07-30,960,965,959,964,182029,-0.0010362694300518616
2013-07-31,965,969,965,970,146236,0.006224066390041472
2013-08-01,969,971,968,971,194949,0.0010309278350515427
2013-08-02,967,971,967,971,100129,0.0
2013-08-05,970,970,968,970,78794,-0.001029866117404743
2013-08-06,967,967,964,966,50825,-0.004123711340206171
2013-08-07,964,965,961,964,234280,-0.0020703933747412417
2013-08-08,961,962,961,963,198901,-0.0010373443983402453
2013-08-09,973,973,961,963,147607,0.0
2013-08-12,962,963,960,963,267339,0.0
2013-08-13,962,962,959,962,258301,-0.0010384215991692258
2013-08-14,961,961,954,962,145142,0.0
2013-08-16,963,963,958,961,167557,-0.0010395010395010118
2013-08-19,962,962,959,962,345926,0.0010405827263266776
2013-08-20,959,960,957,958,272618,-0.004158004158004158
2013-08-21,956,959,955,958,148811,0.0
2013-08-22,957,957,954,956,193122,-0.0020876826722338038
2013-08-23,956,959,954,958,156883,0.0020920502092049986
2013-08-26,957,959,957,959,30086,0.0010438413361169019
2013-08-27,961,961,955,958,202425,-0.0010427528675703845
2013-08-28,962,962,955,957,117305,-0.0010438413361169019
2013-08-29,961,963,948,950,778097,-0.007314524555903867
2013-08-30,949,953,947,953,270770,0.0031578947368420263
