Date,Open,High,Low,Close,Volume,Change
2010-07-30,72454,83320,72454,80433,295679,
2010-08-02,79298,79618,72858,73267,122839,-0.0890927852995661
2010-08-03,73419,74869,73260,73427,44004,0.0021837935223225635
2010-08-04,73419,75028,69230,73427,76910,0.0
2010-08-05,74465,74465,70360,70849,88334,-0.03510970079126208
2010-08-06,71005,78092,70925,77374,106210,0.09209727730807771
2010-08-09,76718,82116,76236,78097,95607,0.00934422415798597
2010-08-10,78249,78890,76640,77614,35199,-0.006184616566577428
2010-08-11,77202,78654,76398,77614,38795,0.0
2010-08-12,76559,77927,75671,75682,38387,-0.02489241631664385
2010-08-13,76077,76480,74306,74314,47250,-0.018075632250733387
2010-08-16,73821,78088,73739,78097,30760,0.05090561670748439
2010-08-17,77846,79378,76718,78902,35101,0.01030769427762901
2010-08-18,79700,82517,78891,82123,72038,0.04082279283161383
2010-08-19,81714,82921,78735,80513,45190,-0.01960473923261452
2010-08-20,80908,80908,78170,78260,51988,-0.02798305863649353
2010-08-23,78813,81714,78413,80513,37181,0.028788653207257875
2010-08-24,81316,87755,80508,86956,108885,0.08002434389477475
2010-08-25,86544,88557,83727,86150,71626,-0.009269055614333666
2010-08-26,87753,87753,83323,85746,56000,-0.004689495066744098
2010-08-27,84532,87753,83726,85746,36385,0.0
2010-08-30,87352,87352,83728,86552,20252,0.009399855386840184
2010-08-31,86143,89362,84936,88565,46097,0.023257694796191775
2010-09-01,88153,93385,87752,92993,61960,0.049997177214475164
2010-09-02,92581,93788,90969,92993,39524,0.0
2010-09-03,92581,94189,92180,92993,45051,0.0
2010-09-06,93384,94592,89765,89774,46860,-0.03461550869420282
2010-09-07,89765,90970,88961,89774,31143,0.0
2010-09-08,89361,91776,88556,89774,38529,0.0
2010-09-09,89765,91776,87753,90980,49910,0.013433733597700837
2010-09-10,90167,91375,88154,89774,51637,-0.013255660584743922
2010-09-13,90970,90970,86544,87760,47289,-0.022434112326508826
2010-09-14,86949,87754,85738,86150,45112,-0.01834548769371014
2010-09-15,86145,86951,80911,83735,63787,-0.028032501450957592
2010-09-16,84532,92181,84532,90579,106076,0.08173404191795552
2010-09-17,90972,96207,89363,95410,119692,0.05333465814371974
2010-09-20,96204,96609,91776,93395,70853,-0.021119379519966452
2010-09-24,92182,94594,90971,92189,43580,-0.012912896836019039
2010-09-27,92988,97817,90972,95812,85543,0.03929969953031276
2010-09-28,94996,96203,89764,94201,213785,-0.01681417776478933
2010-09-29,94998,94998,91777,91785,303751,-0.025647286122227997
2010-09-30,92584,94192,90972,92591,91113,0.008781391294873986
2010-10-01,93385,93385,90168,91785,75282,-0.008704949725135247
2010-10-04,91375,92986,88557,88967,60854,-0.030702184452797265
2010-10-05,89361,90167,85738,87760,97011,-0.013566828149763399
2010-10-06,87753,90970,87753,89774,78915,0.022948951686417418
2010-10-07,89765,93385,86143,88565,104317,-0.013467150845456355
2010-10-08,87753,88961,86544,87760,43890,-0.00908936938971372
2010-10-11,87350,88154,84934,84942,54763,-0.032110300820419324
2010-10-12,85738,88557,83322,88565,84933,0.04265263356172455
2010-10-13,88961,89765,85738,89774,56486,0.013650990797719142
2010-10-14,88557,89361,86544,87760,47025,-0.022434112326508826
2010-10-15,86950,88963,85740,87357,59591,-0.004592069279854116
2010-10-18,86544,88961,86143,88967,37270,0.018430120081962542
2010-10-19,88961,93384,88154,93395,105693,0.049771263502197405
2010-10-20,92182,94593,90971,91785,72228,-0.017238610203972327
2010-10-21,92182,92986,84532,88565,99563,-0.03508198507381377
2010-10-22,88557,88962,85337,86150,123409,-0.02726810816914127
2010-10-25,84129,84534,81717,83735,188908,-0.028032501450957592
2010-10-26,83320,84933,82920,83332,104936,-0.004812802292948004
2010-10-27,84534,84534,82520,83735,58947,0.004836077377238013
2010-10-28,80906,80906,76638,79787,242879,-0.04714874305845829
2010-10-29,79779,80102,78171,79709,44116,-0.0009776028676350412
2010-11-01,79701,79863,78333,79307,25843,-0.0050433451680488295
2010-11-02,78978,80104,78091,79307,29359,0.0
2010-11-03,79296,80264,77043,79628,76708,0.004047562005875971
2010-11-04,79618,80023,78091,79144,44548,-0.00607826392726174
2010-11-05,79056,79135,77927,78419,41046,-0.009160517537652901
2010-11-08,78170,78170,76639,77293,54900,-0.014358765095193737
2010-11-09,76723,77933,76723,77937,47839,0.008331931740261034
2010-11-10,77929,79941,77524,79709,69977,0.022736312662791747
2010-11-11,79779,79779,77204,77534,71375,-0.027286755573398214
2010-11-12,78088,78170,75108,77293,93427,-0.003108313772022586
2010-11-15,76560,77283,75592,76084,35607,-0.01564177868629757
2010-11-16,76399,76399,74306,74877,33933,-0.015864045002891514
2010-11-17,74065,74468,69877,73186,155098,-0.022583703941130073
2010-11-18,72210,72375,70841,71335,73878,-0.02529172246057987
2010-11-19,71488,72613,70682,72381,89035,0.014663208803532557
2010-11-22,71811,72456,70201,72300,42840,-0.0011190782111327735
2010-11-23,72378,73102,70769,71738,56548,-0.007773167358229638
2010-11-24,69639,73019,69232,72864,125185,0.015696004906744054
2010-11-25,73582,75353,72614,74877,62735,0.027626811594202882
2010-11-26,74868,74868,72051,72944,34069,-0.025815671033828758
2010-11-29,73019,74228,72053,73993,22907,0.014380894933099464
2010-11-30,73500,77043,73500,77051,59720,0.04132823375184147
2010-12-01,75995,77366,75271,77293,31708,0.003140776888035157
2010-12-02,76720,77768,75673,77534,48460,0.0031180055114952143
2010-12-03,76961,76961,73821,75682,97687,-0.02388629504475459
2010-12-06,76641,77607,74227,74877,60939,-0.010636611083216563
2010-12-07,75029,75272,72776,73106,65715,-0.023652122814749488
2010-12-08,73018,73340,70683,71013,140066,-0.028629661040133536
2010-12-09,71005,74872,69961,70449,237316,-0.0079422077647755
2010-12-10,70844,71249,69232,69724,165497,-0.010291132592371799
2010-12-13,69472,70358,69472,70206,62849,0.00691297114336531
2010-12-14,70197,71807,70197,71816,98352,0.022932512890636136
2010-12-15,71730,71809,70200,71174,99015,-0.008939512086443169
2010-12-16,71083,71083,70277,70849,29062,-0.004566274201253218
2010-12-17,70838,71163,69634,70206,40298,-0.009075639740857344
2010-12-20,69312,69719,68348,68678,71546,-0.021764521550864613
2010-12-21,68832,69961,68751,69644,78437,0.01406563965170804
2010-12-22,69557,71168,69155,70691,94227,0.015033599448624368
2010-12-23,71328,71488,70120,70530,57162,-0.00227751764722528
2010-12-24,70523,71005,70038,70128,41672,-0.005699702254359895
2010-12-27,70278,71488,70200,71174,65817,0.014915582934063476
2010-12-28,70842,71971,70682,71979,58115,0.011310309944642771
2010-12-29,69798,70762,68590,70772,38363,-0.016768779782992294
2010-12-30,71327,71488,70038,71496,53436,0.010230034476911731
2011-01-03,71488,71730,70362,71496,52385,0.0
2011-01-04,71244,71567,70118,70530,61182,-0.013511245384357218
2011-01-05,70523,70523,68268,68435,122704,-0.029703672196228603
2011-01-06,68429,68429,66737,66906,151462,-0.0223423686710017
2011-01-07,66821,66821,65852,66183,107460,-0.01080620572145996
2011-01-10,66253,67219,65931,66664,92849,0.0072677273620114224
2011-01-11,66654,67059,66092,66664,42168,0.0
2011-01-12,66252,66653,65368,65537,96196,-0.016905676227049082
2011-01-13,65530,65933,64403,64411,87600,-0.01718113432107049
2011-01-14,64643,65127,62954,65134,84677,0.01122479079660299
2011-01-17,65129,66175,64968,66183,61648,0.016105259925691673
2011-01-18,66253,66412,65446,66342,56432,0.00240242962694337
2011-01-19,66012,66255,64726,65377,53444,-0.0145458382321908
2011-01-20,64806,65210,64082,64411,55925,-0.014775838597671953
2011-01-21,64886,64967,63439,64411,36012,0.0
2011-01-24,63597,64161,62790,63443,45878,-0.01502848892269959
2011-01-25,63112,63755,62063,62074,57398,-0.021578424727708323
2011-01-26,61506,61987,59814,60303,109382,-0.028530463640171422
2011-01-27,60055,61424,58527,61190,91388,0.014709052617614349
2011-01-28,60616,61342,59249,60947,71149,-0.003971237130250049
2011-01-31,59896,60457,59411,59981,36651,-0.015849836743400014
2011-02-01,59976,63358,59976,62800,102425,0.046998216101765466
2011-02-07,63357,65611,63357,65377,126713,0.04103503184713375
2011-02-08,65692,65932,65048,65377,39360,0.0
2011-02-09,65692,65852,64321,65377,51084,0.0
2011-02-10,65612,67464,65129,67390,119306,0.030790645028067942
2011-02-11,67381,67381,65127,66583,78403,-0.011975070485235162
2011-02-14,66574,66574,64563,65779,61958,-0.0120751543186699
2011-02-15,65770,65770,64563,64972,22290,-0.012268353121816955
2011-02-16,63840,66012,63840,65215,25525,0.0037400726466785272
2011-02-17,64643,66254,64643,65859,34137,0.009875028751054282
2011-02-18,65449,66499,65210,66504,22463,0.009793650070605286
2011-02-21,66496,66818,65609,66583,43188,0.0011878984722724084
2011-02-22,66412,66574,64642,65779,30893,-0.0120751543186699
2011-02-23,64483,67299,64483,66664,59523,0.013454141899390315
2011-02-24,66414,67061,65851,66424,19838,-0.003600144005760253
2011-02-25,66818,66818,64965,65859,42708,-0.008505961700590148
2011-02-28,65129,65852,60861,64411,78506,-0.02198636480966909
2011-03-02,62793,64645,62793,63847,17397,-0.0087562683392588
2011-03-03,64000,65127,62471,62718,45550,-0.017682898178457918
2011-03-04,62549,64883,62146,64329,33277,0.025686405816512048
2011-03-07,64161,64400,63515,64006,14187,-0.005021063594957131
2011-03-08,64002,64403,63037,64089,32441,0.001296753429365971
2011-03-09,63839,63839,62871,63604,25844,-0.007567601304436011
2011-03-10,64081,64081,62631,62800,32015,-0.01264071442047665
2011-03-11,62472,63116,62067,62236,14593,-0.008980891719745254
2011-03-14,61585,62231,60380,61190,20683,-0.016806992737322446
2011-03-15,61183,61584,58687,61108,38386,-0.0013400882497139888
2011-03-16,59975,61742,59975,61108,12263,0.0
2011-03-17,60537,61021,59330,60062,28155,-0.017117235059239344
