Date,Open,High,Low,Close,Volume,Change
2005-12-26,21307,24484,21307,24484,1161759,
2005-12-27,28111,28111,27010,28111,1735782,0.14813755922234928
2005-12-28,28860,31861,28860,29911,2025517,0.06403187364376928
2005-12-29,31011,31011,28060,30011,701866,0.0033432516465514706
2006-01-02,29761,34513,29511,34513,724435,0.15001166239045682
2006-01-03,36063,39665,35763,39665,829861,0.1492770839973343
2006-01-04,41966,45567,38014,38765,1554222,-0.022690028992814804
2006-01-05,40065,43516,38614,41216,1173965,0.0632271378821101
2006-01-06,42516,44016,41065,41566,670056,0.008491847826086918
2006-01-09,41015,41265,37363,37564,565550,-0.09628061396333543
2006-01-10,37264,37364,34913,36264,541509,-0.034607603024172096
2006-01-11,36013,38765,35513,36164,413162,-0.0027575557026251474
2006-01-12,35513,36513,34612,34913,366140,-0.03459241234376731
2006-01-13,33862,36513,33112,35263,471705,0.010024919084581585
2006-01-16,35063,36464,35063,35714,277444,0.012789609505714283
2006-01-17,35613,36063,34513,34513,238671,-0.033628269026152235
2006-01-18,33962,34762,31061,32762,299939,-0.050734505838379795
2006-01-19,32511,34012,32511,32762,239555,0.0
2006-01-20,32762,33262,29760,29811,261782,-0.09007386606434287
2006-01-23,28110,29411,27510,28361,332926,-0.048639763845560346
2006-01-24,28361,29261,26510,27861,270850,-0.01762984379958399
2006-01-25,28410,32012,27760,28661,962698,0.028713972937080445
2006-01-26,27610,32012,27260,30512,5742559,0.06458253375667278
2006-01-27,31762,33513,30562,33063,1568972,0.08360644992134247
2006-01-31,33562,33562,30911,31762,1149642,-0.039349121374345986
2006-02-01,31512,32412,29311,30762,983452,-0.03148416346577676
2006-02-02,31011,31262,29861,31262,755090,0.016253819647617185
2006-02-03,30311,30811,29310,29461,456795,-0.05760987780692217
2006-02-06,28260,30111,28260,29911,491113,0.015274430603170241
2006-02-07,30011,30511,29210,29461,368128,-0.015044632409481506
2006-02-08,29011,29711,28260,29011,300441,-0.015274430603170241
2006-02-09,29361,29511,28260,28461,304387,-0.018958326152149207
2006-02-10,28511,28811,27860,28461,265640,0.0
2006-02-13,28411,29111,28160,28411,258549,-0.0017567899933241815
2006-02-14,27860,29511,27810,29511,267919,0.03871739819084152
2006-02-15,30261,30261,28560,29411,329035,-0.003388566975026208
2006-02-16,29061,29511,28560,29011,202587,-0.013600353609193871
2006-02-17,29461,29461,27460,28111,399191,-0.031022715521698663
2006-02-20,27810,28110,27009,27460,522680,-0.023158194301163282
2006-02-21,27259,27760,27009,27510,304453,0.0018208302986162384
2006-02-22,27260,27710,27009,27260,206688,-0.00908760450745183
2006-02-23,27260,28261,27260,28261,346484,0.03672046955245789
2006-02-24,28011,28311,27460,27861,182415,-0.014153780828703888
2006-02-27,28210,29511,27860,29361,403470,0.05383869925702589
2006-02-28,29360,30111,28660,29811,342178,0.015326453458669675
2006-03-02,29761,30011,29060,29261,178613,-0.018449565596591833
2006-03-03,28760,29060,27359,27710,286648,-0.05300570725539111
2006-03-06,27760,28111,27460,28061,112857,0.012666907253699122
2006-03-07,27660,28010,27359,27510,123275,-0.019635793449984007
2006-03-08,27009,27810,26859,27110,132957,-0.014540167211922972
2006-03-09,27009,27510,27009,27510,123750,0.014754703061600871
2006-03-10,27109,27810,27109,27210,116120,-0.010905125408942173
2006-03-13,27409,27760,27359,27560,99940,0.012862918044836524
2006-03-14,27760,29261,27660,28911,470889,0.04902031930333828
2006-03-15,29011,29161,28410,28661,118555,-0.008647227698799775
2006-03-16,28660,28961,28010,28811,114234,0.005233592686926469
2006-03-17,28260,28711,28160,28461,125592,-0.012148137864010256
2006-03-20,28010,28160,27459,27710,175078,-0.026386985699729415
2006-03-21,27610,27810,27259,27310,147351,-0.014435221941537346
2006-03-22,27210,27310,26959,27010,108227,-0.010984987184181616
2006-03-23,27009,27009,23458,25109,796940,-0.07038134024435394
2006-03-24,24509,24959,23108,23509,420449,-0.06372217133298819
2006-03-27,21057,21507,19982,19982,3390105,-0.15002764898549492
2006-03-28,19006,20057,18531,19607,5724594,-0.018766890201181052
2006-03-29,19607,20332,19007,19007,4211354,-0.03060131585658188
2006-03-30,19056,19607,19056,19282,1522742,0.014468353764402586
2006-03-31,19407,21108,19407,20833,2541983,0.08043771393009025
2006-04-03,20582,21233,20232,20808,1450631,-0.0012000192003072119
2006-04-04,21057,22308,20632,22008,1927942,0.05767012687427919
2006-04-05,22258,22458,21082,21783,1263379,-0.01022355507088335
2006-04-06,21758,21783,20857,20983,1074596,-0.0367258871597117
2006-04-07,20608,20733,20057,20308,1049764,-0.03216889863222605
2006-04-10,20182,21183,19807,20508,1321956,0.009848335631278404
2006-04-11,20283,20658,20107,20208,618341,-0.014628437682855489
2006-04-12,20032,20132,19831,19932,626415,-0.013657957244655572
2006-04-13,20032,20858,20032,20858,957294,0.04645795705398359
2006-04-14,21258,21508,20607,21208,1239091,0.0167801323233292
2006-04-17,21308,21358,20632,20783,749501,-0.020039607695209405
