Date,Open,High,Low,Close,Volume,Change
2001-05-17,1548,1548,1548,1548,3462,
2001-05-18,1733,1733,1733,1734,19254,0.12015503875968991
2001-05-21,1941,1941,1941,1942,43504,0.11995386389850049
2001-05-22,1941,2174,1924,2174,8949932,0.11946446961894952
2001-05-23,2278,2433,2211,2433,952992,0.11913523459061648
2001-05-24,2721,2721,2632,2721,1109278,0.11837237977805182
2001-05-25,3041,3041,3041,3042,217888,0.11797133406835725
2001-05-28,3406,3406,3406,3407,382572,0.11998685075608151
2001-05-29,3803,3803,3008,3008,13591590,-0.1171118285882008
2001-05-30,3051,3151,2841,2931,4324028,-0.025598404255319118
2001-05-31,2830,2863,2587,2610,2537164,-0.1095189355168884
2001-06-01,2621,2721,2378,2522,4167870,-0.03371647509578546
2001-06-04,2533,2677,2455,2544,2437828,0.008723235527359208
2001-06-05,2553,2697,2244,2245,3763838,-0.11753144654088055
2001-06-07,2343,2343,2058,2170,1886230,-0.03340757238307346
2001-06-08,2222,2421,2169,2422,4492980,0.11612903225806459
2001-06-11,2288,2355,2211,2278,1629650,-0.05945499587118086
2001-06-12,2234,2422,2234,2356,2153930,0.034240561896400346
2001-06-13,2388,2632,2388,2478,3985084,0.051782682512733436
2001-06-14,2520,2531,2344,2400,1094658,-0.03147699757869249
2001-06-15,2322,2378,2245,2356,817694,-0.018333333333333313
2001-06-18,2321,2354,2233,2234,896496,-0.051782682512733436
2001-06-19,2233,2355,2189,2278,860982,0.01969561324977609
2001-06-20,2378,2378,2013,2013,1760336,-0.11633011413520633
2001-06-21,2101,2145,1957,2013,1256762,0.0
2001-06-22,2024,2046,1904,1916,895518,-0.04818678589170389
2001-06-25,1904,1908,1802,1823,1367564,-0.04853862212943627
2001-06-26,1805,1902,1732,1836,1335408,0.007131102578167958
2001-06-27,1858,1891,1727,1770,1122634,-0.03594771241830064
2001-06-28,1769,1784,1704,1739,686500,-0.017514124293785294
2001-06-29,1769,1946,1758,1905,1817952,0.09545715928694642
2001-07-02,1904,1904,1824,1860,731062,-0.023622047244094446
2001-07-03,1874,1874,1791,1814,696566,-0.02473118279569897
2001-07-04,1778,1813,1762,1787,378410,-0.014884233737596508
2001-07-05,1761,1803,1749,1752,323160,-0.019585898153329562
2001-07-06,1704,1751,1665,1666,380088,-0.04908675799086759
2001-07-09,1550,1588,1466,1467,661128,-0.11944777911164461
2001-07-10,1482,1495,1402,1469,676628,0.0013633265167007913
2001-07-11,1330,1392,1330,1338,449430,-0.08917631041524843
2001-07-12,1351,1463,1351,1422,739076,0.06278026905829592
2001-07-13,1478,1478,1326,1327,589354,-0.06680731364275672
2001-07-16,1326,1342,1218,1281,444626,-0.03466465712132627
2001-07-18,1270,1304,1235,1243,776228,-0.029664324746291992
2001-07-19,1222,1260,1185,1228,562204,-0.012067578439259874
2001-07-20,1081,1207,1081,1102,681568,-0.10260586319218246
2001-07-23,1131,1231,1116,1232,1841340,0.11796733212341204
2001-07-24,1237,1339,1211,1236,3723906,0.0032467532467532756
2001-07-25,1260,1370,1235,1305,2963624,0.05582524271844669
2001-07-26,1392,1392,1289,1329,1516676,0.01839080459770126
2001-07-27,1315,1397,1311,1332,1799780,0.0022573363431150906
2001-07-30,1323,1327,1283,1283,591812,-0.03678678678678682
2001-07-31,1262,1435,1247,1436,1917116,0.11925175370226038
2001-08-01,1454,1554,1441,1493,2467918,0.0396935933147633
2001-08-02,1499,1514,1466,1495,747346,0.0013395847287340779
2001-08-03,1501,1585,1475,1528,1376682,0.022073578595317667
2001-08-06,1490,1562,1490,1515,956418,-0.008507853403141308
2001-08-07,1486,1548,1448,1458,742522,-0.03762376237623766
2001-08-08,1449,1482,1371,1398,654928,-0.04115226337448563
2001-08-09,1360,1426,1351,1394,785478,-0.0028612303290415086
2001-08-10,1426,1458,1382,1438,581626,0.031563845050215145
2001-08-13,1480,1480,1400,1438,558132,0.0
2001-08-14,1436,1456,1390,1411,580848,-0.018776077885952702
2001-08-16,1373,1382,1311,1314,481224,-0.06874557051736352
2001-08-17,1318,1345,1278,1292,383784,-0.016742770167427756
2001-08-20,1152,1258,1152,1221,457942,-0.054953560371516996
2001-08-21,1227,1261,1205,1241,306302,0.016380016380016293
2001-08-22,1218,1218,1196,1206,381454,-0.028203062046736505
2001-08-23,1215,1257,1191,1194,337354,-0.00995024875621886
2001-08-24,1205,1220,1138,1161,365606,-0.027638190954773822
2001-08-27,1174,1189,1138,1141,248818,-0.017226528854435874
2001-08-28,1140,1166,1116,1117,408040,-0.02103418054338302
2001-08-29,1127,1127,1063,1099,431144,-0.0161145926589078
2001-08-30,1045,1092,1043,1062,261328,-0.033666969972702465
2001-08-31,1007,1007,934,951,1014998,-0.10451977401129942
2001-09-03,945,981,908,951,418118,0.0
2001-09-04,962,1064,953,1064,1376650,0.11882229232386954
2001-09-05,1038,1096,999,1097,974522,0.03101503759398505
2001-09-06,1068,1128,1068,1095,640570,-0.001823154056517784
2001-09-07,1072,1171,1045,1130,852964,0.03196347031963476
2001-09-10,1116,1264,1096,1232,1746814,0.09026548672566381
2001-09-11,1232,1292,1126,1137,1229724,-0.07711038961038963
2001-09-12,1002,1002,1002,1002,12694,-0.1187335092348285
2001-09-13,881,1016,881,940,1028188,-0.06187624750498999
2001-09-14,910,945,826,827,681628,-0.12021276595744679
2001-09-17,781,836,730,730,410808,-0.11729141475211613
2001-09-18,753,802,753,796,526494,0.09041095890410955
2001-09-19,753,891,753,891,792568,0.11934673366834181
2001-09-20,891,940,800,845,1317384,-0.05162738496071828
2001-09-21,842,842,796,841,350972,-0.004733727810650845
2001-09-24,820,889,807,887,522154,0.054696789536266444
2001-09-25,992,992,992,993,846560,0.11950394588500557
2001-09-26,1016,1061,992,995,2033876,0.002014098690835908
2001-09-27,1008,1016,961,995,734396,0.0
2001-09-28,997,1094,997,1071,1519430,0.07638190954773871
2001-10-04,1127,1154,1105,1135,1273956,0.05975723622782447
2001-10-05,1143,1178,1118,1135,1871314,0.0
2001-10-08,1097,1124,1039,1073,659364,-0.054625550660793
2001-10-09,1073,1148,1073,1106,964668,0.03075489282385835
2001-10-10,1095,1179,1073,1073,1833358,-0.029837251356238714
2001-10-11,1106,1128,1075,1084,1820386,0.010251630941286116
2001-10-12,1106,1119,1046,1075,1127610,-0.008302583025830312
2001-10-15,1127,1203,1105,1203,3078628,0.11906976744186037
2001-10-16,1227,1331,1168,1283,4425914,0.06650041562759768
2001-10-17,1316,1345,1223,1294,1931006,0.00857365549493383
2001-10-18,1282,1350,1249,1256,3002424,-0.029366306027820754
2001-10-19,1305,1407,1305,1407,1719622,0.12022292993630579
2001-10-22,1498,1544,1439,1484,5474474,0.054726368159204064
2001-10-23,1483,1492,1408,1416,2143118,-0.04582210242587603
2001-10-24,1481,1481,1417,1427,1222732,0.007768361581920846
2001-10-25,1408,1408,1293,1309,1417548,-0.08269096005606169
2001-10-26,1289,1430,1289,1371,2690280,0.04736440030557687
2001-10-29,1382,1438,1356,1438,1712084,0.04886943836615609
2001-10-30,1435,1591,1382,1548,3965208,0.07649513212795545
2001-10-31,1548,1733,1548,1708,6039724,0.10335917312661502
2001-11-01,1767,1847,1599,1615,5022024,-0.0544496487119438
2001-11-02,1669,1691,1439,1526,2866666,-0.05510835913312695
2001-11-05,1548,1581,1492,1571,1854838,0.029488859764089215
2001-11-06,1589,1591,1501,1528,1375688,-0.027371101209420767
2001-11-07,1483,1527,1450,1455,1117162,-0.04777486910994766
2001-11-08,1425,1489,1425,1462,1021298,0.004810996563573866
2001-11-09,1417,1448,1413,1427,898266,-0.0239398084815321
2001-11-12,1426,1441,1380,1427,1155846,0.0
2001-11-13,1394,1423,1375,1378,863630,-0.034337771548703544
2001-11-14,1397,1509,1383,1493,1597794,0.08345428156748902
2001-11-15,1490,1490,1408,1416,820392,-0.05157401205626255
2001-11-16,1417,1437,1371,1402,619150,-0.009887005649717562
2001-11-19,1392,1412,1349,1371,819484,-0.022111269614835893
2001-11-20,1370,1415,1351,1360,962056,-0.008023340627279385
2001-11-21,1360,1380,1337,1352,592226,-0.00588235294117645
2001-11-22,1353,1394,1353,1365,569700,0.009615384615384581
2001-11-23,1348,1367,1313,1338,1019694,-0.01978021978021982
2001-11-26,1326,1368,1315,1318,807056,-0.014947683109118093
2001-11-27,1307,1340,1276,1292,729614,-0.019726858877086473
2001-11-28,1281,1292,1189,1192,591326,-0.07739938080495357
2001-11-29,1150,1183,1134,1177,543466,-0.012583892617449632
2001-11-30,1193,1277,1184,1254,598380,0.06542056074766345
2001-12-03,1256,1345,1256,1303,730024,0.03907496012759171
2001-12-04,1323,1363,1260,1305,1086716,0.0015349194167306734
2001-12-05,1300,1327,1261,1294,636080,-0.008429118773946365
2001-12-06,1288,1304,1240,1256,576958,-0.029366306027820754
2001-12-07,1256,1270,1216,1230,434388,-0.02070063694267521
2001-12-10,1238,1376,1232,1376,1961560,0.11869918699186988
2001-12-11,1381,1491,1370,1400,2083656,0.01744186046511631
2001-12-12,1393,1460,1340,1460,1807726,0.04285714285714293
2001-12-13,1460,1482,1429,1449,1392478,-0.007534246575342518
2001-12-14,1459,1598,1452,1504,2743144,0.03795721187025536
2001-12-17,1481,1536,1340,1340,925508,-0.10904255319148937
2001-12-18,1393,1415,1185,1186,849206,-0.11492537313432838
2001-12-19,1187,1287,1185,1217,843446,0.02613827993254647
2001-12-20,1193,1215,1149,1201,611376,-0.013147082990961345
2001-12-21,1191,1191,1149,1166,418508,-0.029142381348875923
2001-12-24,1095,1183,1095,1157,284322,-0.007718696397941649
2001-12-26,1116,1155,1116,1139,314568,-0.015557476231633505
2001-12-27,1128,1188,1128,1188,267988,0.043020193151887653
2001-12-28,1216,1238,1174,1221,421504,0.02777777777777768
2002-01-02,1236,1239,1203,1230,297794,0.0073710073710073765
2002-01-03,1198,1292,1193,1263,916888,0.02682926829268295
