Date,Open,High,Low,Close,Volume,Change
2000-04-27,5545,5663,5348,5506,584292,
2000-04-28,5505,5623,5387,5506,302277,0.0
2000-05-02,5407,5583,5250,5368,366465,-0.02506356701779877
2000-05-03,5308,5387,5230,5368,211366,0.0
2000-05-04,5387,5426,5112,5230,498907,-0.025707898658718364
2000-05-08,5229,5328,5170,5191,459034,-0.007456978967495198
2000-05-09,5191,5191,4995,5113,544277,-0.015026006549797688
2000-05-10,4994,5269,4974,5230,360227,0.022882847643262316
2000-05-12,5151,5229,4974,5034,304555,-0.03747609942638619
2000-05-15,4837,4994,4719,4837,256793,-0.03913388955105279
2000-05-16,4718,4836,4640,4778,240282,-0.01219764316725247
2000-05-17,4640,4817,4267,4267,579277,-0.10694851402260364
2000-05-18,4267,4325,3681,4051,844041,-0.05062104523084132
2000-05-19,3971,4050,3826,4011,301046,-0.009874105159219937
2000-05-22,4031,4089,3432,3492,484689,-0.12939416604338072
2000-05-23,3034,3597,2968,2968,2933015,-0.150057273768614
2000-05-24,2968,3118,2870,3008,1509001,0.013477088948786964
2000-05-25,3106,3413,3011,3303,1419515,0.09807180851063824
2000-05-26,3219,3219,2873,2949,879492,-0.1071752951861944
2000-05-29,2756,3107,2713,3005,445444,0.018989487962020934
2000-05-30,3043,3177,3023,3067,1170040,0.020632279534109843
2000-05-31,3207,3302,3113,3224,1659509,0.05119008803390934
2000-06-01,3299,3299,3078,3146,841682,-0.024193548387096753
2000-06-02,3225,3382,3146,3186,2788595,0.012714558169103718
2000-06-05,3268,3480,3256,3390,4543354,0.064030131826742
2000-06-07,3460,3736,3382,3591,3643488,0.059292035398230025
2000-06-08,3601,3644,3248,3303,2197280,-0.08020050125313283
2000-06-09,3381,3459,3262,3362,1482435,0.01786254919769914
2000-06-12,3303,3413,3303,3378,1590189,0.004759071980963814
2000-06-13,3360,3592,3321,3330,2126256,-0.014209591474245165
2000-06-14,3498,3498,3263,3263,845758,-0.0201201201201201
2000-06-15,3149,3216,3067,3067,873042,-0.06006742261722342
2000-06-16,3027,3065,2940,2968,805253,-0.03227910009781543
2000-06-19,2859,2968,2792,2792,938401,-0.05929919137466311
2000-06-20,2885,2983,2854,2949,1059386,0.05623209169054433
2000-06-21,2924,3004,2893,2914,942843,-0.01186842997626314
2000-06-22,2988,3024,2917,2981,633918,0.022992450240219675
2000-06-23,2948,3125,2918,3079,939655,0.032874874203287385
2000-06-26,3106,3137,3027,3110,492583,0.01006820396232544
2000-06-27,3150,3205,3092,3186,620721,0.02443729903536984
2000-06-28,3211,3416,3184,3330,1413427,0.04519774011299438
2000-06-29,3263,3531,3263,3421,1862168,0.027327327327327344
2000-06-30,3460,3507,3302,3323,798532,-0.028646594562993233
2000-07-03,3365,3648,3353,3519,2044141,0.058982846825158086
2000-07-04,3586,3618,3424,3441,990371,-0.022165387894288124
2000-07-05,3400,3472,3267,3441,781629,0.0
2000-07-06,3382,3535,3354,3500,791774,0.017146178436501014
2000-07-07,3551,3854,3539,3713,2251112,0.06085714285714294
2000-07-10,3736,4010,3736,3850,1461473,0.036897387557231376
2000-07-11,3853,3924,3656,3657,1271716,-0.050129870129870135
2000-07-12,3661,3736,3422,3449,1172272,-0.05687722176647525
2000-07-13,3448,3570,3361,3539,995191,0.026094520150768297
2000-07-14,3526,3526,3404,3437,948055,-0.028821701045493087
2000-07-18,3361,3412,3203,3291,759760,-0.04247890602269422
2000-07-19,3223,3286,3153,3224,587210,-0.02035855363111516
2000-07-20,3263,3263,3164,3263,365548,0.012096774193548487
2000-07-21,3267,3321,3203,3224,272727,-0.01195219123505975
2000-07-24,3156,3200,3055,3055,374905,-0.05241935483870963
2000-07-25,3067,3181,3067,3146,444000,0.029787234042553123
2000-07-26,3172,3192,3086,3177,292035,0.009853782581055404
2000-07-27,3145,3200,3105,3181,301908,0.0012590494176896172
2000-07-28,3184,3243,3145,3181,259494,0.0
2000-07-31,3146,3217,3068,3166,322243,-0.004715498270983942
2000-08-01,3184,3235,3164,3224,296427,0.01831964624131399
2000-08-02,3184,3259,3184,3224,129383,0.0
2000-08-03,3224,3275,3204,3256,225395,0.00992555831265518
2000-08-04,3229,3264,3165,3253,194296,-0.0009213759213758665
2000-08-07,3185,3205,3111,3115,262723,-0.042422379342145766
2000-08-08,3117,3160,3035,3106,306053,-0.002889245585874778
2000-08-09,3105,3172,3105,3157,322687,0.016419832582099225
2000-08-10,3166,3186,3079,3186,247184,0.009185936015204232
2000-08-11,3145,3420,3113,3283,628292,0.030445699937225346
2000-08-14,3459,3735,3400,3696,1486589,0.12579957356076754
2000-08-16,3806,3813,3578,3810,1446380,0.030844155844155896
2000-08-17,3735,3880,3616,3814,1919749,0.0010498687664042272
2000-08-18,3755,3912,3740,3854,1208252,0.010487676979548999
2000-08-21,3774,3887,3766,3814,739796,-0.010378827192527251
2000-08-22,3819,3834,3664,3685,1188379,-0.03382275825904557
2000-08-23,3685,3723,3578,3716,594906,0.008412483039348606
2000-08-24,3617,3794,3617,3795,481550,0.02125941872981696
2000-08-25,3842,4129,3794,4011,1455128,0.056916996047430723
2000-08-28,4011,4090,3924,4051,916628,0.009972575417601659
2000-08-29,4030,4070,3952,4051,339950,0.0
2000-08-30,4049,4128,3971,4109,435924,0.014317452480868909
2000-08-31,4187,4266,3892,4109,774895,0.0
2000-09-01,4168,4404,4011,4326,762483,0.0528109028960817
2000-09-04,4364,4384,4050,4129,1533434,-0.04553860379103103
2000-09-05,4050,4129,3857,4011,906626,-0.02857834826834582
2000-09-06,3970,4069,3892,3913,572058,-0.024432809773123898
2000-09-07,3736,3929,3736,3862,841663,-0.013033478149757194
2000-09-08,3889,4011,3794,4011,310480,0.03858104609010882
2000-09-14,3893,3928,3763,3929,353888,-0.020443779606083234
2000-09-15,3815,3893,3550,3685,311205,-0.062102316110969724
2000-09-18,3558,3593,3133,3157,597668,-0.14328358208955227
2000-09-19,3156,3196,3054,3106,424498,-0.016154577130186865
2000-09-20,3239,3408,3164,3397,382548,0.09368963296844823
2000-09-21,3263,3369,3189,3303,525128,-0.027671474830732956
2000-09-22,3262,3282,2947,2988,457283,-0.0953678474114441
2000-09-25,3008,3205,3008,3186,239761,0.06626506024096379
2000-09-26,3225,3422,3158,3343,391175,0.049278091650972966
2000-09-27,3444,3578,3389,3535,1662098,0.05743344301525566
2000-09-28,3499,3597,3409,3433,647718,-0.028854314002828896
2000-09-29,3452,3480,3369,3480,329954,0.013690649577629
2000-10-02,3342,3416,3283,3303,299492,-0.05086206896551726
2000-10-04,3223,3396,3223,3362,246770,0.01786254919769914
2000-10-05,3361,3432,3342,3382,432902,0.005948839976204656
2000-10-06,3381,3409,3323,3323,626850,-0.01744529863985811
2000-10-09,3381,3381,3267,3303,262602,-0.006018657839301889
2000-10-10,3283,3315,3243,3303,238678,0.0
2000-10-11,3196,3262,3180,3224,211493,-0.02391765062064788
2000-10-12,3184,3274,2948,2949,316717,-0.08529776674937961
2000-10-13,3090,3146,2929,3146,894358,0.06680230586639535
2000-10-16,3303,3323,3185,3229,532601,0.02638270820089006
2000-10-17,3184,3203,3085,3106,396172,-0.03809228863425207
2000-10-18,3071,3193,3028,3186,339901,0.025756600128783003
2000-10-19,3145,3236,3062,3099,343364,-0.02730696798493404
2000-10-20,3193,3280,3182,3280,431911,0.058405937399161
2000-10-23,3224,3432,3224,3382,355816,0.031097560975609673
2000-10-24,3373,3427,3267,3401,373378,0.00561797752808979
2000-10-25,3401,3413,3342,3382,222464,-0.005586592178770999
2000-10-26,3544,3579,3307,3343,869811,-0.01153163808397395
2000-10-27,3390,3618,3390,3390,1482727,0.014059228238109567
2000-10-30,3495,3676,3440,3653,1100367,0.07758112094395275
2000-10-31,3699,3735,3459,3653,1618018,0.0
2000-11-01,3661,4109,3586,3917,2729508,0.07226936764303304
2000-11-02,3801,3951,3699,3775,1081992,-0.03625223385243814
2000-11-03,3814,3814,3578,3618,862769,-0.041589403973509964
2000-11-06,3616,3715,3590,3657,943814,0.010779436152570376
2000-11-07,3598,3850,3598,3693,1543511,0.009844134536505234
2000-11-08,3688,3811,3622,3799,536963,0.028702951529921528
2000-11-09,3838,3873,3736,3795,530620,-0.0010529086601737125
2000-11-10,3829,3971,3746,3971,1105848,0.04637681159420293
2000-11-13,3919,3928,3825,3846,465262,-0.03147821707378495
2000-11-14,3854,3854,3638,3780,856268,-0.01716068642745705
2000-11-15,3841,3841,3754,3814,915883,0.008994708994708889
2000-11-16,3794,3805,3664,3665,505504,-0.03906659674882018
2000-11-17,3641,3715,3601,3669,349385,0.0010914051841746097
2000-11-20,3610,3633,3472,3480,510266,-0.05151267375306623
2000-11-21,3390,3421,3229,3276,773134,-0.05862068965517242
2000-11-22,3284,3284,3158,3186,763393,-0.027472527472527486
2000-11-23,3146,3323,3146,3166,598901,-0.006277463904582503
2000-11-24,3185,3299,3165,3299,510642,0.04200884396715088
2000-11-27,3358,3461,3303,3461,519640,0.0491057896332221
2000-11-28,3346,3452,3291,3303,180432,-0.045651545796012716
2000-11-29,3239,3262,3192,3236,253842,-0.020284589766878636
2000-11-30,3244,3244,3165,3201,170552,-0.01081582200247222
2000-12-01,3149,3329,3070,3244,377962,0.0134333020930959
