Date,Open,High,Low,Close,Volume,Change
2006-12-22,1337,1539,1337,1415,6997362,
2006-12-26,1462,1462,1276,1291,2079830,-0.08763250883392226
2006-12-27,1294,1313,1246,1262,1152328,-0.022463206816421333
2006-12-28,1256,1376,1256,1300,1083042,0.030110935023771823
2007-01-02,1304,1324,1281,1286,708241,-0.010769230769230753
2007-01-03,1290,1394,1285,1343,1510764,0.04432348367029548
2007-01-04,1323,1429,1323,1406,1575544,0.04690990320178701
2007-01-05,1399,1442,1337,1391,1793692,-0.010668563300142209
2007-01-08,1390,1419,1367,1377,821291,-0.010064701653486718
2007-01-09,1385,1390,1352,1353,645082,-0.017429193899782147
2007-01-10,1347,1356,1285,1310,731926,-0.031781226903178084
2007-01-11,1294,1318,1290,1300,687195,-0.007633587786259555
2007-01-12,1318,1347,1285,1348,1075970,0.036923076923076836
2007-01-15,1367,1486,1352,1458,3699095,0.08160237388724045
2007-01-16,1452,1476,1395,1406,1102239,-0.03566529492455417
2007-01-17,1424,1495,1381,1477,2193004,0.050497866287339876
2007-01-18,1458,1563,1453,1545,2511259,0.046039268788083954
2007-01-19,1624,1772,1533,1601,11545663,0.03624595469255665
2007-01-22,1619,1692,1553,1692,2798123,0.05683947532792
2007-01-23,1672,1705,1586,1659,3218034,-0.019503546099290725
2007-01-24,1653,1672,1523,1558,3686271,-0.06088004822182036
2007-01-25,1558,1581,1510,1578,1902019,0.012836970474968012
2007-01-26,1557,1614,1538,1596,1300307,0.011406844106463865
2007-01-29,1610,1662,1596,1644,2337845,0.03007518796992481
2007-01-30,1654,1672,1615,1626,1293282,-0.010948905109489093
2007-01-31,1677,1696,1624,1654,1572490,0.017220172201722006
2007-02-01,1639,1654,1568,1588,1374810,-0.039903264812575556
2007-02-02,1567,1634,1557,1635,1464393,0.029596977329974905
2007-02-05,1768,1878,1710,1730,7076329,0.05810397553516822
2007-02-06,1734,1763,1705,1730,1530476,0.0
2007-02-07,1768,1801,1730,1730,2799000,0.0
2007-02-08,1730,1983,1715,1913,5723378,0.10578034682080917
2007-02-09,1979,2055,1926,1961,8198462,0.02509147935180356
2007-02-12,1959,2083,1897,2080,5731071,0.06068332483426819
2007-02-13,2108,2241,2017,2070,8280370,-0.004807692307692291
2007-02-14,2083,2122,2036,2123,2746292,0.025603864734299542
2007-02-15,2160,2169,2060,2060,2914351,-0.029674988224210996
2007-02-16,2060,2112,1983,2070,2613174,0.004854368932038833
2007-02-20,2050,2213,2027,2199,4953700,0.062318840579710155
2007-02-21,2246,2246,2126,2180,3252193,-0.00864029104138242
2007-02-22,2208,2208,2103,2103,2373255,-0.035321100917431236
2007-02-23,2103,2121,2017,2027,2961318,-0.03613884926295763
2007-02-26,2007,2088,1964,2027,2218246,0.0
2007-02-27,2027,2084,2017,2047,1966557,0.009866798223976403
2007-02-28,1939,2145,1926,2142,2234909,0.04640937957987301
2007-03-02,2140,2217,2107,2180,3125414,0.017740429505135324
2007-03-05,2198,2394,2188,2299,6954270,0.05458715596330266
2007-03-06,2327,2643,2304,2644,5059442,0.1500652457590257
2007-03-07,2819,3035,2648,2735,14512418,0.034417549167927275
2007-03-08,2772,3127,2633,2965,9805506,0.08409506398537481
2007-03-09,3031,3409,2925,3409,12342770,0.14974704890387858
2007-03-12,3532,3915,3508,3762,14359615,0.1035494279847462
2007-03-13,3762,3944,3442,3830,11580068,0.018075491759702356
2007-03-14,3690,4354,3681,4188,16682559,0.09347258485639687
2007-03-15,4254,4809,4206,4810,13916677,0.1485195797516714
2007-03-16,5201,5527,5201,5527,7352016,0.14906444906444904
2007-03-19,6350,6350,6350,6350,400320,0.1489053736204089
2007-03-20,7295,7295,5411,6407,52608418,0.008976377952755854
2007-03-21,6234,6311,5450,5451,21699069,-0.14921179959419384
2007-03-22,4972,5068,4638,4638,7768525,-0.14914694551458452
