Date,Open,High,Low,Close,Volume,Change
2014-08-14,54978,63224,46732,46735,128066,
2014-08-18,45612,47722,42722,46615,26666,-0.0025676687707285595
2014-08-19,47481,47601,43604,43607,8717,-0.06452858521935001
2014-08-20,42961,44336,41089,41107,16328,-0.05733024514412821
2014-08-21,41359,42347,39862,39985,6886,-0.02729462135402727
2014-08-22,40461,40461,38219,39102,5439,-0.022083281230461438
2014-08-25,39231,40234,38469,38487,4008,-0.01572809574957801
2014-08-26,38845,44216,38218,40360,27986,0.048665783251487404
2014-08-27,40477,46359,39982,43487,39965,0.07747770069375615
2014-08-28,43347,45099,42975,44235,7494,0.017200542690919196
2014-08-29,43487,44099,41975,42740,5001,-0.03379676726573977
2014-09-01,42211,42465,39219,39357,5541,-0.07915301824988297
2014-09-02,38847,42961,38712,40105,6157,0.0190055136316285
2014-09-03,40852,40984,39355,39865,2658,-0.005984291235506811
2014-09-04,39726,40476,38469,38982,3003,-0.022149755424557882
2014-09-05,39234,39729,38607,38862,1318,-0.0030783438510081362
2014-09-11,38859,40356,38724,38982,2648,0.0030878493129535833
2014-09-12,39099,39354,37602,37740,2658,-0.03186085885793444
2014-09-15,35986,36359,34849,34867,7777,-0.07612612612612613
2014-09-16,34732,35479,34357,34987,3230,0.003441649697421667
2014-09-17,35717,36839,34835,35480,4921,0.014090948066424636
2014-09-18,35717,38081,35717,35855,7216,0.010569334836527666
2014-09-19,36212,37214,36212,36977,2297,0.03129270673546225
2014-09-22,37217,37964,36467,37232,3148,0.006896178705681821
2014-09-23,36962,37844,35840,36230,2166,-0.026912333476579287
2014-09-24,36467,36722,35345,36230,2354,0.0
2014-09-25,36227,36857,35732,35990,1757,-0.006624344465912202
2014-09-26,35615,36107,35360,35615,1650,-0.010419560989163634
2014-09-29,35734,36361,34984,34987,1260,-0.01763301979503018
2014-09-30,35104,35854,34732,34987,1319,0.0
2014-10-01,34984,35477,32860,33490,1908,-0.042787321004944645
2014-10-02,32862,33729,32487,33117,1481,-0.011137653030755423
2014-10-06,33459,34341,32967,32982,1440,-0.004076456200742817
2014-10-07,32709,33216,32094,32232,1400,-0.022739676187011115
2014-10-08,32471,36959,32099,36977,12814,0.14721394887068762
2014-10-10,36362,38606,35987,37487,8752,0.013792357411363865
2014-10-13,37484,37604,34984,35362,3343,-0.056686317923546836
2014-10-14,34609,36362,33475,33490,3854,-0.052938182229511854
