Date,Open,High,Low,Close,Volume,Change
2006-12-05,5647,6494,5647,6497,25469,
2006-12-06,6707,7437,6495,6650,1952678,0.023549330460212348
2006-12-07,6494,6507,5657,5660,494847,-0.14887218045112782
2006-12-08,4999,5409,4822,4837,924896,-0.1454063604240282
2006-12-11,4834,4904,4352,4590,364242,-0.05106470953070086
2006-12-12,4530,5272,4495,4850,1492930,0.056644880174292034
2006-12-13,4774,4939,4444,4567,359606,-0.05835051546391756
2006-12-14,4549,4634,4279,4377,217204,-0.04160280271513028
2006-12-15,4374,4669,4364,4482,218226,0.0239890335846471
2006-12-18,4492,4856,4492,4837,284199,0.07920571173583224
2006-12-19,4834,4869,4549,4612,195086,-0.04651643580731857
2006-12-20,4609,4609,4375,4425,144664,-0.04054640069384219
2006-12-21,4492,4492,4257,4260,60588,-0.037288135593220306
2006-12-22,4222,4352,4115,4320,142926,0.014084507042253502
2006-12-26,4330,4342,4070,4250,60431,-0.01620370370370372
2006-12-27,4237,4354,4212,4237,31747,-0.0030588235294117805
2006-12-28,4142,4307,4142,4250,110703,0.003068208638187464
2007-01-02,4272,4272,4025,4085,99151,-0.0388235294117647
2007-01-03,4067,4139,4022,4072,40576,-0.003182374541003674
2007-01-04,3989,4671,3929,4472,839678,0.0982318271119842
2007-01-05,4377,4425,4070,4215,298698,-0.05746869409660105
2007-01-08,4222,4422,4187,4260,199380,0.01067615658362997
2007-01-09,4187,4704,4115,4355,673242,0.02230046948356801
2007-01-10,4292,4399,4257,4355,105494,0.0
2007-01-11,4304,4399,4115,4120,130659,-0.053960964408725554
2007-01-12,4152,4327,4105,4120,144455,0.0
2007-01-15,4082,4190,3977,3990,190256,-0.03155339805825241
2007-01-16,3974,4009,3692,3695,211531,-0.07393483709273185
2007-01-17,3672,3672,3530,3590,133070,-0.02841677943166443
2007-01-18,3565,3752,3565,3590,120551,0.0
2007-01-19,3590,3637,3507,3520,60691,-0.01949860724233987
2007-01-22,3516,3576,3282,3307,131681,-0.06051136363636367
2007-01-23,3270,3412,3270,3390,97630,0.025098276383429097
2007-01-24,3340,3460,3270,3390,97444,0.0
2007-01-25,3384,3551,3384,3412,100108,0.006489675516224258
2007-01-26,3337,3431,3302,3412,50487,0.0
2007-01-29,3377,3517,3340,3355,58333,-0.01670574443141848
2007-01-30,3374,3374,3197,3330,128590,-0.007451564828613977
2007-01-31,3327,3384,3197,3200,76788,-0.03903903903903905
2007-02-01,3209,3244,3152,3200,63048,0.0
2007-02-02,3197,3361,3187,3212,138042,0.00374999999999992
2007-02-05,3209,3634,3057,3412,2118733,0.06226650062266503
2007-02-06,3412,3495,3305,3390,509058,-0.00644783118405623
2007-02-07,3424,3611,3364,3507,514560,0.03451327433628326
2007-02-08,3527,3987,3515,3730,1199874,0.06358711149130314
2007-02-09,3727,3774,3597,3765,378245,0.009383378016085686
2007-02-12,3717,3895,3647,3790,435468,0.006640106241699861
2007-02-13,3749,3834,3635,3660,221995,-0.03430079155672827
2007-02-14,3611,3694,3554,3602,224575,-0.015846994535519077
2007-02-15,3644,3821,3562,3742,250644,0.038867295946696245
2007-02-16,3774,3917,3740,3765,358642,0.006146445750935259
2007-02-20,3787,3812,3637,3790,194096,0.006640106241699861
2007-02-21,3809,4009,3809,3977,446389,0.049340369393139794
2007-02-22,3974,4056,3892,3942,269928,-0.008800603469952262
2007-02-23,3916,3974,3784,3882,200949,-0.015220700152207
2007-02-26,3834,3917,3680,3695,170575,-0.048171045852653305
2007-02-27,3691,3761,3622,3647,143156,-0.012990527740189495
2007-02-28,3397,3527,3337,3425,281318,-0.060871949547573356
2007-03-02,3387,3435,3305,3390,230298,-0.010218978102189746
2007-03-05,3349,3384,3222,3247,128574,-0.042182890855457233
2007-03-06,3259,3329,3247,3272,104667,0.007699414844471786
2007-03-07,3339,3564,3304,3307,440135,0.010696821515892463
2007-03-08,3340,3387,3295,3295,131795,-0.003628666465074093
2007-03-09,3305,3412,3225,3225,326476,-0.02124430955993928
2007-03-12,3270,3435,3225,3320,384454,0.029457364341085368
2007-03-13,3364,3469,3364,3472,291588,0.04578313253012056
2007-03-14,3444,3466,3349,3377,91992,-0.027361751152073732
2007-03-15,3409,3856,3409,3752,745193,0.11104530648504585
2007-03-16,3762,4079,3727,3882,994500,0.03464818763326227
2007-03-19,3986,4091,3784,3882,420984,0.0
2007-03-20,3952,3952,3727,3730,224768,-0.039155074703760895
2007-03-21,3717,3954,3694,3837,232719,0.028686327077747986
2007-03-22,3882,3882,3730,3790,158226,-0.012249152984102119
2007-03-23,3802,4046,3659,4002,248677,0.055936675461741414
2007-03-26,4070,4495,4070,4285,1097334,0.07071464267866068
2007-03-27,4401,4541,4142,4237,533802,-0.011201866977829655
2007-03-28,4161,4174,3822,3872,415151,-0.0861458579183384
2007-03-29,3929,4446,3812,4297,1056890,0.10976239669421495
2007-03-30,4351,4374,4139,4272,340166,-0.005818012566907171
2007-04-02,4317,4644,4279,4447,551484,0.04096441947565532
2007-04-03,4424,4516,4354,4402,184812,-0.010119181470654381
2007-04-04,4446,4611,4237,4367,425195,-0.007950931394820504
2007-04-05,4367,4424,4272,4367,200382,0.0
2007-04-06,4422,4422,4257,4355,179830,-0.002747881841080879
2007-04-09,4306,4354,4272,4297,159236,-0.013318025258323818
2007-04-10,4339,4399,4210,4260,276896,-0.008610658599022547
2007-04-11,4234,4304,4175,4190,230805,-0.016431924882629123
2007-04-12,4142,4295,4060,4085,318602,-0.02505966587112174
2007-04-13,4091,4161,3997,4012,198668,-0.01787025703794365
2007-04-16,4010,4187,3997,4165,212523,0.03813559322033888
2007-04-17,4189,4366,4117,4237,302178,0.01728691476590627
2007-04-18,4304,4304,4067,4177,127498,-0.014160962945480304
2007-04-19,4129,4211,3882,4002,168254,-0.04189609767775915
2007-04-20,4022,4044,3927,3965,82690,-0.009245377311344338
2007-04-23,4009,4056,3952,3977,141416,0.0030264817150063017
2007-04-24,3961,4021,3822,3882,132930,-0.023887352275584584
2007-04-25,3869,3869,3622,3717,338088,-0.04250386398763528
2007-04-26,3669,3774,3622,3625,86732,-0.024751143395211228
2007-04-27,3574,3739,3574,3612,76458,-0.003586206896551758
2007-04-30,3622,3784,3562,3742,113341,0.035991140642303465
2007-05-02,3784,3952,3727,3765,101082,0.006146445750935259
2007-05-03,3834,3844,3714,3777,59058,0.0031872509960160222
2007-05-04,3749,3856,3669,3707,124143,-0.018533227429176624
2007-05-07,3714,3749,3587,3707,86445,0.0
2007-05-08,3741,3741,3459,3472,212676,-0.06339357971405446
2007-05-09,3466,3514,3314,3447,218060,-0.007200460829493105
2007-05-10,3469,3469,3282,3307,240287,-0.0406150275601973
2007-05-11,3304,3659,3247,3532,307048,0.0680374962201391
2007-05-14,3574,4056,3574,3942,497626,0.11608154020385042
2007-05-15,3999,3999,3752,3837,236287,-0.026636225266362223
2007-05-16,3845,3917,3715,3860,177315,0.005994266353922306
2007-05-17,3929,4141,3872,4002,321698,0.03678756476683942
2007-05-18,4034,4034,3894,4002,90561,0.0
2007-05-21,3974,3996,3844,3882,149683,-0.02998500749625188
2007-05-22,3822,3869,3727,3872,100059,-0.0025759917568263235
2007-05-23,3844,3844,3574,3647,190274,-0.05810950413223137
2007-05-25,3597,3762,3597,3765,53056,0.032355360570331726
2007-05-28,3762,4066,3714,3847,395748,0.021779548472775634
2007-05-29,3869,3927,3762,3825,98761,-0.0057187418767871145
2007-05-30,3857,4282,3835,4260,522452,0.11372549019607847
2007-05-31,4327,4327,4115,4120,141376,-0.032863849765258246
2007-06-01,4282,4282,3987,4120,303306,0.0
2007-06-04,4139,4139,4010,4025,108666,-0.02305825242718451
2007-06-05,4057,4104,3962,4095,148122,0.017391304347825987
2007-06-07,4069,4529,3999,4202,1098629,0.026129426129426037
2007-06-08,4209,4234,3962,4012,277843,-0.04521656354117087
2007-06-11,4046,4129,3977,4037,148201,0.006231306081754706
2007-06-12,4022,4222,4010,4130,219489,0.02303690859549179
2007-06-13,4114,4209,4032,4142,140536,0.0029055690072639084
2007-06-14,4154,4319,4117,4237,247480,0.022935779816513735
2007-06-15,4237,4389,4189,4237,281441,0.0
2007-06-18,4327,4869,4257,4872,388038,0.14987019117299982
2007-06-19,5482,5599,5069,5532,1983416,0.1354679802955665
2007-06-20,5484,5506,4942,5132,656977,-0.07230657989877076
2007-06-21,5129,5329,4952,5107,316376,-0.004871395167575954
2007-06-22,5175,5599,5140,5390,661971,0.05541413745839052
2007-06-25,5317,5517,5245,5320,222580,-0.012987012987012991
2007-06-26,5292,5374,5010,5155,250500,-0.03101503759398494
2007-06-27,5152,5187,4870,5120,218166,-0.006789524733268659
2007-06-28,5129,5129,4917,4990,210100,-0.025390625
2007-06-29,4940,5094,4917,5060,156427,0.014028056112224352
2007-07-02,5037,5485,5037,5250,385212,0.03754940711462451
2007-07-03,5599,5692,5245,5320,117239,0.01333333333333342
2007-07-04,5244,5364,4987,5155,120418,-0.03101503759398494
2007-07-05,5034,5129,4822,4872,81521,-0.054898157129000924
2007-07-06,4727,4844,4605,4825,113374,-0.009646962233169076
2007-07-09,4755,4825,4680,4695,88612,-0.02694300518134718
2007-07-10,4705,5104,4692,4755,311838,0.012779552715654896
2007-07-11,4797,4916,4774,4802,51818,0.009884332281808517
2007-07-12,4891,4964,4774,4872,73328,0.014577259475218707
2007-07-13,4844,4986,4844,4967,55501,0.019499178981937648
2007-07-16,5082,5082,4797,4895,48993,-0.014495671431447588
2007-07-18,5081,5081,4624,4707,188335,-0.038406537282941744
2007-07-19,4687,5199,4687,4755,785482,0.010197578075207048
2007-07-20,4916,4916,4624,4707,184186,-0.010094637223974745
2007-07-23,4471,4561,4117,4157,485168,-0.11684724877841512
2007-07-24,4139,4139,3835,3865,354552,-0.07024296367572769
2007-07-25,3810,3942,3790,3940,145370,0.019404915912031084
2007-07-26,3936,3984,3687,3742,317592,-0.05025380710659899
2007-07-27,3680,3685,3540,3555,170226,-0.049973276322822
2007-07-30,3447,3772,3447,3705,102692,0.04219409282700415
2007-07-31,3671,3746,3624,3667,91576,-0.01025641025641022
2007-08-01,3694,3694,3497,3592,92069,-0.02045268611944373
2007-08-02,3557,3587,3445,3555,163260,-0.0103006681514477
2007-08-03,3505,3669,3490,3620,95103,0.0182841068917019
2007-08-06,3532,3574,3504,3577,38721,-0.011878453038674075
2007-08-07,3607,3617,3547,3550,50896,-0.00754822476935979
2007-08-08,3574,3601,3527,3572,105165,0.00619718309859163
2007-08-09,3581,3581,3487,3532,87923,-0.011198208286674172
2007-08-10,3479,3504,3347,3397,106853,-0.03822197055492638
2007-08-13,3397,3397,3285,3295,108677,-0.030026493965263468
2007-08-14,3316,3374,3232,3272,73082,-0.006980273141122928
2007-08-16,3132,3137,2780,2815,310258,-0.1396699266503667
2007-08-17,2752,2822,2682,2750,128261,-0.023090586145648295
2007-08-20,2797,3089,2797,3012,377688,0.09527272727272718
2007-08-21,3089,3249,2899,3012,231317,0.0
2007-08-22,2947,3074,2947,2992,72094,-0.006640106241699861
2007-08-23,3029,3109,3017,3112,102597,0.04010695187165769
